time,open,high,low,close,volume
2007-07-19,8.6296868200,9.9296445500,8.2528261100,9.3707050700,197364082
2007-07-20,9.0615946000,10.3065052600,9.0192507000,10.3065052600,94848251
2007-07-23,10.4970528100,11.1999615500,10.3911930600,10.7172410900,99483316
2007-07-24,10.7172410900,11.4116810500,10.5055215900,11.0009452200,53914975
2007-07-25,10.9543669300,12.1018866200,10.8400384000,12.1018866200,54381047
2007-07-26,12.0553083300,12.8683112100,11.7716042000,12.1526993000,66923819
2007-07-27,11.8816983400,12.2797310000,11.7843073700,12.1738712500,34176568
2007-07-30,12.0680115000,12.4067627000,11.8562920000,12.0468395500,29776338
2007-07-31,11.8647607800,12.2289183200,11.5302439700,11.9028702900,32196922
2007-08-01,11.8986359000,12.4067627000,11.4328530000,11.9452141900,32989740
2007-08-02,11.9917924800,13.1393121700,11.9917924800,12.9572334000,55242555
2007-08-03,12.9995773000,13.6177982400,12.6692948800,13.3171565500,43584823
2007-08-06,13.1266090000,13.2028280200,12.7031700000,12.9445302300,33719079
2007-08-07,12.8725456000,12.8725456000,12.4702785500,12.6057790300,26969323
2007-08-08,12.3644188000,12.9148895000,12.2373871000,12.4829817200,24031820
2007-08-09,12.5549663500,12.7539826800,12.2373871000,12.3644188000,19584505
2007-08-10,12.3644188000,12.4660441600,11.4328530000,11.8562920000,26727965
2007-08-13,11.6022286000,12.2373871000,11.2211335000,11.6869164000,25120900
2007-08-14,11.5725878700,11.9790893100,11.5387127500,11.8774639500,14533013
2007-08-15,11.8901671200,12.1865744200,11.7631354200,11.9960268700,14339228
2007-08-16,11.8562920000,11.8647607800,11.3820403200,11.4624937300,20067036
2007-08-17,11.3481652000,11.6318693300,11.0941018000,11.1364457000,15279318
2007-08-20,11.4794312900,11.8562920000,11.3481652000,11.6869164000,13978262
2007-08-21,11.8308856600,11.8562920000,11.3989778800,11.4921344600,16169742
2007-08-22,11.3481652000,12.0680115000,11.2634774000,11.9282766300,27590614
2007-08-23,11.9282766300,11.9282766300,11.5979942100,11.6869164000,13385890
2007-08-24,11.6869164000,12.0553083300,11.6445725000,11.8054793200,20185434
2007-08-27,11.8139481000,12.4787473300,11.8139481000,12.0934178400,25650814
2007-08-28,12.0680115000,12.0680115000,11.5598847000,11.6953851800,15334033
2007-08-29,11.5598847000,11.5683534800,11.2550086200,11.3185244700,14384808
2007-08-30,11.3693371500,11.5979942100,11.2423054500,11.4497905600,10167951
2007-08-31,11.4497905600,11.4751969000,11.2465398400,11.3905091000,8412957
2007-09-03,11.3820403200,11.5175408000,11.3481652000,11.3735715400,11353859
2007-09-04,11.3693371500,11.3693371500,11.0941018000,11.1576176500,14384864
2007-09-05,11.2211335000,11.4921344600,11.1533832600,11.4201498300,9523634
2007-09-06,11.5048376300,11.6361037200,11.3100556900,11.4328530000,13141339
2007-09-07,11.3396964200,11.7504322500,11.1152737500,11.2761805700,16408332
2007-09-10,11.0094140000,11.3481652000,10.8739135200,11.1322113100,13338787
2007-09-11,11.1787896000,11.1830239900,10.3107396500,10.3361459900,14324493
2007-09-12,10.3065052600,10.5817406100,10.0609106400,10.2683957500,9675864
2007-09-13,10.3996618400,10.5775062200,10.2683957500,10.3954274500,9352619
2007-09-14,10.4293025700,10.5012872000,10.0355043000,10.2938020900,11170343
2007-09-17,10.3784898900,10.5436311000,10.3361459900,10.5012872000,9330313
2007-09-18,10.5351623200,10.6494908500,10.1625360000,10.6494908500,10429279
2007-09-19,10.6918347500,10.7595849900,10.1667703900,10.1879423400,9539498
2007-09-20,10.2683957500,10.4758808600,10.1625360000,10.2726301400,7287210
2007-09-21,10.1625360000,10.1837079500,9.5612526200,9.7772065100,13657851
2007-09-24,9.7729721200,9.7729721200,9.2225014200,9.4003458000,11393738
2007-09-25,9.4342209200,9.6671123700,9.3283611700,9.5358462800,8936434
2007-09-26,9.5697214000,9.6967531000,9.4045801900,9.5316118900,5100759
2007-09-27,9.5273775000,9.7348626100,9.4426897000,9.6671123700,6618702
2007-09-28,9.7433313900,9.7475657800,9.6035965200,9.6967531000,7576198
2007-10-08,9.7645033400,10.1625360000,9.6586435900,9.9254101600,13676587
2007-10-09,9.9296445500,9.9889260100,9.7518001700,9.7983784600,8172225
2007-10-10,9.8237848000,10.1625360000,9.7814409000,9.8237848000,9769546
2007-10-11,9.8830662600,9.9000038200,9.4342209200,9.6374716400,11754392
2007-10-12,9.6417060300,9.7814409000,8.8922190000,9.3749394600,12553661
2007-10-15,9.4638616500,9.6332372500,9.1505167900,9.3452987300,8066931
2007-10-16,9.3241267800,10.2810989200,9.2733141000,10.2810989200,26170122
2007-10-17,10.2810989200,10.3234428200,9.7560345600,9.8364879700,20213023
2007-10-18,9.8364879700,9.8661287000,9.4215177500,9.4935023800,8078256
