time,open,high,low,close,volume
2007-12-12,8.8123273200,9.7582833600,8.7791358800,9.6006240200,956830385
2007-12-13,9.1774331600,9.4512625400,8.9616888000,9.0446674000,455250729
2007-12-14,8.7957316000,8.9284973600,8.4306257600,8.7293487200,230036006
2007-12-17,8.5882851000,8.6795615600,8.1567963800,8.1816899600,163312227
2007-12-18,8.0655199200,8.5550936600,7.9659456000,8.4057321800,87134223
2007-12-19,8.4721150600,8.5384979400,8.2314771200,8.3891364600,79689003
2007-12-20,8.4223279000,9.0031781000,8.2895621400,8.8704123400,161256721
2007-12-21,8.7625401600,9.3350925000,8.7210508600,9.1525395800,199374289
2007-12-24,9.2604117600,9.3682839400,9.0529652600,9.1691353000,165779987
2007-12-25,9.1110502800,9.2106246000,8.9699866600,9.0363695400,95886051
2007-12-26,9.0612631200,9.9408362800,9.0612631200,9.9408362800,283735723
2007-12-27,9.9574320000,10.3557292800,9.8578576800,9.9823255800,268311614
2007-12-28,10.0155170200,10.2810485400,9.8578576800,10.0818999000,120409895
2008-01-02,10.1067934800,10.2478571000,9.8578576800,10.0818999000,101274805
2008-01-03,10.0404106000,10.0404106000,9.7167940600,9.8744534000,120937837
2008-01-04,9.9242405600,10.0404106000,9.7499855000,10.0072191600,96841837
2008-01-07,10.0072191600,10.4304100200,9.8578576800,10.2644528200,135562034
2008-01-08,10.2810485400,10.2810485400,9.7084962000,9.8495598200,112330920
2008-01-09,9.7167940600,10.0321127400,9.5591347200,9.8744534000,73060493
2008-01-10,9.8744534000,9.9242405600,9.7084962000,9.7167940600,70067081
2008-01-11,9.7250919200,10.0984956200,9.6587090400,9.8910491200,72335515
2008-01-14,9.8910491200,9.9989213000,9.7748790800,9.8246662400,59389759
2008-01-15,9.8246662400,9.9242405600,9.6919004800,9.7416876400,60689104
2008-01-16,9.6919004800,9.6919004800,9.2189224600,9.2853053400,97715874
2008-01-17,9.1940288800,9.4097732400,8.7127530000,9.0114759600,80286440
2008-01-18,9.0197738200,9.2687096200,8.8040294600,9.1940288800,48598641
2008-01-21,9.1276460000,9.1774331600,8.4721150600,8.5633915200,58532112
2008-01-22,8.3061578600,8.4555193400,7.7087119400,7.7584991000,80814765
2008-01-23,7.7584991000,8.2314771200,7.7584991000,8.1816899600,61117469
2008-01-24,8.2148814000,8.2978600000,7.9825413200,8.1567963800,54372221
2008-01-25,8.1319028000,8.2563707000,7.8829670000,8.1153070800,46228690
2008-01-28,8.0738177800,8.0738177800,7.3021168000,7.3104146600,53572358
2008-01-29,7.3104146600,7.5510526000,7.1444574600,7.4763718600,30154659
2008-01-30,7.5759461800,7.7004140800,7.2108403400,7.4846697200,37239599
2008-01-31,7.4763718600,7.6174354800,7.3104146600,7.3767975400,22954444
2008-02-01,7.4597761400,7.5012654400,6.9619045400,7.1444574600,29806759
2008-02-04,7.3767975400,7.8580734200,7.2357339200,7.8580734200,44754895
2008-02-05,7.8829670000,7.9244563000,7.6755205000,7.7502012400,31586564
2008-02-13,7.7004140800,7.7004140800,7.4763718600,7.5427547400,18289325
2008-02-14,7.5925419000,7.7667969600,7.5676483200,7.6921162200,15673431
2008-02-15,7.6174354800,7.6340312000,7.4680740000,7.5842440400,16297930
2008-02-18,7.7170098000,7.7750948200,7.6423290600,7.6921162200,22669383
2008-02-19,7.7004140800,8.2729664200,7.5925419000,8.1899878200,61904326
2008-02-20,8.2314771200,8.2646685600,7.9493498800,7.9576477400,44809901
2008-02-21,7.9576477400,7.9576477400,7.9576477400,7.9576477400,0
2008-02-22,7.9327541600,7.9327541600,7.4929675800,7.5925419000,32616346
2008-02-25,7.6008397600,7.6755205000,7.2606275000,7.2689253600,25972803
2008-02-26,7.4763718600,7.5593504600,7.1361596000,7.4348825600,21682931
2008-02-27,7.4680740000,7.6174354800,7.3767975400,7.5510526000,16138804
2008-02-28,7.5593504600,7.5925419000,7.4016911200,7.4514782800,14184453
2008-02-29,7.4265847000,7.6174354800,7.3850954000,7.5178611600,14624978
2008-03-03,7.4680740000,7.6672226400,7.3104146600,7.6008397600,27931256
2008-03-04,7.6008397600,7.6008397600,7.3353082400,7.3767975400,38223968
2008-03-05,7.3021168000,7.4265847000,7.1610531800,7.2689253600,28085021
2008-03-06,7.3104146600,7.5925419000,7.0946703000,7.4348825600,46214645
2008-03-07,7.3436061000,7.5178611600,7.2274360600,7.5095633000,25132291
2008-03-10,7.5593504600,7.6755205000,7.3270103800,7.3767975400,47776861
