time,open,high,low,close,volume
2018-08-16,1.41,1.64,1.35,1.45,69825000.0
2018-08-17,1.48,1.54,1.43,1.47,9975000.0
2018-08-20,1.46,1.56,1.43,1.5,6090000.0
2018-08-21,1.5,1.55,1.46,1.53,5995000.0
2018-08-22,1.5,1.62,1.48,1.5,17965000.0
2018-08-23,1.51,1.51,1.47,1.47,1955000.0
2018-08-24,1.48,1.48,1.43,1.43,2010000.0
2018-08-27,1.43,1.45,1.31,1.36,4680000.0
2018-08-28,1.36,1.38,1.32,1.38,1665000.0
2018-08-29,1.36,1.37,1.33,1.33,855000.0
2018-08-30,1.33,1.36,1.32,1.36,885000.0
2018-08-31,1.32,1.39,1.32,1.38,2295000.0
2018-09-03,1.36,1.36,1.28,1.31,1845000.0
2018-09-04,1.29,1.34,1.26,1.29,2585000.0
2018-09-05,1.26,1.28,1.18,1.22,3635000.0
2018-09-06,1.19,1.2,1.13,1.19,1770000.0
2018-09-07,1.18,1.23,1.18,1.19,2620000.0
2018-09-10,1.19,1.19,1.08,1.1,1275000.0
2018-09-11,1.11,1.11,0.98,1.03,1975000.0
2018-09-12,1.03,1.07,1.0,1.04,1110000.0
2018-09-13,1.07,1.07,0.95,1.02,1960000.0
2018-09-14,1.0,1.07,0.97,1.03,1180000.0
2018-09-17,1.03,1.07,1.02,1.07,845000.0
2018-09-18,1.07,1.08,1.05,1.07,470000.0
2018-09-19,1.05,1.17,1.05,1.11,875000.0
2018-09-20,1.05,1.14,1.05,1.08,585000.0
2018-09-21,1.07,1.11,1.06,1.08,175000.0
2018-09-24,1.06,1.06,1.04,1.05,180000.0
2018-09-26,1.06,1.14,1.06,1.09,1615000.0
2018-09-27,1.06,1.09,1.06,1.06,150000.0
2018-09-28,1.06,1.1,1.05,1.07,520000.0
2018-10-02,1.06,1.06,1.05,1.06,185000.0
2018-10-03,1.04,1.05,1.04,1.04,200000.0
2018-10-04,1.04,1.05,1.02,1.05,295000.0
2018-10-05,1.04,1.08,1.01,1.05,600000.0
2018-10-08,1.03,1.05,1.02,1.05,95000.0
2018-10-09,1.06,1.07,1.02,1.03,170000.0
2018-10-10,1.03,1.04,1.03,1.04,30000.0
2018-10-11,1.03,1.03,0.99,1.03,1840000.0
2018-10-12,1.0,1.03,1.0,1.03,1380000.0
2018-10-15,1.03,1.05,1.0,1.05,225000.0
2018-10-16,1.01,1.05,1.01,1.05,285000.0
2018-10-18,1.05,1.05,1.03,1.05,95000.0
2018-10-19,1.04,1.16,1.04,1.07,425000.0
2018-10-22,1.07,1.1,1.05,1.05,120000.0
2018-10-23,1.03,1.04,1.01,1.04,175000.0
2018-10-24,1.06,1.06,1.02,1.02,45000.0
2018-10-25,0.99,1.04,0.99,1.03,100000.0
2018-10-26,1.04,1.04,1.04,1.04,10000.0
2018-10-29,1.0,1.03,1.0,1.02,400000.0
2018-10-30,1.02,1.02,1.01,1.01,160000.0
2018-10-31,1.03,1.03,1.0,1.01,185000.0
2018-11-01,1.0,1.03,1.0,1.01,1860000.0
2018-11-02,1.03,1.12,1.01,1.09,1860000.0
2018-11-05,1.09,1.09,1.05,1.08,110000.0
2018-11-06,1.06,1.08,1.05,1.08,205000.0
2018-11-07,1.06,1.07,1.01,1.04,600000.0
2018-11-08,1.05,1.25,1.05,1.21,10075000.0
2018-11-09,1.21,1.27,1.13,1.23,2005000.0
2018-11-12,1.2,1.32,1.19,1.31,5325000.0
2018-11-13,1.29,1.38,1.25,1.33,3320000.0
2018-11-14,1.31,1.45,1.3,1.41,4785000.0
2018-11-15,1.41,1.45,1.36,1.44,4505000.0
2018-11-16,1.42,1.45,1.4,1.45,695000.0
2018-11-19,1.42,1.5,1.42,1.5,3060000.0
2018-11-20,1.48,1.48,1.38,1.42,1035000.0
2018-11-21,1.39,1.48,1.36,1.44,1260000.0
2018-11-22,1.45,1.48,1.43,1.46,1305000.0
