time,open,high,low,close,volume
1983-04-06,34.92,34.92,34.54,34.63,188800.0
1983-04-07,34.73,35.01,34.63,34.63,203200.0
1983-04-08,34.63,35.58,34.54,35.48,480000.0
1983-04-11,35.48,35.67,34.73,35.01,379200.0
1983-04-12,35.01,35.1,34.63,34.92,1016000.0
1983-04-13,35.01,35.39,34.82,35.39,377600.0
1983-04-14,35.29,35.86,35.29,35.86,569600.0
1983-04-15,35.67,37.27,35.67,37.08,1033600.0
1983-04-18,37.08,37.27,36.7,37.08,940800.0
1983-04-19,37.08,37.08,36.14,36.61,865600.0
1983-04-20,36.42,36.7,36.14,36.14,435200.0
1983-04-21,36.14,36.52,36.05,36.23,297600.0
1983-04-22,36.7,37.27,36.7,36.99,502400.0
1983-04-25,36.8,36.99,36.61,36.7,620800.0
1983-04-26,36.8,37.08,36.52,37.08,811200.0
1983-04-27,36.99,37.55,36.33,37.08,910400.0
1983-04-28,36.8,37.08,36.42,36.7,412800.0
1983-04-29,36.99,37.27,36.7,37.27,332800.0
1983-05-02,37.18,37.46,36.89,36.89,777600.0
1983-05-03,36.7,36.8,36.52,36.7,348800.0
1983-05-04,36.89,37.18,36.61,36.7,544000.0
1983-05-05,37.18,37.46,36.89,37.36,284800.0
1983-05-06,37.55,37.55,36.61,37.08,481600.0
1983-05-09,36.89,36.89,36.52,36.7,225600.0
1983-05-10,36.89,37.27,36.52,37.18,699200.0
1983-05-11,36.99,37.08,36.7,36.89,846400.0
1983-05-12,37.08,37.08,36.42,36.7,436800.0
1983-05-13,36.7,37.27,36.52,37.08,182400.0
1983-05-16,36.89,36.89,36.14,36.42,195200.0
1983-05-17,36.23,36.61,35.76,36.14,96000.0
1983-05-18,36.14,36.52,35.95,35.95,875200.0
1983-05-19,36.14,36.14,35.86,36.05,540800.0
1983-05-20,36.05,36.52,36.05,36.52,201600.0
1983-05-23,36.33,36.61,35.76,36.52,718400.0
1983-05-24,36.61,36.61,36.42,36.52,193600.0
1983-05-25,36.42,36.52,36.33,36.52,232000.0
1983-05-26,36.52,36.52,36.14,36.23,206400.0
1983-05-27,35.95,36.23,35.95,36.23,248000.0
1983-05-31,36.05,36.14,35.86,36.14,188800.0
1983-06-01,35.95,36.05,35.48,35.76,363200.0
1983-06-02,35.58,35.76,34.82,35.39,961600.0
1983-06-03,35.2,35.58,34.92,35.48,273600.0
1983-06-06,35.67,35.76,35.29,35.76,507200.0
1983-06-07,35.7,36.08,35.41,35.6,1590400.0
1983-06-08,35.6,36.17,35.6,35.98,1120000.0
1983-06-09,35.79,35.89,35.51,35.7,844800.0
1983-06-10,35.89,36.26,35.89,36.26,110400.0
1983-06-13,36.45,36.64,36.26,36.64,872000.0
1983-06-14,36.74,37.5,36.74,37.31,905600.0
1983-06-15,37.68,37.68,37.12,37.59,675200.0
1983-06-16,37.68,38.25,37.31,37.5,2300800.0
1983-06-17,37.31,37.5,37.31,37.31,1097600.0
1983-06-20,37.31,37.68,37.21,37.31,377600.0
1983-06-21,37.12,37.87,37.02,37.78,960000.0
1983-06-22,38.16,38.54,37.68,38.44,1585600.0
1983-06-23,38.25,38.82,38.06,38.63,1515200.0
1983-06-24,39.01,40.53,38.63,40.53,1308800.0
1983-06-27,40.15,40.53,39.39,39.48,2304000.0
1983-06-28,39.11,39.2,35.79,36.74,2532800.0
1983-06-29,36.74,36.93,36.36,36.55,1750400.0
1983-06-30,36.36,36.36,35.22,35.6,1310400.0
1983-07-01,35.98,35.98,34.84,34.94,2740800.0
1983-07-05,34.84,34.84,34.37,34.75,825600.0
1983-07-06,34.84,35.41,34.75,34.94,2209600.0
1983-07-07,35.13,35.13,34.09,34.47,1065600.0
1983-07-08,34.47,34.66,34.09,34.28,1043200.0
1983-07-11,34.47,34.75,34.28,34.47,750400.0
1983-07-12,34.56,34.56,33.33,33.33,3425600.0
1983-07-13,33.52,34.09,33.33,33.9,1177600.0
1983-07-14,33.9,34.09,33.05,33.14,648000.0
1983-07-15,33.33,33.52,32.95,33.52,737600.0
1983-07-18,33.42,34.47,33.42,34.28,561600.0
1983-07-19,34.56,34.56,33.71,33.99,1025600.0
1983-07-20,33.8,34.18,33.61,33.8,838400.0
1983-07-21,33.71,33.71,32.76,32.95,1342400.0
1983-07-22,33.38,33.9,32.86,33.71,2238400.0
1983-07-25,33.52,33.71,33.14,33.33,1233600.0
1983-07-26,32.95,33.23,32.57,32.95,572800.0
1983-07-27,32.95,33.14,32.38,32.38,758400.0
1983-07-28,32.38,32.38,30.96,31.06,1628800.0
1983-07-29,31.06,31.06,30.11,30.49,3084800.0
1983-08-01,30.3,31.44,29.92,30.96,1742400.0
1983-08-02,31.15,32.19,30.96,31.63,604800.0
1983-08-03,31.63,32.1,31.25,31.91,712000.0
1983-08-04,31.72,31.72,30.77,31.53,979200.0
1983-08-05,31.34,31.91,31.15,31.63,358400.0
1983-08-08,31.63,31.63,30.87,31.44,1320000.0
1983-08-09,31.06,31.25,30.49,30.96,862400.0
1983-08-10,30.77,30.77,30.49,30.68,1153600.0
1983-08-11,30.87,30.87,30.02,30.58,827200.0
1983-08-12,30.39,31.06,30.3,31.06,526400.0
1983-08-15,31.06,31.06,30.2,30.3,827200.0
1983-08-16,30.11,30.49,30.11,30.3,435200.0
1983-08-17,30.49,30.87,30.3,30.87,193600.0
1983-08-18,31.06,31.06,29.92,30.49,1488000.0
1983-08-19,30.68,30.87,30.11,30.3,1046400.0
1983-08-22,30.49,30.87,30.3,30.58,678400.0
1983-08-23,30.68,30.68,30.3,30.68,832000.0
1983-08-24,30.68,30.96,30.49,30.68,596800.0
1983-08-25,30.49,31.06,30.49,30.96,465600.0
1983-08-26,30.87,30.87,30.2,30.58,817600.0
1983-08-29,30.3,30.87,30.3,30.58,334400.0
1983-08-30,30.58,30.58,30.02,30.02,385600.0
1983-08-31,30.11,30.87,30.11,30.77,235200.0
1983-09-01,30.96,31.06,30.49,30.87,560000.0
1983-09-02,30.9,31.47,30.9,31.18,1227200.0
1983-09-06,31.56,31.85,31.28,31.47,1806400.0
1983-09-07,31.47,31.47,30.51,30.71,2532800.0
1983-09-08,30.71,31.28,30.42,31.28,1001600.0
1983-09-09,31.09,31.18,30.71,30.9,4065600.0
1983-09-12,31.28,31.47,30.9,30.99,456000.0
