time,open,high,low,close,volume
1986-01-02,38.13,38.13,37.25,37.5,1579200.0
1986-01-03,37.5,37.88,37.38,37.75,1092400.0
1986-01-06,37.88,37.88,37.63,37.63,717200.0
1986-01-07,37.88,38.38,37.75,38.25,1642000.0
1986-01-08,38.38,38.38,36.75,36.88,2185600.0
1986-01-09,37.0,37.63,36.25,37.38,2147200.0
1986-01-10,37.38,37.75,36.88,37.38,1447600.0
1986-01-13,37.5,37.88,37.5,37.75,1630800.0
1986-01-14,37.88,37.88,36.63,37.13,2054400.0
1986-01-15,37.25,38.0,37.13,37.25,814800.0
1986-01-16,37.38,37.38,36.5,36.5,2800800.0
1986-01-17,35.75,36.38,35.38,36.38,4160000.0
1986-01-20,35.88,36.0,35.38,35.63,1434400.0
1986-01-21,35.63,35.75,34.25,34.88,3354800.0
1986-01-22,35.25,35.5,34.75,34.75,2623600.0
1986-01-23,34.75,35.38,34.13,35.13,2970800.0
1986-01-24,35.13,36.75,35.13,36.5,3253600.0
1986-01-27,36.25,36.25,35.5,35.63,2829200.0
1986-01-28,35.75,35.75,34.5,35.0,2096400.0
1986-01-29,34.88,35.5,34.88,35.13,2151200.0
1986-01-30,35.13,35.75,34.5,35.75,2001200.0
1986-01-31,35.75,36.75,35.75,36.5,2885200.0
1986-02-03,35.5,36.0,35.25,35.5,2412400.0
1986-02-04,35.38,35.5,34.0,34.0,3456000.0
1986-02-05,34.13,34.75,34.0,34.25,2647200.0
1986-02-06,34.25,34.75,34.13,34.38,3790400.0
1986-02-07,34.5,35.25,34.38,35.13,2482800.0
1986-02-10,35.25,35.5,35.0,35.13,2540800.0
1986-02-11,35.13,35.13,34.5,34.5,1764800.0
1986-02-12,34.75,35.0,34.38,34.75,1954000.0
1986-02-13,34.88,35.38,34.88,35.38,2098800.0
1986-02-14,35.38,35.75,35.25,35.75,1636800.0
1986-02-18,35.63,36.25,35.5,35.88,2304800.0
1986-02-19,35.75,35.88,34.75,35.0,2333200.0
1986-02-20,35.0,35.5,34.75,35.0,3384400.0
1986-02-21,35.5,35.88,35.38,35.88,3230400.0
1986-02-24,35.63,36.5,35.63,36.5,3368400.0
1986-02-25,37.0,37.75,36.88,37.63,4520000.0
1986-02-26,37.75,38.25,37.63,38.0,3610400.0
1986-02-27,38.0,38.13,36.63,36.88,3351600.0
1986-02-28,37.0,37.0,36.25,36.75,2398000.0
1986-03-03,36.75,36.75,35.88,36.0,2300400.0
1986-03-04,36.0,36.13,35.5,35.88,2198400.0
1986-03-05,35.63,36.5,35.63,36.38,2741600.0
1986-03-06,35.75,36.0,35.5,35.75,2295600.0
1986-03-07,35.5,35.63,34.5,35.0,3534400.0
1986-03-10,34.88,35.5,34.75,35.0,3286400.0
1986-03-11,36.5,36.75,36.25,36.63,5440000.0
1986-03-12,37.0,38.25,36.88,37.5,4800000.0
1986-03-13,37.5,37.63,36.63,36.75,2627200.0
1986-03-14,36.75,38.0,36.13,37.0,3088000.0
1986-03-17,37.25,37.75,36.88,37.63,2840000.0
1986-03-18,38.0,38.25,37.5,37.5,2912800.0
1986-03-19,37.75,38.13,37.38,37.5,2394000.0
1986-03-20,37.5,38.13,37.38,38.0,2539600.0
1986-03-21,38.25,38.5,37.25,37.63,5080000.0
1986-03-24,37.38,37.63,36.38,37.0,1872000.0
1986-03-25,36.88,37.0,36.13,36.88,2041200.0
1986-03-26,37.13,37.63,37.0,37.38,1640800.0
1986-03-27,37.63,38.0,37.13,37.38,1555200.0
1986-03-31,37.38,37.38,36.5,36.5,1715600.0
1986-04-01,36.38,36.75,36.0,36.5,3864000.0
1986-04-02,36.88,38.0,36.75,37.63,3943200.0
1986-04-03,37.5,37.75,36.88,37.25,2546800.0
1986-04-04,37.25,37.5,36.63,37.25,2684000.0
1986-04-07,37.5,37.63,36.88,37.5,1935200.0
1986-04-08,37.88,37.88,37.13,37.5,2013600.0
1986-04-09,37.63,37.75,36.88,37.25,3027200.0
1986-04-10,37.38,38.13,37.13,38.0,4640000.0
1986-04-11,38.13,38.88,38.0,38.75,2592400.0
1986-04-14,39.0,39.13,38.88,39.13,2165600.0
1986-04-15,39.25,39.63,39.13,39.25,4468000.0
1986-04-16,39.25,39.38,38.63,39.0,2889600.0
1986-04-17,38.88,38.88,38.25,38.25,2750800.0
1986-04-18,38.13,38.25,37.75,37.88,2729600.0
1986-04-21,37.75,38.88,37.63,38.75,1488800.0
1986-04-22,38.88,39.13,38.25,38.63,2706800.0
1986-04-23,38.25,38.38,37.63,38.25,1774800.0
1986-04-24,38.25,38.88,38.13,38.75,2586000.0
1986-04-25,38.88,39.25,38.75,39.13,1974800.0
1986-04-28,39.13,39.38,38.88,39.25,1328400.0
1986-04-29,39.13,39.38,38.88,38.88,1434800.0
