time,open,high,low,close,volume
1982-01-04,26.06,26.42,25.62,25.62,434400.0
1982-01-05,25.33,25.62,25.04,25.11,319200.0
1982-01-06,24.82,24.97,24.68,24.82,518400.0
1982-01-07,24.97,25.19,24.68,25.11,315600.0
1982-01-08,25.4,25.7,25.04,25.62,324000.0
1982-01-11,25.48,25.77,25.19,25.19,154800.0
1982-01-12,25.11,25.33,24.82,24.97,352800.0
1982-01-13,24.68,24.97,24.39,24.39,429600.0
1982-01-14,24.17,24.75,23.58,24.6,543600.0
1982-01-15,24.82,25.11,24.53,25.04,259200.0
1982-01-18,24.82,24.97,24.68,24.75,157200.0
1982-01-19,25.11,25.26,24.97,25.19,498000.0
1982-01-20,25.11,25.19,24.97,25.04,867600.0
1982-01-21,24.89,25.04,24.75,24.75,606000.0
1982-01-22,24.75,24.89,24.53,24.82,582000.0
1982-01-25,24.97,25.11,24.82,24.97,387600.0
1982-01-26,24.89,25.04,24.68,24.82,457200.0
1982-01-27,24.68,24.82,24.46,24.82,423600.0
1982-01-28,24.89,25.04,24.68,24.97,1101600.0
1982-01-29,25.11,25.26,24.97,25.26,1251600.0
1982-02-01,25.11,25.26,24.89,25.04,274800.0
1982-02-02,25.04,25.26,24.82,24.97,871200.0
1982-02-03,25.04,25.26,24.75,24.97,271200.0
1982-02-04,25.11,25.26,24.97,25.04,355200.0
1982-02-05,25.19,25.4,24.97,25.33,856800.0
1982-02-08,25.55,25.62,25.4,25.55,448800.0
1982-02-09,25.33,25.48,25.11,25.26,277200.0
1982-02-10,25.33,25.48,25.19,25.33,354000.0
1982-02-11,25.04,25.33,24.74,24.74,325200.0
1982-02-12,24.89,25.11,24.6,24.74,300000.0
1982-02-16,24.52,24.74,24.23,24.3,356400.0
1982-02-17,24.3,24.37,24.23,24.3,855600.0
1982-02-18,24.3,24.52,24.08,24.08,924000.0
1982-02-19,24.23,24.3,24.08,24.15,356400.0
1982-02-22,24.01,24.3,23.71,23.71,746400.0
1982-02-23,23.71,23.86,23.49,23.64,751200.0
1982-02-24,23.93,24.15,23.64,24.15,776400.0
1982-02-25,24.74,25.18,24.3,25.04,729600.0
1982-02-26,25.18,25.48,24.82,25.18,837600.0
1982-03-01,25.7,26.07,25.33,25.92,1916400.0
1982-03-02,26.14,26.22,25.99,26.22,1309200.0
1982-03-03,25.92,26.07,25.7,25.77,1528800.0
1982-03-04,25.7,25.85,25.48,25.48,1088400.0
1982-03-05,25.48,25.63,25.33,25.55,432000.0
1982-03-08,25.26,25.63,24.82,24.89,490800.0
1982-03-09,24.74,24.89,24.6,24.74,601200.0
1982-03-10,24.82,24.96,24.67,24.74,2035200.0
1982-03-11,24.96,25.04,24.82,24.82,355200.0
1982-03-12,24.82,24.96,24.6,24.74,462000.0
1982-03-15,24.82,24.89,24.67,24.67,300000.0
1982-03-16,24.89,25.11,24.67,24.96,982800.0
1982-03-17,25.11,25.26,24.89,25.11,913200.0
1982-03-18,25.18,25.33,25.04,25.33,616800.0
1982-03-19,25.7,25.92,25.41,25.7,957600.0
1982-03-22,26.07,26.29,25.77,25.85,1389600.0
1982-03-23,26.29,26.51,25.99,26.29,1920000.0
1982-03-24,26.66,26.95,26.36,26.58,1628400.0
1982-03-25,26.51,26.66,26.36,26.44,1082400.0
1982-03-26,26.58,26.73,26.44,26.58,1518000.0
1982-03-29,26.58,26.73,26.36,26.66,522000.0
1982-03-30,26.44,26.66,26.22,26.44,1189200.0
1982-03-31,26.44,26.58,26.22,26.22,525600.0
1982-04-01,26.07,26.22,25.85,26.14,556800.0
1982-04-02,26.29,26.44,26.07,26.29,1425600.0
1982-04-05,26.29,26.51,26.07,26.44,907200.0
1982-04-06,26.36,26.44,26.22,26.36,320400.0
1982-04-07,26.51,26.58,26.36,26.44,1156800.0
1982-04-08,26.51,26.66,26.29,26.58,1424400.0
1982-04-12,26.73,26.88,26.51,26.66,3530400.0
1982-04-13,26.88,27.1,26.66,26.8,1243200.0
