time,open,high,low,close,volume
1983-04-06,17.95,17.95,17.57,17.76,563100.0
1983-04-07,17.86,18.14,17.57,18.05,654000.0
1983-04-08,18.52,18.8,18.14,18.71,1287900.0
1983-04-11,18.9,19.37,18.8,19.08,1340100.0
1983-04-12,19.18,19.18,18.9,19.08,903900.0
1983-04-13,19.08,19.08,18.52,18.8,449400.0
1983-04-14,18.9,19.46,18.9,19.46,2201400.0
1983-04-15,19.56,19.56,19.27,19.46,618600.0
1983-04-18,19.46,19.56,18.99,19.46,1045800.0
1983-04-19,19.18,19.46,18.9,18.99,569100.0
1983-04-20,18.8,19.27,18.8,18.99,731400.0
1983-04-21,19.08,19.08,18.42,18.52,667500.0
1983-04-22,18.52,18.61,18.23,18.33,364800.0
1983-04-25,18.71,18.9,18.52,18.9,513300.0
1983-04-26,19.37,20.03,18.71,19.75,1484100.0
1983-04-27,19.94,20.31,19.56,19.75,1817700.0
1983-04-28,19.94,20.12,19.75,19.94,920100.0
1983-04-29,20.41,20.79,19.94,20.5,2624100.0
1983-05-02,20.31,20.5,20.03,20.03,915300.0
1983-05-03,19.94,20.22,19.75,20.12,1007100.0
1983-05-04,20.5,20.79,20.22,20.31,971100.0
1983-05-05,19.46,20.31,18.52,18.9,834900.0
1983-05-06,19.27,20.22,19.27,19.84,702600.0
1983-05-09,19.56,19.75,19.27,19.56,754500.0
1983-05-10,19.46,20.03,19.46,19.84,415800.0
1983-05-11,19.84,20.41,19.84,20.12,614100.0
1983-05-12,20.12,20.31,19.84,20.03,914700.0
1983-05-13,20.03,20.41,20.03,20.12,993600.0
1983-05-16,20.12,20.5,19.84,20.41,538500.0
1983-05-17,20.6,20.79,20.31,20.6,753000.0
1983-05-18,20.79,20.79,20.03,20.41,972000.0
1983-05-19,20.41,20.5,19.94,20.03,540900.0
1983-05-20,20.03,20.31,19.84,20.12,485700.0
1983-05-23,20.22,20.97,19.75,20.97,726000.0
1983-05-24,21.07,21.07,20.22,20.79,670500.0
1983-05-25,20.79,20.88,20.41,20.88,545700.0
1983-05-26,20.79,20.79,20.22,20.5,260700.0
1983-05-27,20.41,20.5,20.31,20.41,248700.0
1983-05-31,20.12,20.5,20.12,20.12,388500.0
1983-06-01,19.84,20.22,19.84,20.12,414000.0
1983-06-02,20.03,20.22,19.56,19.84,566700.0
1983-06-03,19.84,20.12,19.65,19.94,429000.0
1983-06-06,20.03,20.12,19.65,19.65,366000.0
1983-06-07,19.58,19.77,19.29,19.29,717600.0
1983-06-08,19.38,19.77,19.29,19.58,590100.0
1983-06-09,19.58,19.86,19.48,19.58,321900.0
1983-06-10,19.67,20.15,19.67,19.96,578700.0
1983-06-13,20.15,20.24,19.77,20.05,714300.0
1983-06-14,20.24,21.01,20.05,20.72,739200.0
1983-06-15,20.63,21.77,20.43,21.58,792000.0
1983-06-16,22.15,22.15,21.68,22.06,2281800.0
1983-06-17,21.96,22.25,21.39,22.15,1424100.0
1983-06-20,22.44,22.63,22.06,22.25,1101300.0
1983-06-21,22.15,23.11,22.15,23.11,1344600.0
1983-06-22,22.92,23.2,22.54,22.92,1783500.0
1983-06-23,22.92,23.3,22.63,23.3,699000.0
