time,open,high,low,close,volume
2009-09-16,20.8,20.98,20.69,20.83,3107826.0
2009-09-17,20.8,20.98,20.69,20.83,3107826.0
2009-09-18,20.8,20.98,20.69,20.83,3107826.0
2009-09-21,22.55,22.59,21.96,22.03,1956823.0
2009-09-22,22.38,22.54,22.07,22.43,2232578.0
2009-09-23,22.01,22.45,21.87,21.94,2872739.0
2009-09-24,22.05,22.24,21.49,21.66,2195656.0
2009-09-25,21.43,21.62,21.22,21.3,771715.0
2009-09-28,21.43,21.62,21.22,21.3,771715.0
2009-09-29,21.86,22.04,21.31,21.34,2781227.0
2009-09-30,21.36,21.55,20.65,21.05,2789578.0
2009-10-01,20.86,21.02,20.17,20.18,2921982.0
2009-10-02,20.15,20.34,19.62,19.75,2805591.0
2009-10-05,20.0,20.47,19.85,20.43,2728284.0
2009-10-06,20.63,20.8,20.13,20.32,2222504.0
2009-10-07,20.18,20.37,20.0,20.21,1943434.0
2009-10-08,20.22,20.55,20.16,20.34,1612383.0
2009-10-09,20.41,20.51,20.15,20.4,1767555.0
2009-10-12,20.46,20.57,20.24,20.45,1121768.0
2009-10-13,20.36,20.5,20.19,20.25,3399950.0
2009-10-14,20.44,20.94,20.33,20.79,3291367.0
2009-10-15,20.51,20.62,20.13,20.41,3673779.0
2009-10-16,20.13,20.22,19.69,19.71,4125605.0
2009-10-19,19.71,20.13,19.59,19.87,2944092.0
2009-10-20,19.9,20.75,19.83,20.58,5189199.0
2009-10-21,20.41,20.89,20.0,20.0,3726850.0
2009-10-22,19.97,20.19,19.84,19.99,2284341.0
2009-10-23,20.22,20.27,19.74,19.85,2361392.0
2009-10-26,19.99,20.09,19.14,19.24,3307527.0
2009-10-27,19.41,19.47,18.57,18.61,2949861.0
2009-10-28,19.14,19.14,18.17,18.25,5029024.0
2009-10-29,18.67,19.04,18.35,18.96,3892798.0
2009-10-30,18.81,18.89,18.0,18.06,2913455.0
2009-11-02,17.92,18.31,17.63,17.97,3114432.0
2009-11-03,17.85,18.3,17.83,18.25,2235946.0
2009-11-04,18.43,18.58,18.15,18.28,2631025.0
2009-11-05,18.11,18.55,17.81,17.87,2880782.0
2009-11-06,17.86,18.45,17.85,18.4,2249700.0
2009-11-09,18.6,18.76,18.52,18.64,1224044.0
2009-11-10,18.6,18.63,18.27,18.35,1532148.0
2009-11-11,18.64,18.82,18.39,18.66,2120410.0
2009-11-12,19.42,19.55,18.95,19.23,3608587.0
2009-11-13,19.17,19.29,18.63,18.91,2561839.0
2009-11-16,18.94,19.23,18.81,19.02,2620985.0
2009-11-17,19.03,19.07,18.68,18.89,2434653.0
2009-11-18,18.81,19.15,18.74,19.15,1610473.0
2009-11-19,19.21,19.38,19.01,19.26,2849818.0
2009-11-20,19.28,19.28,18.9,18.96,2372512.0
2009-11-23,19.51,19.9,19.28,19.37,3604749.0
2009-11-24,19.29,19.89,19.29,19.84,3442475.0
2009-11-25,19.77,19.89,19.57,19.78,2414697.0
2009-11-27,19.07,19.18,18.46,18.78,3794546.0
2009-11-30,18.73,18.82,18.38,18.69,2964368.0
2009-12-01,18.95,19.2,18.89,19.2,3057293.0
2009-12-02,19.09,19.57,19.08,19.56,3072407.0
2009-12-03,19.31,19.84,19.31,19.66,2760867.0
2009-12-04,20.0,20.09,19.44,19.89,3557985.0
2009-12-07,20.04,20.05,19.49,19.67,2266333.0
2009-12-08,19.46,19.66,19.38,19.5,1657144.0
2009-12-09,19.41,19.71,19.32,19.59,2014179.0
2009-12-10,19.65,19.75,19.54,19.58,2129207.0
2009-12-11,19.63,19.78,19.58,19.62,984879.0
2009-12-14,19.76,19.93,19.66,19.91,1210889.0
2009-12-15,19.74,19.85,19.57,19.57,1597722.0
2009-12-16,19.79,20.17,19.7,20.06,1819983.0
2009-12-17,19.9,19.96,19.75,19.89,1413135.0
2009-12-18,20.0,20.01,19.65,19.93,1757521.0
2009-12-21,19.99,20.1,19.75,20.01,1276657.0
2009-12-22,20.3,20.3,20.0,20.16,1459691.0
2009-12-23,20.23,20.25,20.09,20.22,635995.0
2009-12-24,20.17,20.46,20.16,20.46,654207.0
2009-12-28,20.45,20.58,20.39,20.42,807011.0
2009-12-29,20.51,20.57,20.38,20.45,560245.0
2009-12-30,20.26,20.4,20.11,20.12,1023331.0
2009-12-31,20.25,20.3,19.97,19.98,1028924.0
2010-01-04,19.92,20.43,19.9,20.24,1780739.0
2010-01-05,19.93,20.32,19.93,20.3,1481567.0
2010-01-06,20.2,20.36,20.16,20.29,2199722.0
2010-01-07,20.25,20.3,19.89,20.0,2463353.0
2010-01-08,20.03,20.3,19.88,20.2,1231581.0
2010-01-11,20.24,20.4,20.1,20.25,1559767.0
2010-01-12,20.16,20.3,19.82,19.85,1439934.0
2010-01-13,19.85,20.14,19.75,20.12,1835698.0
2010-01-14,20.02,20.29,19.93,20.26,1172839.0
2010-01-15,20.22,20.4,20.03,20.21,2025845.0
2010-01-19,20.16,20.24,20.04,20.12,821366.0
2010-01-20,20.02,20.1,19.69,19.89,1683955.0
2010-01-21,19.99,19.99,18.9,19.06,3614375.0
2010-01-22,18.91,19.03,18.3,18.31,3293340.0
2010-01-25,18.59,18.59,18.25,18.41,2356755.0
2010-01-26,18.15,18.43,18.1,18.12,2173833.0
2010-01-27,18.12,18.42,18.09,18.38,2638952.0
2010-01-28,18.41,18.55,18.13,18.29,1470184.0
2010-01-29,18.27,18.47,18.0,18.04,2420946.0
2010-02-01,18.15,18.6,18.05,18.4,3479675.0
2010-02-04,18.93,18.93,18.33,18.36,3811903.0
2010-02-05,18.29,18.81,18.29,18.8,2936673.0
2010-02-08,18.87,18.95,17.99,18.05,4219355.0
2010-02-09,18.29,18.52,18.06,18.2,5746267.0
2010-02-10,18.14,18.26,17.92,18.09,3922813.0
2010-02-11,18.03,18.32,17.99,18.15,3076852.0
2010-02-12,18.03,18.4,17.87,18.29,4062740.0
2010-02-16,18.45,18.62,18.27,18.55,3088126.0
2010-02-17,18.61,18.69,18.38,18.57,2298090.0
2010-02-18,18.29,18.65,18.29,18.61,2217534.0
2010-02-19,18.6,18.73,18.49,18.63,2067200.0
