time,open,high,low,close,volume
1998-06-29,25.08,25.64,24.8,25.36,6307500.0
1998-06-30,25.25,25.25,24.64,24.69,1537600.0
1998-07-01,24.64,24.86,24.08,24.75,593100.0
1998-07-02,24.64,24.64,24.19,24.58,563600.0
1998-07-06,24.58,24.58,24.08,24.14,616800.0
1998-07-07,24.14,24.19,23.91,24.03,623500.0
1998-07-08,24.03,24.19,23.97,24.19,392300.0
1998-07-09,24.08,24.14,23.75,23.97,293100.0
1998-07-10,23.97,23.97,23.36,23.97,384300.0
1998-07-13,23.75,23.91,23.36,23.86,385500.0
1998-07-14,23.8,24.08,23.53,23.97,668400.0
1998-07-15,23.86,23.91,23.58,23.91,232800.0
1998-07-16,23.8,23.86,23.53,23.64,403600.0
1998-07-17,23.64,23.64,23.36,23.53,543500.0
1998-07-20,23.36,23.42,23.08,23.36,542000.0
1998-07-21,23.25,23.36,22.97,23.08,218800.0
1998-07-22,23.14,23.14,22.86,23.14,506500.0
1998-07-23,23.14,23.42,23.14,23.36,446200.0
1998-07-24,23.19,23.25,23.08,23.19,515800.0
1998-07-27,23.08,23.3,22.92,23.25,384800.0
1998-07-28,23.14,23.25,22.53,22.86,816900.0
1998-07-29,22.69,22.86,22.25,22.64,522200.0
1998-07-30,22.53,23.03,22.47,22.86,467900.0
1998-07-31,22.86,22.86,22.19,22.36,386800.0
1998-08-03,22.19,22.31,21.81,22.08,649200.0
1998-08-04,21.92,21.92,21.09,21.36,617600.0
1998-08-05,21.53,22.31,21.42,22.31,501300.0
1998-08-06,22.31,22.31,21.75,21.97,568500.0
1998-08-07,21.86,22.03,21.53,21.7,351500.0
1998-08-10,21.75,22.19,21.75,21.97,749400.0
1998-08-11,21.75,21.81,21.31,21.47,358400.0
1998-08-12,21.47,22.31,21.42,22.31,399000.0
1998-08-13,22.08,22.25,21.92,22.14,206500.0
1998-08-14,21.92,22.08,21.75,21.97,195700.0
1998-08-17,22.19,22.47,22.03,22.42,520500.0
1998-08-18,22.36,22.42,21.97,22.19,450900.0
1998-08-19,22.14,22.14,21.86,22.08,302700.0
1998-08-20,22.19,22.31,22.08,22.25,631900.0
1998-08-21,22.08,22.42,22.03,22.42,459000.0
1998-08-24,22.53,22.75,22.47,22.53,377900.0
1998-08-25,22.58,22.86,22.53,22.86,585800.0
1998-08-26,22.75,22.81,22.64,22.75,346000.0
1998-08-27,22.75,22.97,22.69,22.69,723600.0
1998-08-28,22.75,22.75,22.58,22.75,346100.0
1998-08-31,22.69,22.69,22.08,22.58,1312100.0
1998-09-01,22.36,22.47,21.81,22.47,446000.0
1998-09-02,22.25,22.31,21.86,22.25,1301000.0
1998-09-03,22.03,22.25,21.81,22.19,267200.0
1998-09-04,22.31,22.42,22.03,22.31,359300.0
1998-09-08,22.25,22.47,21.97,22.47,198700.0
1998-09-09,22.47,22.47,22.19,22.42,216700.0
1998-09-10,22.31,22.53,22.19,22.47,327200.0
1998-09-11,22.31,22.58,22.14,22.53,232300.0
1998-09-14,22.64,22.86,22.53,22.86,290300.0
1998-09-15,22.69,23.47,22.69,23.36,324900.0
1998-09-16,23.3,23.47,23.14,23.47,1183500.0
1998-09-17,23.26,23.48,23.2,23.37,1643800.0
1998-09-18,23.32,23.77,23.26,23.71,341900.0
1998-09-21,23.71,23.82,23.48,23.71,278200.0
1998-09-22,23.77,23.88,23.48,23.48,408700.0
1998-09-23,23.65,24.05,23.54,24.05,371500.0
1998-09-24,24.05,24.05,23.48,23.65,724100.0
1998-09-25,23.43,23.82,23.43,23.77,184900.0
1998-09-28,23.6,23.88,23.48,23.88,414100.0
1998-09-29,23.82,24.22,23.82,24.1,264200.0
1998-09-30,23.88,23.88,23.37,23.48,370300.0
1998-10-01,23.54,24.1,23.48,24.05,425100.0
1998-10-02,24.1,25.12,24.1,25.06,635000.0
1998-10-05,25.06,25.91,24.95,25.85,565700.0
1998-10-06,25.85,26.13,25.51,25.96,691700.0
1998-10-07,26.02,26.41,25.96,26.3,538800.0
1998-10-08,26.08,26.08,25.68,26.02,441000.0
1998-10-09,26.02,26.02,24.89,25.23,239400.0
1998-10-12,25.01,25.01,23.32,23.6,319500.0
1998-10-13,23.82,24.44,23.77,24.44,1144600.0
1998-10-14,24.89,25.23,24.67,24.95,595200.0
1998-10-15,24.84,24.95,24.22,24.44,751700.0
1998-10-16,24.33,24.33,23.65,24.1,626600.0
1998-10-19,24.1,24.1,23.65,23.88,269300.0
1998-10-20,23.77,23.88,22.7,22.81,594500.0
1998-10-21,22.92,23.37,22.81,22.87,376500.0
1998-10-22,22.75,23.43,22.53,23.43,990600.0
1998-10-23,23.48,23.54,23.03,23.26,502300.0
1998-10-26,23.15,23.26,22.81,23.03,344200.0
1998-10-27,23.15,23.37,22.58,22.81,310600.0
1998-10-28,23.03,23.43,23.03,23.26,332000.0
1998-10-29,23.26,23.26,22.98,23.09,198600.0
1998-10-30,23.32,23.48,23.2,23.43,395700.0
1998-11-02,23.43,24.1,23.43,23.94,427800.0
1998-11-03,23.94,24.61,23.94,24.61,331100.0
