time,open,high,low,close,volume
1986-07-09,28.19,28.68,28.19,28.35,1478000.0
1986-07-10,28.52,28.84,28.43,28.68,589200.0
1986-07-11,28.68,28.68,28.35,28.52,320400.0
1986-07-14,28.35,28.52,27.87,27.87,434000.0
1986-07-15,28.03,28.19,26.73,26.73,741600.0
1986-07-16,26.73,27.38,26.73,27.22,606400.0
1986-07-17,27.54,28.03,27.38,27.87,584000.0
1986-07-18,27.87,28.19,27.7,27.7,246800.0
1986-07-21,28.03,28.03,27.7,27.7,168000.0
1986-07-22,27.7,28.19,27.7,28.03,286400.0
1986-07-23,28.03,28.19,27.87,27.87,480000.0
1986-07-24,28.03,28.35,27.87,27.87,516800.0
1986-07-25,27.7,28.03,27.7,27.87,288800.0
1986-07-28,27.87,27.87,27.22,27.22,512400.0
1986-07-29,27.22,27.22,26.73,26.73,363600.0
1986-07-30,26.73,27.06,26.25,26.73,1024800.0
1986-07-31,26.73,26.73,24.95,26.08,3426000.0
1986-08-01,25.92,26.57,25.92,26.25,1432400.0
1986-08-04,26.25,26.73,25.44,25.6,812400.0
1986-08-05,25.6,26.08,25.6,25.76,990000.0
1986-08-06,25.92,25.92,24.95,25.6,1485600.0
1986-08-07,25.27,25.6,25.27,25.44,1701200.0
1986-08-08,25.44,25.92,24.46,24.79,2858400.0
1986-08-11,24.95,25.6,24.79,25.03,1228800.0
1986-08-12,25.27,25.27,24.3,24.79,2822800.0
1986-08-13,24.79,25.76,24.63,25.6,4560000.0
1986-08-14,25.27,25.76,25.27,25.6,2767600.0
1986-08-15,25.6,26.25,25.52,26.25,1017200.0
1986-08-18,26.25,26.41,25.76,25.92,765200.0
1986-08-19,25.92,25.92,25.11,25.6,1069600.0
1986-08-20,25.6,25.76,25.44,25.6,625600.0
1986-08-21,25.76,25.84,25.27,25.44,1936800.0
1986-08-22,25.6,25.76,25.44,25.76,583600.0
1986-08-25,25.76,25.76,25.11,25.11,627200.0
1986-08-26,25.44,26.08,25.27,26.08,1796800.0
1986-08-27,26.25,27.06,25.92,26.9,1865200.0
1986-08-28,27.06,27.87,26.9,27.7,1195200.0
1986-08-29,27.7,27.87,27.38,27.87,1402400.0
1986-09-02,27.87,28.19,27.7,27.7,1400000.0
1986-09-03,27.54,27.62,27.06,27.22,1788800.0
1986-09-04,27.38,27.54,27.22,27.54,1042800.0
1986-09-05,27.38,27.54,26.65,26.73,2570800.0
1986-09-08,26.57,26.57,25.44,25.44,1161600.0
1986-09-09,25.76,26.25,25.6,25.92,2043200.0
1986-09-10,25.92,26.08,25.76,26.08,826400.0
1986-09-11,26.0,26.08,24.95,24.95,1991200.0
1986-09-12,24.95,25.11,23.49,23.49,1473200.0
1986-09-15,23.65,23.82,23.49,23.65,661200.0
1986-09-16,23.98,24.14,23.65,24.14,220000.0
1986-09-17,24.3,24.79,24.14,24.46,786800.0
1986-09-18,24.79,24.79,24.46,24.79,816000.0
1986-09-19,24.63,25.76,24.63,25.6,868000.0
1986-09-22,25.76,25.76,25.11,25.27,1065200.0
1986-09-23,25.27,25.6,25.27,25.36,1162000.0
1986-09-24,25.27,25.44,25.19,25.27,717200.0
1986-09-25,25.27,25.27,24.63,24.79,646000.0
1986-09-26,24.63,24.79,24.14,24.46,636800.0
1986-09-29,24.14,24.14,23.17,23.82,965600.0
1986-09-30,23.65,24.46,23.65,24.3,790000.0
1986-10-01,24.46,25.27,24.3,25.27,509600.0
1986-10-02,24.95,25.44,24.95,24.95,1281600.0
1986-10-03,25.11,25.27,24.79,24.95,620000.0
1986-10-06,24.95,25.27,24.79,25.03,166000.0
1986-10-07,25.11,25.44,25.11,25.27,160800.0
1986-10-08,25.27,26.08,25.11,25.6,314400.0
1986-10-09,25.76,25.92,25.6,25.84,967200.0
1986-10-10,25.84,25.92,25.6,25.6,1108000.0
1986-10-13,25.6,25.76,25.6,25.76,516000.0
1986-10-14,25.76,25.76,25.6,25.76,309600.0
1986-10-15,25.6,26.08,25.6,26.08,339200.0
1986-10-16,26.41,26.57,26.08,26.25,438800.0
1986-10-17,26.08,26.08,25.44,25.76,2217200.0
1986-10-20,25.6,25.76,25.27,25.44,233600.0
1986-10-21,25.44,25.44,25.11,25.11,516400.0
1986-10-22,25.11,25.6,24.79,25.6,476000.0
1986-10-23,25.11,25.44,24.95,25.44,483200.0
1986-10-24,25.11,25.76,25.11,25.6,345200.0
1986-10-27,25.44,25.44,24.95,25.27,789600.0
1986-10-28,25.11,25.27,24.95,25.11,531200.0
1986-10-29,25.11,25.27,24.95,25.27,544000.0
1986-10-30,25.27,26.41,25.11,26.08,1017600.0
1986-10-31,25.92,26.08,25.27,25.44,2062800.0
1986-11-03,25.27,25.44,24.95,24.95,2111600.0
1986-11-04,25.11,25.11,24.63,24.79,1223200.0
1986-11-05,24.63,24.95,24.46,24.79,854000.0
1986-11-06,24.79,25.27,24.79,25.27,1211600.0
1986-11-07,25.11,25.27,24.95,25.27,460800.0
1986-11-10,24.95,25.6,24.95,25.11,450800.0
1986-11-11,25.11,25.27,25.11,25.27,213200.0
1986-11-12,25.11,25.44,24.79,24.87,434000.0
1986-11-13,24.95,24.95,24.3,24.46,2206800.0
1986-11-14,24.3,24.63,24.14,24.14,920400.0
1986-11-17,23.98,24.14,23.65,24.14,834400.0
