time,open,high,low,close,volume
2024-04-01 11:15:00,0.862,0.864,0.861,0.861,166573.0
2024-04-01 11:30:00,0.861,0.863,0.86,0.863,139710.0
2024-04-01 13:15:00,0.862,0.868,0.862,0.868,342566.0
2024-04-01 13:30:00,0.867,0.868,0.865,0.866,188311.0
2024-04-01 13:45:00,0.866,0.866,0.862,0.863,205691.0
2024-04-01 14:00:00,0.863,0.865,0.862,0.865,227543.0
2024-04-01 14:15:00,0.865,0.866,0.864,0.864,163559.0
2024-04-01 14:30:00,0.864,0.866,0.863,0.866,110541.0
2024-04-01 14:45:00,0.866,0.867,0.865,0.866,164822.0
2024-04-01 15:00:00,0.866,0.87,0.866,0.87,406009.0
2024-04-02 09:45:00,0.867,0.867,0.859,0.864,548544.0
2024-04-02 10:00:00,0.864,0.864,0.859,0.86,266890.0
2024-04-02 10:15:00,0.86,0.86,0.856,0.857,371321.0
2024-04-02 10:30:00,0.858,0.86,0.857,0.858,127405.0
2024-04-02 10:45:00,0.858,0.862,0.857,0.86,172013.0
2024-04-02 11:00:00,0.86,0.862,0.859,0.862,85686.0
2024-04-02 11:15:00,0.862,0.864,0.86,0.861,112121.0
2024-04-02 11:30:00,0.861,0.864,0.86,0.864,100411.0
2024-04-02 13:15:00,0.864,0.865,0.861,0.862,95183.0
2024-04-02 13:30:00,0.861,0.864,0.86,0.863,70720.0
2024-04-02 13:45:00,0.863,0.867,0.862,0.862,233327.0
2024-04-02 14:00:00,0.863,0.864,0.861,0.863,111024.0
2024-04-02 14:15:00,0.862,0.864,0.86,0.861,87150.0
2024-04-02 14:30:00,0.861,0.862,0.86,0.86,76684.0
2024-04-02 14:45:00,0.861,0.861,0.857,0.861,208224.0
2024-04-02 15:00:00,0.861,0.863,0.859,0.862,166030.0
2024-04-03 09:45:00,0.859,0.861,0.852,0.856,342647.0
2024-04-03 10:00:00,0.856,0.858,0.852,0.852,263748.0
2024-04-03 10:15:00,0.853,0.855,0.851,0.854,217029.0
2024-04-03 10:30:00,0.854,0.855,0.851,0.853,124467.0
