time,label
2019-10-09,2
2019-10-10,2
2019-10-11,2
2019-10-14,2
2019-10-15,2
2019-11-07,3
2019-11-08,3
2019-11-11,3
2019-11-12,3
2019-11-13,3
2019-12-10,3
2019-12-11,3
2019-12-12,3
2019-12-13,3
2019-12-16,3
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-10,1
2020-03-09,2
2020-03-10,2
2020-03-11,2
2020-03-12,2
2020-03-13,2
2020-06-18,1
2020-06-19,1
2020-06-22,1
2020-06-23,1
2020-06-24,1
2020-08-27,3
2020-08-28,3
2020-08-31,3
2020-09-01,3
2020-09-02,3
2020-09-14,1
2020-09-15,1
2020-09-16,1
2020-09-17,1
2020-09-18,1
2020-11-04,3
2020-11-05,3
2020-11-06,3
2020-11-09,3
2020-11-10,3
2021-01-18,1
2021-01-19,1
2021-01-20,1
2021-01-21,1
2021-01-22,1
2021-02-22,2
2021-02-23,2
2021-02-24,2
2021-02-25,2
2021-02-26,2
2021-04-23,1
2021-04-26,1
2021-04-27,1
2021-04-28,1
2021-04-29,1
2021-06-10,1
2021-06-11,1
2021-06-15,1
2021-06-16,1
2021-06-17,1
2021-09-02,2
2021-09-03,2
2021-09-06,2
2021-09-07,2
2021-09-08,2
2021-10-12,1
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-18,1
2021-11-02,2
2021-11-03,2
2021-11-04,2
2021-11-05,2
2021-11-08,2
2021-12-22,2
2021-12-23,2
2021-12-24,2
2021-12-27,2
2021-12-28,2
2022-01-14,3
2022-01-17,3
2022-01-18,3
2022-01-19,3
2022-01-20,3
2022-03-14,3
2022-03-15,3
2022-03-16,3
2022-03-17,3
2022-03-18,3
2022-03-22,2
2022-03-23,2
2022-03-24,2
2022-03-25,2
2022-03-28,2
2022-05-24,1
2022-05-25,1
2022-05-26,1
2022-05-27,1
2022-05-30,1
2022-06-20,1
2022-06-21,1
2022-06-22,1
2022-06-23,1
2022-06-24,1
2022-08-08,1
2022-08-09,1
2022-08-10,1
2022-08-11,1
2022-08-12,1
2022-10-10,2
2022-10-11,2
2022-10-12,2
2022-10-13,2
2022-10-14,2
2022-11-07,3
2022-11-08,3
2022-11-09,3
2022-11-10,3
2022-11-11,3
2022-11-23,3
2022-11-24,3
2022-11-25,3
2022-11-28,3
2022-11-29,3
2023-01-09,3
2023-01-10,3
2023-01-11,3
2023-01-12,3
2023-01-13,3
2023-03-07,2
2023-03-08,2
2023-03-09,2
2023-03-10,2
2023-03-13,2
2023-07-20,2
2023-07-21,2
2023-07-24,2
2023-07-25,2
2023-07-26,2
2023-08-11,2
2023-08-14,2
2023-08-15,2
2023-08-16,2
2023-08-17,2
2023-09-27,1
2023-09-28,1
2023-10-09,1
2023-10-10,1
2023-10-11,1
2023-10-26,2
2023-10-27,2
2023-10-30,2
2023-10-31,2
2023-11-01,2
2023-11-28,2
2023-11-29,2
2023-11-30,2
2023-12-01,2
2023-12-04,2
2023-12-21,1
2023-12-22,1
2023-12-25,1
2023-12-26,1
2023-12-27,1
2024-01-25,2
2024-01-26,2
2024-01-29,2
2024-01-30,2
2024-01-31,2
2024-04-03,2
2024-04-08,2
2024-04-09,2
2024-04-10,2
2024-04-11,2
2024-06-05,2
2024-06-06,2
2024-06-07,2
2024-06-11,2
2024-06-12,2
2024-07-10,1
2024-07-11,1
2024-07-12,1
2024-07-15,1
2024-07-16,1
2024-12-06,3
2024-12-09,3
2024-12-10,3
2024-12-11,3
2024-12-12,3
