time,label
1998-11-20,1
1998-11-23,1
1998-11-24,1
1998-11-25,1
1998-11-26,1
1998-12-23,2
1998-12-24,2
1998-12-28,2
1998-12-29,2
1998-12-30,2
1999-03-10,1
1999-03-11,1
1999-03-12,1
1999-03-15,1
1999-03-16,1
1999-05-20,1
1999-05-21,1
1999-05-24,1
1999-05-25,1
1999-05-26,1
1999-07-28,2
1999-07-29,2
1999-07-30,2
1999-08-02,2
1999-08-03,2
1999-09-06,3
1999-09-07,3
1999-09-08,3
1999-09-09,3
1999-09-10,3
1999-10-12,3
1999-10-13,3
1999-10-14,3
1999-10-15,3
1999-10-19,3
1999-11-25,2
1999-11-26,2
1999-11-29,2
1999-11-30,2
1999-12-01,2
1999-12-23,1
1999-12-24,1
1999-12-28,1
1999-12-29,1
1999-12-30,1
2000-02-25,2
2000-02-28,2
2000-02-29,2
2000-03-01,2
2000-03-02,2
2000-03-27,3
2000-03-28,3
2000-03-29,3
2000-03-30,3
2000-03-31,3
2000-04-10,2
2000-04-11,2
2000-04-12,2
2000-04-13,2
2000-04-14,2
2000-05-25,1
2000-05-26,1
2000-05-29,1
2000-05-30,1
2000-05-31,1
2000-06-15,1
2000-06-16,1
2000-06-19,1
2000-06-20,1
2000-06-21,1
2000-08-04,3
2000-08-07,3
2000-08-08,3
2000-08-09,3
2000-08-10,3
2000-08-30,3
2000-08-31,3
2000-09-01,3
2000-09-04,3
2000-09-05,3
2000-10-18,2
2000-10-19,2
2000-10-20,2
2000-10-23,2
2000-10-24,2
2000-11-17,3
2000-11-20,3
2000-11-21,3
2000-11-22,3
2000-11-23,3
2001-01-02,2
2001-01-03,2
2001-01-04,2
2001-01-05,2
2001-01-08,2
2001-02-02,2
2001-02-05,2
2001-02-06,2
2001-02-07,2
2001-02-08,2
2001-04-02,2
2001-04-03,2
2001-04-04,2
2001-04-06,2
2001-04-09,2
2001-05-24,2
2001-05-25,2
2001-05-28,2
2001-05-29,2
2001-05-30,2
2001-06-18,1
2001-06-19,1
2001-06-20,1
2001-06-21,1
2001-06-22,1
2001-08-09,3
2001-08-10,3
2001-08-13,3
2001-08-14,3
2001-08-15,3
2001-09-13,2
2001-09-14,2
2001-09-17,2
2001-09-18,2
2001-09-19,2
2001-10-12,1
2001-10-15,1
2001-10-16,1
2001-10-17,1
2001-10-18,1
2001-11-05,3
2001-11-06,3
2001-11-07,3
2001-11-08,3
2001-11-09,3
2002-01-23,1
2002-01-24,1
2002-01-25,1
2002-01-28,1
2002-01-29,1
2002-05-24,1
2002-05-27,1
2002-05-28,1
2002-05-29,1
2002-05-30,1
2002-07-23,2
2002-07-24,2
2002-07-25,2
2002-07-26,2
2002-07-29,2
2002-11-06,3
2002-11-07,3
2002-11-08,3
2002-11-11,3
2002-11-12,3
2002-11-28,1
2002-11-29,1
2002-12-02,1
2002-12-03,1
2002-12-04,1
2003-06-20,3
