time,label
2000-04-25,1
2000-04-26,1
2000-04-27,1
2000-04-28,1
2000-05-01,1
2000-06-05,1
2000-06-06,1
2000-06-07,1
2000-06-08,1
2000-06-12,1
2000-07-10,1
2000-07-11,1
2000-07-12,1
2000-07-13,1
2000-07-14,1
2000-08-22,1
2000-08-23,1
2000-08-24,1
2000-08-25,1
2000-08-30,1
2000-10-09,1
2000-10-10,1
2000-10-11,1
2000-10-12,1
2000-10-13,1
2000-11-30,3
2000-12-01,3
2000-12-04,3
2000-12-05,3
2000-12-06,3
2001-01-31,1
2001-02-01,1
2001-02-02,1
2001-02-05,1
2001-02-06,1
2001-03-02,2
2001-03-05,2
2001-03-06,2
2001-03-07,2
2001-03-08,2
2001-05-25,3
2001-05-29,3
2001-05-30,3
2001-05-31,3
2001-06-01,3
2001-07-12,1
2001-07-13,1
2001-07-16,1
2001-07-17,1
2001-07-18,1
2001-08-23,3
2001-08-24,3
2001-08-27,3
2001-08-28,3
2001-08-29,3
2001-10-16,1
2001-10-17,1
2001-10-18,1
2001-10-19,1
2001-10-22,1
2002-03-19,3
2002-03-20,3
2002-03-21,3
2002-03-22,3
2002-03-25,3
2002-04-16,1
2002-04-17,1
2002-04-18,1
2002-04-19,1
2002-04-22,1
2002-08-09,1
2002-08-12,1
2002-08-13,1
2002-08-14,1
2002-08-15,1
2002-10-07,2
2002-10-08,2
2002-10-09,2
2002-10-10,2
2002-10-11,2
2002-11-14,1
2002-11-15,1
2002-11-18,1
2002-11-19,1
2002-11-20,1
2003-02-06,3
2003-02-07,3
2003-02-10,3
2003-02-11,3
2003-02-12,3
2003-03-17,1
2003-03-18,1
2003-03-19,1
2003-03-20,1
2003-03-21,1
2003-04-30,3
2003-05-01,3
2003-05-02,3
2003-05-05,3
2003-05-06,3
2003-05-19,3
2003-05-20,3
2003-05-21,3
2003-05-22,3
2003-05-23,3
2003-07-21,3
2003-07-22,3
2003-07-23,3
2003-07-24,3
2003-07-25,3
2003-09-22,1
2003-09-23,1
2003-09-24,1
2003-09-25,1
2003-09-26,1
2003-11-14,3
2003-11-17,3
2003-11-18,3
2003-11-19,3
2003-11-20,3
2003-12-15,1
2003-12-16,1
2003-12-17,1
2003-12-18,1
2003-12-19,1
2004-01-06,1
2004-01-07,1
2004-01-08,1
2004-01-09,1
2004-01-12,1
2004-03-18,3
2004-03-19,3
2004-03-22,3
2004-03-23,3
2004-03-24,3
2004-04-23,3
2004-04-26,3
2004-04-27,3
2004-04-28,3
2004-04-29,3
2004-05-24,1
2004-05-25,1
2004-05-26,1
2004-05-27,1
2004-05-28,1
2004-08-17,1
2004-08-18,1
2004-08-19,1
2004-08-20,1
2004-08-23,1
2004-10-27,1
2004-10-28,1
2004-10-29,1
2004-11-01,1
2004-11-02,1
2004-12-20,3
2004-12-21,3
2004-12-22,3
2004-12-23,3
2004-12-27,3
2004-12-31,1
2009-09-16,1
2009-09-17,1
2009-09-18,1
2009-09-21,1
2009-11-02,1
2009-11-03,1
2009-11-04,1
2009-11-05,1
2009-11-06,1
2009-12-08,3
2009-12-09,3
2009-12-10,3
2009-12-11,3
2009-12-14,3
2010-04-01,2
2010-04-05,2
2010-04-06,2
2010-04-07,2
2010-04-08,2
2010-04-26,2
2010-04-27,2
2010-04-28,2
2010-04-29,2
2010-04-30,2
2010-08-13,2
2010-08-16,2
2010-08-17,2
2010-08-18,2
2010-08-19,2
2010-09-02,1
2010-09-03,1
2010-09-07,1
2010-09-08,1
2010-09-09,1
2010-11-24,3
2010-11-26,3
2010-11-29,3
2010-11-30,3
2010-12-01,3
2010-12-06,1
2010-12-07,1
2010-12-08,1
2010-12-09,1
2010-12-10,1
2011-04-29,3
2011-05-02,3
2011-05-03,3
2011-05-04,3
2011-05-05,3
2011-07-25,2
2011-07-26,2
2011-07-27,2
2011-07-28,2
2011-07-29,2
2011-10-31,3
2011-11-01,3
2011-11-02,3
2011-11-03,3
2011-11-04,3
2011-11-09,3
2011-11-10,3
2011-11-11,3
2011-11-14,3
2011-11-15,3
2011-12-20,1
2011-12-21,1
2011-12-22,1
2011-12-23,1
2011-12-27,1
2012-04-24,2
2012-04-25,2
2012-04-26,2
2012-04-27,2
2012-04-30,2
2012-08-09,1
2012-08-10,1
2012-08-13,1
2012-08-14,1
2012-08-15,1
2012-10-04,1
2012-10-05,1
2012-10-08,1
2012-10-09,1
2012-10-10,1
2012-11-06,3
2012-11-07,3
2012-11-08,3
2012-11-09,3
2012-11-12,3
2012-12-06,1
2012-12-07,1
2012-12-10,1
2012-12-11,1
2012-12-12,1
2013-01-18,1
2013-01-22,1
2013-01-23,1
2013-01-24,1
2013-01-25,1
2013-03-05,1
2013-03-06,1
2013-03-07,1
2013-03-08,1
2013-03-11,1
2013-04-23,1
2013-04-24,1
2013-04-25,1
2013-04-26,1
2013-04-29,1
2013-07-15,1
2013-07-16,1
2013-07-17,1
2013-07-18,1
2013-07-19,1
2013-08-19,2
2013-08-20,2
2013-08-21,2
2013-08-22,2
2013-08-23,2
2013-10-11,1
2013-10-14,1
2013-10-15,1
2013-10-16,1
2013-10-17,1
2013-11-19,3
2013-11-20,3
2013-11-21,3
2013-11-22,3
2013-11-25,3
2013-12-10,3
2013-12-11,3
2013-12-12,3
2013-12-13,3
2013-12-16,3
2013-12-18,1
2013-12-19,1
2013-12-20,1
2013-12-23,1
2013-12-24,1
2014-01-24,2
2014-01-27,2
2014-01-28,2
2014-01-29,2
2014-01-30,2
2014-05-21,3
2014-05-22,3
2014-05-23,3
2014-05-27,3
2014-05-28,3
2014-06-04,1
2014-06-05,1
2014-06-06,1
2014-06-09,1
2014-06-10,1
2014-08-13,1
2014-08-14,1
2014-08-15,1
2014-08-18,1
2014-08-19,1
2014-09-22,3
2014-09-23,3
2014-09-24,3
2014-09-25,3
2014-09-26,3
2014-10-06,2
2014-10-07,2
2014-10-08,2
2014-10-09,2
2014-10-10,2
2014-10-23,1
2014-10-24,1
2014-10-27,1
2014-10-28,1
2014-10-29,1
2015-01-02,2
2015-01-05,2
2015-01-06,2
2015-01-07,2
2015-01-08,2
2015-02-05,1
2015-02-06,1
2015-02-09,1
2015-02-10,1
2015-02-11,1
2015-04-29,3
2015-04-30,3
2015-05-01,3
2015-05-04,3
2015-05-05,3
2015-05-21,3
2015-05-22,3
2015-05-26,3
2015-05-27,3
2015-05-28,3
2015-06-24,2
2015-06-25,2
2015-06-26,2
2015-06-29,2
2015-06-30,2
2015-07-23,2
2015-07-24,2
2015-07-27,2
2015-07-28,2
2015-07-29,2
2015-08-25,2
2015-08-26,2
2015-08-27,2
2015-08-28,2
2015-08-31,2
2015-10-05,1
2015-10-06,1
2015-10-07,1
2015-10-08,1
2015-10-09,1
2016-01-07,2
2016-01-08,2
2016-01-11,2
2016-01-12,2
2016-01-13,2
2016-03-01,1
2016-03-02,1
2016-03-03,1
2016-03-04,1
2016-03-07,1
2016-04-04,3
2016-04-05,3
2016-04-06,3
2016-04-07,3
2016-04-08,3
2016-05-06,3
2016-05-09,3
2016-05-10,3
2016-05-11,3
2016-05-12,3
2016-07-08,1
2016-07-11,1
2016-07-12,1
2016-07-13,1
2016-07-14,1
2016-09-23,2
2016-09-26,2
2016-09-27,2
2016-09-28,2
2016-09-29,2
2016-11-07,1
2016-11-08,1
2016-11-09,1
2016-11-10,1
2016-11-11,1
2017-01-20,3
2017-01-23,3
2017-01-24,3
2017-01-25,3
2017-01-26,3
2017-02-13,1
2017-02-14,1
2017-02-15,1
2017-02-16,1
2017-02-17,1
2017-04-27,3
2017-04-28,3
2017-05-01,3
2017-05-02,3
2017-05-03,3
2017-05-19,1
2017-05-22,1
2017-05-23,1
2017-05-24,1
2017-05-25,1
2017-08-03,3
2017-08-04,3
2017-08-07,3
2017-08-08,3
2017-08-09,3
2017-09-11,1
2017-09-12,1
2017-09-13,1
2017-09-14,1
2017-09-15,1
2017-11-21,1
2017-11-22,1
2017-11-24,1
2017-11-27,1
2017-11-28,1
2018-02-02,2
2018-02-05,2
2018-02-06,2
2018-02-07,2
2018-02-08,2
2018-04-06,2
2018-04-09,2
2018-04-10,2
2018-04-11,2
2018-04-12,2
2018-06-21,2
2018-06-22,2
2018-06-25,2
2018-06-26,2
2018-06-27,2
2018-07-24,3
2018-07-25,3
2018-07-26,3
2018-07-27,3
2018-07-30,3
2018-08-01,2
2018-08-02,2
2018-08-03,2
2018-08-06,2
2018-08-07,2
2018-09-10,3
2018-09-11,3
2018-09-12,3
2018-09-13,3
2018-09-14,3
2018-10-04,2
2018-10-05,2
2018-10-08,2
2018-10-09,2
2018-10-10,2
2018-12-07,2
2018-12-10,2
2018-12-11,2
2018-12-12,2
2018-12-13,2
2019-01-10,1
2019-01-11,1
2019-01-14,1
2019-01-15,1
2019-01-16,1
2019-02-12,1
2019-02-13,1
2019-02-14,1
2019-02-15,1
2019-02-19,1
2019-04-02,1
2019-04-03,1
2019-04-04,1
2019-04-05,1
2019-04-08,1
2019-05-07,2
2019-05-08,2
2019-05-09,2
2019-05-10,2
2019-05-13,2
2019-06-19,1
2019-06-20,1
2019-06-21,1
2019-06-24,1
2019-06-25,1
2019-08-02,2
2019-08-05,2
2019-08-06,2
2019-08-07,2
2019-08-08,2
2019-09-11,1
2019-09-12,1
2019-09-13,1
2019-09-16,1
2019-09-17,1
2019-10-15,1
2019-10-16,1
2019-10-17,1
2019-10-18,1
2019-10-21,1
2019-12-04,1
2019-12-05,1
2019-12-06,1
2019-12-09,1
2019-12-10,1
2020-02-28,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-05-14,1
2020-05-15,1
2020-05-18,1
2020-05-19,1
2020-05-20,1
2020-06-22,3
2020-06-23,3
2020-06-24,3
2020-06-25,3
2020-06-26,3
2020-07-06,3
2020-07-07,3
2020-07-08,3
2020-07-09,3
2020-07-10,3
2020-08-11,1
2020-08-12,1
2020-08-13,1
2020-08-14,1
2020-08-17,1
2020-09-03,2
2020-09-04,2
2020-09-08,2
2020-09-09,2
2020-09-10,2
2020-11-03,1
2020-11-04,1
2020-11-05,1
2020-11-06,1
2020-11-09,1
2020-12-22,3
2020-12-23,3
2020-12-24,3
2020-12-28,3
2020-12-29,3
2021-02-02,3
2021-02-03,3
2021-02-04,3
2021-02-05,3
2021-02-08,3
2021-03-25,1
2021-03-26,1
2021-03-29,1
2021-03-30,1
2021-03-31,1
2021-05-13,1
2021-05-14,1
2021-05-17,1
2021-05-18,1
2021-05-19,1
2021-08-05,1
2021-08-06,1
2021-08-09,1
2021-08-10,1
2021-08-11,1
2021-09-07,2
2021-09-08,2
2021-09-09,2
2021-09-10,2
2021-09-13,2
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-18,1
2021-10-19,1
2021-12-07,3
2021-12-08,3
2021-12-09,3
2021-12-10,3
2021-12-13,3
2022-01-25,2
2022-01-26,2
2022-01-27,2
2022-01-28,2
2022-01-31,2
2022-03-16,1
2022-03-17,1
2022-03-18,1
2022-03-21,1
2022-03-22,1
2022-04-12,2
2022-04-13,2
2022-04-14,2
2022-04-18,2
2022-04-19,2
2022-07-26,1
2022-07-27,1
2022-07-28,1
2022-07-29,1
2022-08-01,1
2022-09-13,2
2022-09-14,2
2022-09-15,2
2022-09-16,2
2022-09-19,2
2022-10-21,1
2022-10-24,1
2022-10-25,1
2022-10-26,1
2022-10-27,1
2022-11-11,1
2022-11-14,1
2022-11-15,1
2022-11-16,1
2022-11-17,1
2022-12-08,3
2022-12-09,3
2022-12-12,3
2022-12-13,3
2022-12-14,3
2023-01-09,1
2023-01-10,1
2023-01-11,1
2023-01-12,1
2023-01-13,1
2023-02-16,2
2023-02-17,2
2023-02-21,2
2023-02-22,2
2023-02-23,2
2023-04-25,2
2023-04-26,2
2023-04-27,2
2023-04-28,2
2023-05-01,2
2023-06-22,3
2023-06-23,3
2023-06-26,3
2023-06-27,3
2023-06-28,3
2023-07-10,1
2023-07-11,1
2023-07-12,1
2023-07-13,1
2023-07-14,1
2023-08-08,2
2023-08-09,2
2023-08-10,2
2023-08-11,2
2023-08-14,2
2023-09-20,2
2023-09-21,2
2023-09-22,2
2023-09-25,2
2023-09-26,2
2023-11-02,1
2023-11-03,1
2023-11-06,1
2023-11-07,1
2023-11-08,1
2024-01-22,3
2024-01-23,3
2024-01-24,3
2024-01-25,3
2024-01-26,3
2024-02-02,3
2024-02-05,3
2024-02-06,3
2024-02-07,3
2024-02-08,3
2024-02-13,3
2024-02-14,3
2024-02-15,3
2024-02-16,3
2024-02-20,3
2024-02-22,1
2024-02-23,1
2024-02-26,1
2024-02-27,1
2024-02-28,1
2024-04-16,2
2024-04-17,2
2024-04-18,2
2024-04-19,2
2024-04-22,2
2024-05-06,1
2024-05-07,1
2024-05-08,1
2024-05-09,1
2024-05-10,1
2024-05-24,2
2024-05-28,2
2024-05-29,2
2024-05-30,2
2024-05-31,2
2024-06-26,3
2024-06-27,3
2024-06-28,3
2024-07-01,3
2024-07-02,3
2024-07-08,1
2024-07-09,1
2024-07-10,1
2024-07-11,1
2024-07-12,1
2024-09-13,1
2024-09-16,1
2024-09-17,1
2024-09-18,1
2024-09-19,1
2024-10-14,1
2024-10-15,1
2024-10-16,1
2024-10-17,1
2024-10-18,1
2024-11-01,1
2024-11-04,1
