time,price,market_condition,probability
2011-07-18,56.28,range,0.7372292887434525
2011-07-19,57.41,trend_up,0.7120327792700281
2011-07-20,58.78,trend_up,0.7659730145623967
2011-07-21,59.51,trend_up,0.8785301868194225
2011-07-22,59.75,trend_up,0.7025988867267614
2011-07-25,59.12,trend_up,0.6749095691286516
2011-07-26,58.99,trend_up,0.6785402064872875
2011-07-27,57.35,range,0.6049488934198607
2011-07-28,54.74,trend_down,0.4023418816377386
2011-07-29,54.0,range,0.4951543470793119
2011-08-01,53.28,trend_down,0.5222772456021968
2011-08-02,50.99,trend_down,0.7088080358373513
2011-08-03,51.36,trend_down,0.9310376619313472
2011-08-04,47.08,trend_down,0.47675406878691773
2011-08-05,46.06,trend_down,0.47675406878691773
2011-08-08,42.06,trend_down,0.47675406878691773
2011-08-09,45.19,trend_down,0.9074700472430703
2011-08-10,44.35,trend_down,0.9679556215260039
2011-08-11,46.96,trend_down,0.9679556215260039
2011-08-12,47.23,trend_down,0.9742323281814625
2011-08-15,49.26,trend_down,0.9671310851438669
2011-08-16,48.53,trend_down,0.8902144987503774
2011-08-17,48.45,trend_down,0.9569493631443057
2011-08-18,45.98,trend_down,0.967029182099857
2011-08-19,46.59,trend_down,0.9661863672976857
2011-08-22,45.29,trend_down,0.9742323281814625
2011-08-23,47.43,trend_down,0.9653094962875512
2011-08-24,47.6,trend_down,0.9653094962875512
2011-08-25,46.49,trend_down,0.9735686106763175
2011-08-26,47.64,trend_down,0.9200970289289416
2011-08-29,49.71,trend_up,0.7071502087268331
2011-08-30,49.99,trend_up,0.641881695646907
2011-08-31,49.88,trend_up,0.8493096640531225
2011-09-01,49.63,trend_up,0.648246343667833
2011-09-02,48.88,range,0.6941415031866094
2011-09-06,47.91,trend_down,0.7865737659217185
2011-09-07,49.62,range,0.4998880512009192
2011-09-08,48.89,range,0.700716910698857
2011-09-09,46.71,trend_down,0.6901246879786478
2011-09-12,46.86,trend_down,0.5597440010896126
2011-09-13,47.64,range,0.7521371808182002
2011-09-14,49.23,range,0.5731823569743637
2011-09-15,49.43,range,0.5882663822619455
2011-09-16,49.34,range,0.5882663822619455
2011-09-19,49.11,range,0.5731823569743637
2011-09-20,49.45,trend_up,0.5616842318899299
2011-09-21,48.16,range,0.7587811733891006
2011-09-22,46.27,trend_down,0.6901246879786478
2011-09-23,47.58,range,0.5731823569743637
2011-09-26,49.21,range,0.5731823569743637
2011-09-27,50.05,trend_up,0.5845824471871091
2011-09-28,49.2,range,0.6241366913594073
2011-09-29,48.12,range,0.7995050735526689
2011-09-30,46.84,trend_down,0.5355572095786205
2011-10-03,43.67,trend_down,0.6845091731199374
2011-10-04,45.1,trend_down,0.6933867578573556
2011-10-05,46.59,trend_down,0.7563838706517835
2011-10-06,47.18,trend_down,0.7137135907345468
2011-10-07,46.63,trend_down,0.7674418169778481
2011-10-10,48.65,trend_up,0.5297699603102178
2011-10-11,48.44,range,0.5819078489731289
2011-10-12,49.08,range,0.5819078489731289
2011-10-13,48.57,range,0.7472219107038316
2011-10-14,49.04,trend_up,0.5659424405180494
2011-10-17,49.0,trend_up,0.5142803300338894
2011-10-18,50.26,trend_up,0.7010959321612099
2011-10-19,48.78,trend_up,0.7010959321612099
2011-10-20,49.0,trend_up,0.7010959321612099
2011-10-21,49.75,trend_up,0.6465933116478583
2011-10-24,50.42,trend_up,0.6444135550300909
