time,label
2023-08-04,2
2023-08-07,2
2023-08-08,2
2023-08-09,2
2023-08-10,2
2023-10-03,2
2023-10-04,2
2023-10-05,2
2023-10-06,2
2023-10-09,2
2023-12-19,3
2023-12-20,3
2023-12-21,3
2023-12-22,3
2023-12-26,3
2024-01-16,2
2024-01-17,2
2024-01-18,2
2024-01-19,2
2024-01-22,2
2024-02-15,3
2024-02-16,3
2024-02-20,3
2024-02-21,3
2024-02-22,3
2024-03-15,1
2024-03-18,1
2024-03-19,1
2024-03-20,1
2024-03-21,1
2024-04-29,1
2024-04-30,1
2024-05-01,1
2024-05-02,1
2024-05-03,1
2024-06-24,3
2024-06-25,3
2024-06-26,3
2024-06-27,3
2024-06-28,3
2024-07-11,1
2024-07-12,1
2024-07-15,1
2024-07-16,1
2024-07-17,1
2024-08-23,1
2024-08-26,1
2024-08-27,1
2024-08-28,1
2024-08-29,1
2024-11-07,1
2024-11-08,1
2024-11-11,1
2024-11-12,1
2024-11-13,1
2024-12-09,2
2024-12-10,2
2024-12-11,2
2024-12-12,2
2024-12-13,2
2025-01-15,1
2025-01-16,1
2025-01-17,1
2025-01-21,1
2025-01-22,1
