time,label
1987-02-12,1
1987-02-13,1
1987-02-17,1
1987-02-18,1
1987-02-19,1
1987-03-06,3
1987-03-09,3
1987-03-10,3
1987-03-11,3
1987-03-12,3
1987-03-17,1
1987-03-18,1
1987-03-19,1
1987-03-20,1
1987-03-23,1
1987-04-21,1
1987-04-22,1
1987-04-23,1
1987-04-24,1
1987-04-27,1
1987-05-18,2
1987-05-19,2
1987-05-20,2
1987-05-21,2
1987-05-22,2
1987-06-15,3
1987-06-16,3
1987-06-17,3
1987-06-18,3
1987-06-19,3
1987-07-01,1
1987-07-02,1
1987-07-06,1
1987-07-07,1
1987-07-08,1
1987-07-30,3
1987-07-31,3
1987-08-03,3
1987-08-04,3
1987-08-05,3
1987-08-07,1
1987-08-10,1
1987-08-11,1
1987-08-12,1
1987-08-13,1
1987-10-20,2
1987-10-21,2
1987-10-22,2
1987-10-23,2
1987-10-26,2
1988-01-08,3
1988-01-11,3
1988-01-12,3
1988-01-13,3
1988-01-14,3
1988-02-09,3
1988-02-10,3
1988-02-11,3
1988-02-12,3
1988-02-16,3
1988-02-22,1
1988-02-23,1
1988-02-24,1
1988-02-25,1
1988-02-26,1
1988-04-22,3
1988-04-25,3
1988-04-26,3
1988-04-27,3
1988-04-28,3
1988-05-09,3
1988-05-10,3
1988-05-11,3
1988-05-12,3
1988-05-13,3
1988-06-06,1
1988-06-07,1
1988-06-08,1
1988-06-09,1
1988-06-10,1
1988-08-01,3
1988-08-02,3
1988-08-03,3
1988-08-04,3
1988-08-05,3
1988-08-11,2
1988-08-12,2
1988-08-15,2
1988-08-16,2
1988-08-17,2
1988-12-15,1
1988-12-16,1
1988-12-19,1
1988-12-20,1
1988-12-21,1
1989-01-19,3
1989-01-20,3
1989-01-23,3
1989-01-24,3
1989-01-25,3
1989-02-22,3
1989-02-23,3
1989-02-24,3
1989-02-27,3
1989-02-28,3
1989-04-05,1
1989-04-06,1
1989-04-07,1
1989-04-10,1
1989-04-11,1
1989-09-19,1
1989-09-20,1
1989-09-21,1
1989-09-22,1
1989-09-25,1
1989-11-15,1
1989-11-16,1
1989-11-17,1
1989-11-20,1
1989-11-21,1
1989-12-27,1
1989-12-28,1
1989-12-29,1
1990-01-02,1
1990-01-03,1
1990-02-20,3
1990-02-21,3
1990-02-22,3
1990-02-23,3
1990-02-26,3
1990-04-05,3
1990-04-06,3
1990-04-09,3
1990-04-10,3
1990-04-11,3
1990-05-04,1
1990-05-07,1
1990-05-08,1
1990-05-09,1
1990-05-10,1
1990-07-25,2
1990-07-26,2
1990-07-27,2
1990-07-30,2
1990-07-31,2
1990-11-05,1
1990-11-06,1
1990-11-07,1
1990-11-08,1
1990-11-09,1
1990-12-07,3
1990-12-10,3
1990-12-11,3
1990-12-12,3
1990-12-13,3
1991-01-09,1
1991-01-10,1
1991-01-11,1
1991-01-14,1
1991-01-15,1
1991-06-07,2
1991-06-10,2
1991-06-11,2
1991-06-12,2
1991-06-13,2
1991-07-15,3
1991-07-16,3
1991-07-17,3
1991-07-18,3
1991-07-19,3
1991-08-30,3
1991-09-03,3
1991-09-04,3
1991-09-05,3
1991-09-06,3
1991-09-13,2
1991-09-16,2
1991-09-17,2
1991-09-18,2
1991-09-19,2
1991-11-07,3
1991-11-08,3
1991-11-11,3
1991-11-12,3
1991-11-13,3
1991-12-02,3
1991-12-03,3
1991-12-04,3
1991-12-05,3
1991-12-06,3
1991-12-13,1
1991-12-16,1
1991-12-17,1
1991-12-18,1
1991-12-19,1
1992-01-17,1
1992-01-20,1
1992-01-21,1
1992-01-22,1
1992-01-23,1
1992-03-30,2
1992-03-31,2
1992-04-01,2
1992-04-02,2
1992-04-03,2
1992-06-23,1
1992-06-24,1
1992-06-25,1
1992-06-26,1
1992-06-29,1
1992-09-01,1
1992-09-02,1
1992-09-03,1
1992-09-04,1
1992-09-08,1
1992-11-16,3
1992-11-17,3
1992-11-18,3
1992-11-19,3
1992-11-20,3
1992-12-04,1
1992-12-07,1
1992-12-08,1
1992-12-09,1
1992-12-10,1
1993-01-14,1
1993-01-15,1
1993-01-18,1
1993-01-19,1
1993-01-20,1
1993-02-17,1
1993-02-18,1
1993-02-19,1
1993-02-22,1
1993-02-23,1
1993-03-24,3
1993-03-25,3
1993-03-26,3
1993-03-29,3
1993-03-30,3
1993-04-19,2
1993-04-20,2
1993-04-21,2
1993-04-22,2
1993-04-23,2
1993-05-18,1
1993-05-19,1
1993-05-20,1
1993-05-21,1
1993-05-24,1
1993-06-07,2
1993-06-08,2
1993-06-09,2
1993-06-10,2
1993-06-11,2
1993-08-17,1
1993-08-18,1
1993-08-19,1
1993-08-20,1
1993-08-23,1
1993-09-13,3
1993-09-14,3
1993-09-15,3
1993-09-16,3
1993-09-17,3
1993-10-11,2
1993-10-12,2
1993-10-13,2
1993-10-14,2
1993-10-15,2
1993-12-21,1
1993-12-22,1
1993-12-23,1
1993-12-27,1
1993-12-28,1
1994-01-27,3
1994-01-28,3
1994-01-31,3
1994-02-01,3
1994-02-02,3
1994-02-08,3
1994-02-09,3
1994-02-10,3
1994-02-11,3
1994-02-14,3
1994-02-22,1
1994-02-23,1
1994-02-24,1
1994-02-25,1
1994-02-28,1
1994-04-15,2
1994-04-18,2
1994-04-19,2
1994-04-20,2
1994-04-21,2
1994-06-17,2
1994-06-20,2
1994-06-21,2
1994-06-22,2
1994-06-23,2
1994-08-03,3
1994-08-04,3
1994-08-05,3
1994-08-08,3
1994-08-09,3
1994-08-15,1
1994-08-16,1
1994-08-17,1
1994-08-18,1
1994-08-19,1
1994-09-27,2
1994-09-28,2
1994-09-29,2
1994-09-30,2
1994-10-03,2
1994-11-04,3
1994-11-07,3
1994-11-08,3
1994-11-09,3
1994-11-10,3
1994-12-23,1
1994-12-27,1
1994-12-28,1
1994-12-29,1
1994-12-30,1
1995-02-01,1
1995-02-02,1
1995-02-03,1
1995-02-06,1
1995-02-07,1
1995-06-19,2
1995-06-20,2
1995-06-21,2
1995-06-22,2
1995-06-23,2
1995-10-18,1
1995-10-19,1
1995-10-20,1
1995-10-23,1
1995-10-24,1
1995-11-15,2
1995-11-16,2
1995-11-17,2
1995-11-20,2
1995-11-21,2
1995-12-15,2
1995-12-18,2
1995-12-19,2
1995-12-20,2
1995-12-21,2
1996-01-31,1
1996-02-01,1
1996-02-02,1
1996-02-05,1
1996-02-06,1
1996-03-27,3
1996-03-28,3
1996-03-29,3
1996-04-01,3
1996-04-02,3
1996-04-09,1
1996-04-10,1
1996-04-11,1
1996-04-12,1
1996-04-15,1
1996-07-05,3
1996-07-08,3
1996-07-09,3
1996-07-10,3
1996-07-11,3
1996-07-26,1
1996-07-29,1
1996-07-30,1
1996-07-31,1
1996-08-01,1
1996-08-27,3
1996-08-28,3
1996-08-29,3
1996-08-30,3
1996-09-03,3
1996-09-18,1
1996-09-19,1
1996-09-20,1
1996-09-23,1
1996-09-24,1
1996-10-16,1
1996-10-17,1
1996-10-18,1
1996-10-21,1
1996-10-22,1
1997-01-03,1
1997-01-06,1
1997-01-07,1
1997-01-08,1
1997-01-09,1
1997-02-24,2
1997-02-25,2
1997-02-26,2
1997-02-27,2
1997-02-28,2
1997-04-28,1
1997-04-29,1
1997-04-30,1
1997-05-01,1
1997-05-02,1
1997-06-02,2
1997-06-03,2
1997-06-04,2
1997-06-05,2
1997-06-06,2
1997-07-14,2
1997-07-15,2
1997-07-16,2
1997-07-17,2
1997-07-18,2
1997-09-04,3
1997-09-05,3
1997-09-08,3
1997-09-09,3
1997-09-10,3
1997-10-29,2
1997-10-30,2
1997-10-31,2
1997-11-03,2
1997-11-04,2
1997-11-17,3
1997-11-18,3
1997-11-19,3
1997-11-20,3
1997-11-21,3
1997-12-09,2
1997-12-10,2
1997-12-11,2
1997-12-12,2
1997-12-15,2
1998-01-26,1
1998-01-27,1
1998-01-28,1
1998-01-29,1
1998-01-30,1
1998-03-03,2
1998-03-04,2
1998-03-05,2
1998-03-06,2
1998-03-09,2
1998-04-23,1
1998-04-24,1
1998-04-27,1
1998-04-28,1
1998-04-29,1
1998-05-20,2
1998-05-21,2
1998-05-22,2
1998-05-26,2
1998-05-27,2
1998-06-22,1
1998-06-23,1
1998-06-24,1
1998-06-25,1
1998-06-26,1
1998-09-11,1
1998-09-14,1
1998-09-15,1
1998-09-16,1
1998-09-17,1
1998-10-19,1
1998-10-20,1
1998-10-21,1
1998-10-22,1
1998-10-23,1
1999-02-18,3
1999-02-19,3
1999-02-22,3
1999-02-23,3
1999-02-24,3
1999-02-26,2
1999-03-01,2
1999-03-02,2
1999-03-03,2
1999-03-04,2
1999-03-24,3
1999-03-25,3
1999-03-26,3
1999-03-29,3
1999-03-30,3
1999-04-12,2
1999-04-13,2
1999-04-14,2
1999-04-15,2
1999-04-16,2
1999-07-02,1
1999-07-06,1
1999-07-07,1
1999-07-08,1
1999-07-09,1
1999-07-27,1
1999-07-28,1
1999-07-29,1
1999-07-30,1
1999-08-02,1
1999-09-24,2
1999-09-27,2
1999-09-28,2
1999-09-29,2
1999-09-30,2
1999-11-29,3
1999-11-30,3
1999-12-01,3
1999-12-02,3
1999-12-03,3
1999-12-17,1
1999-12-20,1
1999-12-21,1
1999-12-22,1
1999-12-23,1
2000-01-18,1
2000-01-19,1
2000-01-20,1
2000-01-21,1
2000-01-24,1
2000-05-31,1
2000-06-01,1
2000-06-02,1
2000-06-05,1
2000-06-06,1
2000-06-27,3
2000-06-28,3
2000-06-29,3
2000-06-30,3
2000-07-03,3
2000-07-21,3
2000-07-24,3
2000-07-25,3
2000-07-26,3
2000-07-27,3
2000-08-01,2
2000-08-02,2
2000-08-03,2
2000-08-04,2
2000-08-07,2
2000-11-30,2
2000-12-01,2
2000-12-04,2
2000-12-05,2
2000-12-06,2
2001-01-17,3
2001-01-18,3
2001-01-19,3
2001-01-22,3
2001-01-23,3
2001-02-05,3
2001-02-06,3
2001-02-07,3
2001-02-08,3
2001-02-09,3
2001-03-09,2
2001-03-12,2
2001-03-13,2
2001-03-14,2
2001-03-15,2
2001-05-21,3
2001-05-22,3
2001-05-23,3
2001-05-24,3
2001-05-25,3
2001-05-31,3
2001-06-01,3
2001-06-04,3
2001-06-05,3
2001-06-06,3
2001-07-12,3
2001-07-13,3
2001-07-16,3
2001-07-17,3
2001-07-18,3
2001-08-08,3
2001-08-09,3
2001-08-10,3
2001-08-13,3
2001-08-14,3
2001-08-21,2
2001-08-22,2
