time,label
1985-07-24,2
1985-07-25,2
1985-07-26,2
1985-07-29,2
1985-07-30,2
1985-08-27,1
1985-08-28,1
1985-08-29,1
1985-08-30,1
1985-09-03,1
1985-10-22,1
1985-10-23,1
1985-10-24,1
1985-10-25,1
1985-10-28,1
1985-11-12,1
1985-11-13,1
1985-11-14,1
1985-11-15,1
1985-11-18,1
1985-12-06,3
1985-12-09,3
1985-12-10,3
1985-12-11,3
1985-12-12,3
1985-12-31,3
1986-01-02,3
1986-01-03,3
1986-01-06,3
1986-01-07,3
1986-01-28,2
1986-01-29,2
1986-01-30,2
1986-01-31,2
1986-02-03,2
1986-03-17,1
1986-03-18,1
1986-03-19,1
1986-03-20,1
1986-03-21,1
1986-04-11,1
1986-04-14,1
1986-04-15,1
1986-04-16,1
1986-04-17,1
1986-05-02,3
1986-05-05,3
1986-05-06,3
1986-05-07,3
1986-05-08,3
1986-05-14,1
1986-05-15,1
1986-05-16,1
1986-05-19,1
1986-05-20,1
1986-06-11,1
1986-06-12,1
1986-06-13,1
1986-06-16,1
1986-06-17,1
1986-08-07,3
1986-08-08,3
1986-08-11,3
1986-08-12,3
1986-08-13,3
1986-09-05,2
1986-09-08,2
1986-09-09,2
1986-09-10,2
1986-09-11,2
1987-02-13,1
1987-02-17,1
1987-02-18,1
1987-02-19,1
1987-02-20,1
1987-05-07,3
1987-05-08,3
1987-05-11,3
1987-05-12,3
1987-05-13,3
1987-06-15,1
1987-06-16,1
1987-06-17,1
1987-06-18,1
1987-06-19,1
1987-07-21,2
1987-07-22,2
1987-07-23,2
1987-07-24,2
1987-07-27,2
1987-08-07,1
1987-08-10,1
1987-08-11,1
1987-08-12,1
1987-08-13,1
1987-11-11,3
1987-11-12,3
1987-11-13,3
1987-11-16,3
1987-11-17,3
1988-01-25,3
1988-01-26,3
1988-01-27,3
1988-01-28,3
1988-01-29,3
1988-02-12,3
1988-02-16,3
1988-02-17,3
1988-02-18,3
1988-02-19,3
1988-03-24,3
1988-03-25,3
1988-03-28,3
1988-03-29,3
1988-03-30,3
1988-05-16,3
1988-05-17,3
1988-05-18,3
1988-05-19,3
1988-05-20,3
1988-05-31,1
1988-06-01,1
1988-06-02,1
1988-06-03,1
1988-06-06,1
1988-06-29,3
1988-06-30,3
1988-07-01,3
1988-07-05,3
1988-07-06,3
1988-08-01,1
1988-08-02,1
1988-08-03,1
1988-08-04,1
1988-08-05,1
1988-08-26,1
1988-08-29,1
1988-08-30,1
1988-08-31,1
1988-09-01,1
1988-10-27,2
1988-10-28,2
1988-10-31,2
1988-11-01,2
1988-11-02,2
1988-12-05,1
1988-12-06,1
1988-12-07,1
1988-12-08,1
1988-12-09,1
1989-01-04,3
1989-01-05,3
1989-01-06,3
1989-01-09,3
1989-01-10,3
1989-02-17,2
1989-02-21,2
1989-02-22,2
1989-02-23,2
1989-02-24,2
1989-03-30,1
1989-03-31,1
1989-04-03,1
1989-04-04,1
1989-04-05,1
1989-05-12,1
1989-05-15,1
1989-05-16,1
1989-05-17,1
1989-05-18,1
1989-07-07,1
1989-07-10,1
1989-07-11,1
1989-07-12,1
1989-07-13,1
1989-09-11,2
1989-09-12,2
1989-09-13,2
1989-09-14,2
1989-09-15,2
1989-10-27,2
1989-10-30,2
1989-10-31,2
1989-11-01,2
1989-11-02,2
1990-01-22,2
1990-01-23,2
1990-01-24,2
1990-01-25,2
1990-01-26,2
1990-02-20,2
1990-02-21,2
1990-02-22,2
1990-02-23,2
1990-02-26,2
1990-05-08,1
1990-05-09,1
1990-05-10,1
1990-05-11,1
1990-05-14,1
1990-06-15,2
1990-06-18,2
1990-06-19,2
1990-06-20,2
1990-06-21,2
1990-07-11,1
1990-07-12,1
1990-07-13,1
1990-07-16,1
1990-07-17,1
1990-08-02,2
1990-08-03,2
1990-08-06,2
1990-08-07,2
1990-08-08,2
1990-09-07,3
1990-09-10,3
1990-09-11,3
1990-09-12,3
1990-09-13,3
1990-11-26,1
1990-11-27,1
1990-11-28,1
1990-11-29,1
1990-11-30,1
1991-01-17,1
1991-01-18,1
1991-01-21,1
1991-01-22,1
1991-01-23,1
1991-05-20,1
1991-05-21,1
1991-05-22,1
1991-05-23,1
1991-05-24,1
1991-06-14,1
1991-06-17,1
1991-06-18,1
1991-06-19,1
1991-06-20,1
1991-09-24,1
1991-09-25,1
1991-09-26,1
1991-09-27,1
1991-09-30,1
1991-12-17,2
1991-12-18,2
1991-12-19,2
1991-12-20,2
1991-12-23,2
1992-03-06,3
1992-03-09,3
1992-03-10,3
1992-03-11,3
1992-03-12,3
1992-06-22,1
1992-06-23,1
1992-06-24,1
