time,label
2019-12-18,3
2019-12-19,3
2019-12-20,3
2019-12-23,3
2019-12-24,3
2020-01-02,1
2020-01-03,1
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-05-27,1
2020-05-28,1
2020-05-29,1
2020-06-01,1
2020-06-02,1
2020-06-15,2
2020-06-16,2
2020-06-17,2
2020-06-18,2
2020-06-19,2
2020-08-03,3
2020-08-04,3
2020-08-05,3
2020-08-06,3
2020-08-07,3
2020-09-04,3
2020-09-08,3
2020-09-09,3
2020-09-10,3
2020-09-11,3
2020-09-21,3
2020-09-22,3
2020-09-23,3
2020-09-24,3
2020-09-25,3
2020-11-03,1
2020-11-04,1
2020-11-05,1
2020-11-06,1
2020-11-09,1
2021-03-11,1
2021-03-12,1
2021-03-15,1
2021-03-16,1
2021-03-17,1
2021-06-18,3
2021-06-21,3
2021-06-22,3
2021-06-23,3
2021-06-24,3
2021-07-20,1
2021-07-21,1
2021-07-22,1
2021-07-23,1
2021-07-26,1
2021-08-26,3
2021-08-27,3
2021-08-30,3
2021-08-31,3
2021-09-01,3
2021-09-16,2
2021-09-17,2
2021-09-20,2
2021-09-21,2
2021-09-22,2
2021-10-06,1
2021-10-07,1
2021-10-08,1
2021-10-11,1
2021-10-12,1
2021-10-26,2
2021-10-27,2
2021-10-28,2
2021-10-29,2
2021-11-01,2
2022-01-06,1
2022-01-07,1
2022-01-10,1
2022-01-11,1
2022-01-12,1
2022-02-15,3
2022-02-16,3
2022-02-17,3
2022-02-18,3
2022-02-22,3
2022-03-30,3
2022-03-31,3
2022-04-01,3
2022-04-04,3
2022-04-05,3
2022-04-27,2
2022-04-28,2
2022-04-29,2
2022-05-02,2
2022-05-03,2
2022-05-23,3
2022-05-24,3
2022-05-25,3
2022-05-26,3
2022-05-27,3
2022-07-05,3
2022-07-06,3
2022-07-07,3
2022-07-08,3
2022-07-11,3
2022-11-11,2
2022-11-14,2
2022-11-15,2
2022-11-16,2
2022-11-17,2
2022-12-06,2
2022-12-07,2
2022-12-08,2
2022-12-09,2
2022-12-12,2
2023-01-27,1
2023-01-30,1
2023-01-31,1
2023-02-01,1
2023-02-02,1
2023-02-27,3
2023-02-28,3
2023-03-01,3
2023-03-02,3
2023-03-03,3
2023-03-09,2
2023-03-10,2
2023-03-13,2
2023-03-14,2
2023-03-15,2
2023-04-26,2
2023-04-27,2
2023-04-28,2
2023-05-01,2
2023-05-02,2
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-12,1
2023-06-13,1
2023-07-28,2
2023-07-31,2
2023-08-01,2
2023-08-02,2
2023-08-03,2
2023-11-08,1
2023-11-09,1
2023-11-10,1
2023-11-13,1
2023-11-14,1
2024-01-18,3
2024-01-19,3
2024-01-22,3
2024-01-23,3
2024-01-24,3
2024-03-14,3
2024-03-15,3
2024-03-18,3
2024-03-19,3
2024-03-20,3
2024-04-03,2
2024-04-04,2
2024-04-05,2
2024-04-08,2
2024-04-09,2
2024-04-22,1
2024-04-23,1
2024-04-24,1
2024-04-25,1
2024-04-26,1
2024-07-08,1
2024-07-09,1
2024-07-10,1
2024-07-11,1
2024-07-12,1
2024-09-27,1
2024-09-30,1
2024-10-01,1
2024-10-02,1
2024-10-03,1
2024-12-09,2
2024-12-10,2
2024-12-11,2
2024-12-12,2
2024-12-13,2
2025-01-29,2
2025-01-30,2
2025-01-31,2
2025-02-03,2
2025-02-04,2
