time,label
2019-06-04,2
2019-06-05,2
2019-06-06,2
2019-06-07,2
2019-06-10,2
2019-08-16,3
2019-08-19,3
2019-08-20,3
2019-08-21,3
2019-08-22,3
2019-08-26,1
2019-08-27,1
2019-08-28,1
2019-08-29,1
2019-08-30,1
2019-09-26,2
2019-09-27,2
2019-09-30,2
2019-10-01,2
2019-10-02,2
2019-10-22,1
2019-10-23,1
2019-10-24,1
2019-10-25,1
2019-10-28,1
2019-12-30,3
2019-12-31,3
2020-01-02,3
2020-01-03,3
2020-01-06,3
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-04-20,1
2020-04-21,1
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-06-26,3
2020-06-29,3
2020-06-30,3
2020-07-01,3
2020-07-02,3
2020-07-14,1
2020-07-15,1
2020-07-16,1
2020-07-17,1
2020-07-20,1
2020-08-25,3
2020-08-26,3
2020-08-27,3
2020-08-28,3
2020-08-31,3
2020-09-25,1
2020-09-28,1
2020-09-29,1
2020-09-30,1
2020-10-01,1
2020-10-29,3
2020-10-30,3
2020-11-02,3
2020-11-03,3
2020-11-04,3
2020-12-02,1
2020-12-03,1
2020-12-04,1
2020-12-07,1
2020-12-08,1
2020-12-22,2
2020-12-23,2
2020-12-24,2
2020-12-28,2
2020-12-29,2
2021-01-14,1
2021-01-15,1
2021-01-19,1
2021-01-20,1
2021-01-21,1
2021-02-22,2
2021-02-23,2
2021-02-24,2
2021-02-25,2
2021-02-26,2
2021-04-13,1
2021-04-14,1
2021-04-15,1
2021-04-16,1
2021-04-19,1
2021-06-08,1
2021-06-09,1
2021-06-10,1
2021-06-11,1
2021-06-14,1
2021-08-05,1
2021-08-06,1
2021-08-09,1
2021-08-10,1
2021-08-11,1
2021-09-01,1
2021-09-02,1
2021-09-03,1
2021-09-07,1
2021-09-08,1
2021-10-01,2
2021-10-04,2
2021-10-05,2
2021-10-06,2
2021-10-07,2
2021-12-21,2
2021-12-22,2
2021-12-23,2
2021-12-27,2
2021-12-28,2
2022-03-14,1
2022-03-15,1
2022-03-16,1
2022-03-17,1
2022-03-18,1
2022-06-02,3
2022-06-03,3
2022-06-06,3
2022-06-07,3
2022-06-08,3
2022-07-07,1
2022-07-08,1
2022-07-11,1
2022-07-12,1
2022-07-13,1
2022-09-02,2
2022-09-06,2
2022-09-07,2
2022-09-08,2
2022-09-09,2
2022-10-24,1
2022-10-25,1
2022-10-26,1
2022-10-27,1
2022-10-28,1
2023-01-27,3
2023-01-30,3
2023-01-31,3
2023-02-01,3
2023-02-02,3
2023-03-23,3
2023-03-24,3
2023-03-27,3
2023-03-28,3
2023-03-29,3
2023-04-20,2
2023-04-21,2
2023-04-24,2
2023-04-25,2
2023-04-26,2
2023-06-01,3
2023-06-02,3
2023-06-05,3
2023-06-06,3
2023-06-07,3
2023-07-10,3
2023-07-11,3
2023-07-12,3
2023-07-13,3
2023-07-14,3
2024-02-01,2
2024-02-02,2
2024-02-05,2
2024-02-06,2
2024-02-07,2
2024-03-06,1
2024-03-07,1
2024-03-08,1
2024-03-11,1
2024-03-12,1
2024-04-10,3
2024-04-11,3
2024-04-12,3
2024-04-15,3
2024-04-16,3
2024-04-26,1
2024-04-29,1
2024-04-30,1
2024-05-01,1
2024-05-02,1
2024-05-23,1
2024-05-24,1
2024-05-28,1
2024-05-29,1
2024-05-30,1
2024-06-14,2
2024-06-17,2
2024-06-18,2
2024-06-20,2
2024-06-21,2
2024-08-01,2
2024-08-02,2
2024-08-05,2
2024-08-06,2
2024-08-07,2
