time,label
2002-11-11,3
2002-11-12,3
2002-11-13,3
2002-11-14,3
2002-11-15,3
2002-11-21,1
2002-11-22,1
2002-11-25,1
2002-11-26,1
2002-11-27,1
2003-01-07,1
2003-01-08,1
2003-01-09,1
2003-01-10,1
2003-01-13,1
2003-02-10,1
2003-02-11,1
2003-02-12,1
2003-02-13,1
2003-02-14,1
2003-03-13,1
2003-03-14,1
2003-03-17,1
2003-03-18,1
2003-03-19,1
2003-06-26,1
2003-06-27,1
2003-06-30,1
2003-07-01,1
2003-07-02,1
2003-08-20,1
2003-08-21,1
2003-08-22,1
2003-08-25,1
2003-08-26,1
2003-09-30,1
2003-10-01,1
2003-10-02,1
2003-10-03,1
2003-10-06,1
2003-11-07,2
2003-11-10,2
2003-11-11,2
2003-11-12,2
2003-11-13,2
2003-12-04,3
2003-12-05,3
2003-12-08,3
2003-12-09,3
2003-12-10,3
2003-12-23,1
2003-12-24,1
2003-12-26,1
2003-12-29,1
2003-12-30,1
2004-01-23,1
2004-01-26,1
2004-01-27,1
2004-01-28,1
2004-01-29,1
2004-03-08,2
2004-03-09,2
2004-03-10,2
2004-03-11,2
2004-03-12,2
2004-03-29,1
2004-03-30,1
2004-03-31,1
2004-04-01,1
2004-04-02,1
2004-04-16,2
2004-04-19,2
2004-04-20,2
2004-04-21,2
2004-04-22,2
2004-05-11,1
2004-05-12,1
2004-05-13,1
2004-05-14,1
2004-05-17,1
2004-07-19,2
2004-07-20,2
2004-07-21,2
2004-07-22,2
2004-07-23,2
2004-10-15,2
2004-10-18,2
2004-10-19,2
2004-10-20,2
2004-10-21,2
2004-11-26,3
2004-11-29,3
2004-11-30,3
2004-12-01,3
2004-12-02,3
2009-09-16,1
2009-09-17,1
2009-09-18,1
2009-09-21,1
2009-09-22,1
2009-12-23,3
2009-12-24,3
2009-12-28,3
2009-12-29,3
2009-12-30,3
2010-01-07,2
2010-01-08,2
2010-01-11,2
2010-01-12,2
2010-01-13,2
2010-01-28,1
2010-01-29,1
2010-02-01,1
2010-02-04,1
2010-02-05,1
2010-04-23,1
2010-04-26,1
2010-04-27,1
2010-04-28,1
2010-04-29,1
2010-05-21,1
2010-05-24,1
2010-05-25,1
