time,label
1988-01-28,1
1988-01-29,1
1988-02-01,1
1988-02-02,1
1988-02-03,1
1988-03-22,3
1988-03-23,3
1988-03-24,3
1988-03-25,3
1988-03-28,3
1988-04-14,2
1988-04-15,2
1988-04-18,2
1988-04-19,2
1988-04-20,2
1988-05-26,3
1988-05-27,3
1988-05-31,3
1988-06-01,3
1988-06-02,3
1988-07-05,1
1988-07-06,1
1988-07-07,1
1988-07-08,1
1988-07-11,1
1988-08-10,3
1988-08-11,3
1988-08-12,3
1988-08-15,3
1988-08-16,3
1988-08-24,3
1988-08-25,3
1988-08-26,3
1988-08-29,3
1988-08-30,3
1988-09-01,1
1988-09-02,1
1988-09-06,1
1988-09-07,1
1988-09-08,1
1988-10-12,3
1988-10-13,3
1988-10-14,3
1988-10-17,3
1988-10-18,3
1988-11-23,1
1988-11-25,1
1988-11-28,1
1988-11-29,1
1988-11-30,1
1989-01-06,3
1989-01-09,3
1989-01-10,3
1989-01-11,3
1989-01-12,3
1989-01-27,1
1989-01-30,1
1989-01-31,1
1989-02-01,1
1989-02-02,1
1989-02-28,1
1989-03-01,1
1989-03-02,1
1989-03-03,1
1989-03-06,1
1989-05-23,1
1989-05-24,1
1989-05-25,1
1989-05-26,1
1989-05-30,1
1989-06-29,3
1989-06-30,3
1989-07-03,3
1989-07-05,3
1989-07-06,3
1989-08-16,1
1989-08-17,1
1989-08-18,1
1989-08-21,1
1989-08-22,1
1989-10-13,2
1989-10-16,2
1989-10-17,2
1989-10-18,2
1989-10-19,2
1990-01-12,2
1990-01-15,2
1990-01-16,2
1990-01-17,2
1990-01-18,2
1990-03-22,1
1990-03-23,1
1990-03-26,1
1990-03-27,1
1990-03-28,1
1990-04-30,1
1990-05-01,1
1990-05-02,1
1990-05-03,1
1990-05-04,1
1990-06-13,3
1990-06-14,3
1990-06-15,3
1990-06-18,3
1990-06-19,3
1990-06-27,1
1990-06-28,1
1990-06-29,1
1990-07-02,1
1990-07-03,1
1990-07-23,2
1990-07-24,2
1990-07-25,2
1990-07-26,2
1990-07-27,2
1990-09-17,3
1990-09-18,3
1990-09-19,3
1990-09-20,3
1990-09-21,3
1990-10-09,3
1990-10-10,3
1990-10-11,3
1990-10-12,3
1990-10-15,3
1990-11-01,2
1990-11-02,2
1990-11-05,2
1990-11-06,2
1990-11-07,2
1990-12-24,3
1990-12-26,3
1990-12-27,3
1990-12-28,3
1990-12-31,3
1991-01-23,1
1991-01-24,1
1991-01-25,1
1991-01-28,1
1991-01-29,1
1991-04-23,1
1991-04-24,1
1991-04-25,1
1991-04-26,1
1991-04-29,1
1991-05-14,3
1991-05-15,3
1991-05-16,3
1991-05-17,3
1991-05-20,3
1991-05-23,1
1991-05-24,1
1991-05-28,1
1991-05-29,1
1991-05-30,1
1991-06-18,3
1991-06-19,3
1991-06-20,3
1991-06-21,3
1991-06-24,3
1991-07-15,1
1991-07-16,1
1991-07-17,1
1991-07-18,1
1991-07-19,1
1991-09-25,2
1991-09-26,2
1991-09-27,2
1991-09-30,2
1991-10-01,2
1991-11-04,3
1991-11-05,3
1991-11-06,3
1991-11-07,3
1991-11-08,3
1991-12-18,1
1991-12-19,1
1991-12-20,1
1991-12-23,1
1991-12-24,1
1992-01-16,3
1992-01-17,3
1992-01-20,3
1992-01-21,3
1992-01-22,3
1992-03-19,1
1992-03-20,1
1992-03-23,1
1992-03-24,1
1992-03-25,1
1992-06-02,3
1992-06-03,3
1992-06-04,3
1992-06-05,3
1992-06-08,3
1992-06-18,2
1992-06-19,2
1992-06-22,2
1992-06-23,2
1992-06-24,2
1992-08-26,3
1992-08-27,3
1992-08-28,3
1992-08-31,3
1992-09-01,3
1992-09-23,3
1992-09-24,3
1992-09-25,3
1992-09-28,3
1992-09-29,3
1992-10-22,1
1992-10-23,1
1992-10-26,1
1992-10-27,1
1992-10-28,1
1992-11-30,3
1992-12-01,3
1992-12-02,3
1992-12-03,3
1992-12-04,3
1993-01-07,2
1993-01-08,2
1993-01-11,2
1993-01-12,2
1993-01-13,2
1993-02-24,3
1993-02-25,3
1993-02-26,3
1993-03-01,3
1993-03-02,3
1993-03-25,3
1993-03-26,3
1993-03-29,3
1993-03-30,3
1993-03-31,3
1993-04-06,2
1993-04-07,2
1993-04-08,2
1993-04-12,2
1993-04-13,2
1993-04-27,1
1993-04-28,1
1993-04-29,1
1993-04-30,1
1993-05-03,1
1993-06-18,3
1993-06-21,3
1993-06-22,3
1993-06-23,3
1993-06-24,3
1993-07-29,1
1993-07-30,1
1993-08-02,1
1993-08-03,1
1993-08-04,1
1993-10-06,1
1993-10-07,1
1993-10-08,1
1993-10-11,1
1993-10-12,1
1993-12-06,1
1993-12-07,1
1993-12-08,1
1993-12-09,1
1993-12-10,1
1994-01-03,2
1994-01-04,2
1994-01-05,2
1994-01-06,2
1994-01-07,2
1994-02-07,3
1994-02-08,3
1994-02-09,3
1994-02-10,3
1994-02-11,3
1994-03-22,2
1994-03-23,2
1994-03-24,2
1994-03-25,2
1994-03-28,2
1994-06-02,3
1994-06-03,3
1994-06-06,3
1994-06-07,3
1994-06-08,3
1994-06-13,2
1994-06-14,2
1994-06-15,2
1994-06-16,2
1994-06-17,2
1994-07-29,1
1994-08-01,1
1994-08-02,1
1994-08-03,1
1994-08-04,1
1994-09-29,3
1994-09-30,3
1994-10-03,3
1994-10-04,3
1994-10-05,3
1995-01-26,1
1995-01-27,1
1995-01-30,1
1995-01-31,1
1995-02-01,1
1995-03-10,2
1995-03-13,2
1995-03-14,2
1995-03-15,2
1995-03-16,2
1995-04-04,3
1995-04-05,3
1995-04-06,3
1995-04-07,3
1995-04-10,3
1995-06-16,1
1995-06-19,1
1995-06-20,1
1995-06-21,1
1995-06-22,1
1995-08-03,2
1995-08-04,2
1995-08-07,2
1995-08-08,2
1995-08-09,2
1995-09-14,2
1995-09-15,2
1995-09-18,2
1995-09-19,2
1995-09-20,2
1995-10-23,1
1995-10-24,1
1995-10-25,1
1995-10-26,1
1995-10-27,1
1996-01-26,1
1996-01-29,1
1996-01-30,1
1996-01-31,1
1996-02-01,1
1996-05-13,1
1996-05-14,1
1996-05-15,1
1996-05-16,1
1996-05-17,1
1996-07-03,2
1996-07-05,2
1996-07-08,2
1996-07-09,2
1996-07-10,2
1996-08-22,1
1996-08-23,1
1996-08-26,1
1996-08-27,1
1996-08-28,1
1996-10-22,3
1996-10-23,3
1996-10-24,3
1996-10-25,3
1996-10-28,3
1996-10-31,1
1996-11-01,1
1996-11-04,1
1996-11-05,1
1996-11-06,1
1996-11-22,3
1996-11-25,3
1996-11-26,3
1996-11-27,3
1996-11-29,3
1997-01-07,2
1997-01-08,2
1997-01-09,2
1997-01-10,2
1997-01-13,2
1997-01-31,1
1997-02-03,1
1997-02-04,1
1997-02-05,1
1997-02-06,1
1997-03-10,3
1997-03-11,3
1997-03-12,3
1997-03-13,3
1997-03-14,3
1997-05-12,3
1997-05-13,3
1997-05-14,3
1997-05-15,3
1997-05-16,3
1997-05-30,1
1997-06-02,1
1997-06-03,1
1997-06-04,1
1997-06-05,1
1997-09-30,1
1997-10-01,1
1997-10-02,1
1997-10-03,1
1997-10-06,1
1997-10-31,1
1997-11-03,1
1997-11-04,1
1997-11-05,1
1997-11-06,1
1998-03-02,1
1998-03-03,1
1998-03-04,1
1998-03-05,1
1998-03-06,1
1998-03-23,2
1998-03-24,2
1998-03-25,2
1998-03-26,2
1998-03-27,2
1998-06-04,1
1998-06-05,1
1998-06-08,1
1998-06-09,1
1998-06-10,1
1998-07-09,3
1998-07-10,3
1998-07-13,3
1998-07-14,3
