time,label
1998-01-26,1
1998-01-27,1
1998-01-28,1
1998-01-29,1
1998-01-30,1
1998-04-09,3
1998-04-13,3
1998-04-14,3
1998-04-15,3
1998-04-16,3
1998-04-21,3
1998-04-22,3
1998-04-23,3
1998-04-24,3
1998-04-27,3
1998-07-21,2
1998-07-22,2
1998-07-23,2
1998-07-24,2
1998-07-27,2
1998-09-29,2
1998-09-30,2
1998-10-01,2
1998-10-02,2
1998-10-05,2
1998-10-27,1
1998-10-28,1
1998-10-29,1
1998-10-30,1
1998-11-02,1
1998-11-13,2
1998-11-16,2
1998-11-17,2
1998-11-18,2
1998-11-19,2
1999-01-14,2
1999-01-15,2
1999-01-19,2
1999-01-20,2
1999-01-21,2
1999-03-09,1
1999-03-10,1
1999-03-11,1
1999-03-12,1
1999-03-15,1
1999-04-20,3
1999-04-21,3
1999-04-22,3
1999-04-23,3
1999-04-26,3
1999-05-24,2
1999-05-25,2
1999-05-26,2
1999-05-27,2
1999-05-28,2
1999-06-30,1
1999-07-01,1
1999-07-02,1
1999-07-06,1
1999-07-07,1
1999-07-23,3
1999-07-26,3
1999-07-27,3
1999-07-28,3
1999-07-29,3
1999-09-23,2
1999-09-24,2
1999-09-27,2
1999-09-28,2
1999-09-29,2
1999-12-09,2
1999-12-10,2
1999-12-13,2
1999-12-14,2
1999-12-15,2
2000-01-05,3
2000-01-06,3
2000-01-07,3
2000-01-10,3
2000-01-11,3
2000-01-18,1
2000-01-19,1
2000-01-20,1
2000-01-21,1
2000-01-24,1
2000-03-03,1
2000-03-06,1
2000-03-07,1
2000-03-08,1
2000-03-09,1
2000-06-20,3
2000-06-21,3
2000-06-22,3
2000-06-23,3
2000-06-26,3
2000-07-12,3
2000-07-13,3
2000-07-14,3
2000-07-17,3
2000-07-18,3
2000-07-25,2
2000-07-26,2
2000-07-27,2
2000-07-28,2
2000-07-31,2
2000-08-11,1
2000-08-14,1
2000-08-15,1
2000-08-16,1
2000-08-17,1
2000-11-03,1
2000-11-06,1
2000-11-07,1
2000-11-08,1
2000-11-09,1
2000-11-28,2
2000-11-29,2
2000-11-30,2
2000-12-01,2
2000-12-04,2
2001-01-02,2
2001-01-03,2
2001-01-04,2
2001-01-05,2
2001-01-08,2
2001-03-13,2
2001-03-14,2
2001-03-15,2
2001-03-16,2
2001-03-19,2
2001-05-24,2
2001-05-25,2
2001-05-29,2
2001-05-30,2
2001-05-31,2
2001-08-07,3
2001-08-08,3
2001-08-09,3
2001-08-10,3
2001-08-13,3
2001-08-22,1
2001-08-23,1
2001-08-24,1
2001-08-27,1
2001-08-28,1
2001-10-18,3
2001-10-19,3
2001-10-22,3
2001-10-23,3
2001-10-24,3
2001-10-31,3
2001-11-01,3
2001-11-02,3
2001-11-05,3
2001-11-06,3
2002-01-03,1
2002-01-04,1
2002-01-07,1
2002-01-08,1
2002-01-09,1
2002-02-25,3
2002-02-26,3
2002-02-27,3
2002-02-28,3
2002-03-01,3
2002-03-06,1
2002-03-07,1
2002-03-08,1
2002-03-11,1
2002-03-12,1
2002-04-12,3
2002-04-15,3
2002-04-16,3
2002-04-17,3
2002-04-18,3
2002-05-01,2
2002-05-02,2
2002-05-03,2
2002-05-06,2
2002-05-07,2
2002-07-02,2
2002-07-03,2
2002-07-05,2
2002-07-08,2
2002-07-09,2
2002-08-29,2
2002-08-30,2
2002-09-03,2
2002-09-04,2
2002-09-05,2
2002-10-15,1
2002-10-16,1
2002-10-17,1
2002-10-18,1
2002-10-21,1
2002-12-04,1
2002-12-05,1
2002-12-06,1
2002-12-09,1
2002-12-10,1
2003-02-12,3
2003-02-13,3
2003-02-14,3
2003-02-18,3
2003-02-19,3
2003-02-24,1
2003-02-25,1
2003-02-26,1
2003-02-27,1
2003-02-28,1
2003-04-08,2
2003-04-09,2
2003-04-10,2
2003-04-11,2
2003-04-14,2
2003-06-10,3
2003-06-11,3
2003-06-12,3
2003-06-13,3
2003-06-16,3
2003-07-16,3
2003-07-17,3
2003-07-18,3
2003-07-21,3
2003-07-22,3
2003-08-07,1
2003-08-08,1
2003-08-11,1
2003-08-12,1
2003-08-13,1
2003-10-03,1
2003-10-06,1
2003-10-07,1
2003-10-08,1
2003-10-09,1
2003-10-29,1
2003-10-30,1
2003-10-31,1
2003-11-03,1
2003-11-04,1
2004-01-14,1
2004-01-15,1
2004-01-16,1
2004-01-20,1
2004-01-21,1
2004-04-01,3
2004-04-02,3
2004-04-05,3
2004-04-06,3
2004-04-07,3
2004-04-19,1
2004-04-20,1
2004-04-21,1
2004-04-22,1
2004-04-23,1
2004-06-15,1
2004-06-16,1
2004-06-17,1
2004-06-18,1
2004-06-21,1
2004-08-04,2
2004-08-05,2
2004-08-06,2
2004-08-09,2
2004-08-10,2
2004-09-10,1
2004-09-13,1
2004-09-14,1
2004-09-15,1
2004-09-16,1
2004-11-10,3
2004-11-11,3
2004-11-12,3
2004-11-15,3
2004-11-16,3
2004-12-27,3
2004-12-28,3
2004-12-29,3
2004-12-30,3
2004-12-31,3
2009-09-17,2
2009-09-18,2
2009-09-21,2
2009-09-22,2
2009-09-23,2
2009-10-28,2
2009-10-29,2
2009-10-30,2
2009-11-02,2
2009-11-03,2
2009-12-17,3
2009-12-18,3
2009-12-21,3
2009-12-22,3
2009-12-23,3
2010-01-07,1
2010-01-08,1
2010-01-11,1
2010-01-12,1
2010-01-13,1
2010-03-04,1
2010-03-05,1
2010-03-08,1
2010-03-09,1
2010-03-10,1
2010-04-07,3
2010-04-08,3
2010-04-09,3
2010-04-12,3
