time,price,market_condition,probability
2013-01-16,45.31,trend_up,0.6500417381001691
2013-01-17,45.22,trend_up,0.6144662816192575
2013-01-18,44.81,trend_up,0.9661863672976857
2013-01-22,47.36,trend_up,0.49200707268621524
2013-01-23,47.07,trend_up,0.6372585403282437
2013-01-24,47.79,trend_up,0.6372585403282437
2013-01-25,48.08,trend_up,0.9742323281814625
2013-01-28,48.64,trend_up,0.6537255360960813
2013-01-29,46.11,trend_up,0.9365728327825781
2013-01-30,46.85,trend_up,0.9735686106763175
2013-01-31,47.0,trend_up,0.9661863672976857
2013-02-01,46.77,trend_up,0.9661863672976857
2013-02-04,46.38,trend_up,0.855628419547505
2013-02-05,46.63,trend_up,0.9735686106763175
2013-02-06,47.99,trend_up,0.9735686106763175
2013-02-07,47.6,trend_up,0.9735686106763175
2013-02-08,48.49,trend_up,0.9735686106763175
2013-02-11,48.6,trend_up,0.8142617836188334
2013-02-12,48.18,trend_up,0.8107846739053404
2013-02-13,48.63,trend_up,0.5925093016481692
2013-02-14,48.81,trend_up,0.5933025115890171
2013-02-15,48.59,trend_up,0.757483659280673
2013-02-19,48.57,trend_up,0.7075252337545701
2013-02-20,46.54,trend_down,0.5824918233590364
2013-02-21,45.74,trend_down,0.8639326827781951
2013-02-22,45.9,trend_down,0.8672707799644853
2013-02-25,44.81,trend_down,0.9526892231117793
2013-02-26,45.87,trend_down,0.9494329718220619
2013-02-27,47.01,range,0.6130512033176081
2013-02-28,47.16,trend_up,0.83445980475675
2013-03-01,48.18,trend_up,0.7970122181324113
2013-03-04,47.81,trend_up,0.8993481562721959
2013-03-05,48.37,trend_up,0.8989569418665566
2013-03-06,48.83,trend_up,0.9075479579203247
2013-03-07,47.27,range,0.6384837358914196
2013-03-08,47.66,range,0.7472219107038316
2013-03-11,48.01,range,0.7497206378675046
2013-03-12,49.99,trend_up,0.6898099268265826
2013-03-13,50.39,trend_up,0.8425031193103917
2013-03-14,50.71,trend_up,0.6614523778828112
2013-03-15,50.16,trend_up,0.4984908934756067
2013-03-18,49.6,trend_up,0.8579993070247722
2013-03-19,48.86,trend_up,0.8202936324525594
2013-03-20,49.32,trend_up,0.6692163404760045
2013-03-21,48.1,trend_down,0.5255368726491012
2013-03-22,47.93,trend_down,0.7100613190755783
2013-03-25,47.53,trend_down,0.5183425986193364
2013-03-26,48.67,range,0.6341739504397705
2013-03-27,50.14,trend_up,0.5428037142509133
2013-03-28,50.29,trend_up,0.49916722069826164
2013-04-01,50.4,trend_up,0.5010189048170285
2013-04-02,50.07,trend_up,0.5314785125189843
2013-04-03,50.6,trend_up,0.5354147004911096
2013-04-04,50.78,trend_up,0.7124680888866436
2013-04-05,49.8,range,0.5260256456459346
2013-04-08,50.23,trend_up,0.5004417259040699
2013-04-09,51.57,trend_up,0.5436733687414756
2013-04-10,53.21,trend_up,0.40368746327143085
2013-04-11,52.39,trend_up,0.7977255985390856
2013-04-12,52.32,trend_up,0.884414432399688
2013-04-15,51.16,trend_up,0.8712464509372875
2013-04-16,52.03,trend_up,0.8995701894473405
2013-04-17,50.57,range,0.596740290616225
2013-04-18,49.25,trend_down,0.5399094434744496
2013-04-19,49.93,trend_down,0.7275557528240247
2013-04-22,50.51,range,0.596740290616225
2013-04-23,53.24,trend_up,0.812621349618431
2013-04-24,52.9,trend_up,0.8577421024719191
2013-04-25,52.6,trend_up,0.4700353637929043
2013-04-26,53.29,trend_up,0.9334337888308885
2013-04-29,54.12,trend_up,0.9515503628485181
2013-04-30,55.28,trend_up,0.9515503628485181
2013-05-01,54.8,trend_up,0.8410340316965537
2013-05-02,56.66,trend_up,0.9340890853126469
2013-05-03,57.15,trend_up,0.7800584310432876
2013-05-06,58.13,trend_up,0.8254513396560144
2013-05-07,58.83,trend_up,0.5400529877582588
2013-05-08,59.01,trend_up,0.5195563566276113
2013-05-09,57.68,trend_up,0.9713217933116737
2013-05-10,58.47,trend_up,0.9019048519618212
2013-05-13,57.91,trend_up,0.8989257226588602
2013-05-14,59.21,trend_up,0.9696978493388541
2013-05-15,59.57,trend_up,0.7716231358784297
2013-05-16,59.05,trend_up,0.5407135016471885
2013-05-17,60.46,trend_up,0.8264601616968841
2013-05-20,59.45,trend_up,0.5253364874270217
2013-05-21,60.72,trend_up,0.8264601616968841
2013-05-22,60.4,trend_up,0.5407135016471885
2013-05-23,62.26,trend_up,0.8225765820481383
2013-05-24,62.3,trend_up,0.9679511336517824
2013-05-28,62.86,trend_up,0.5156789627930598
2013-05-29,63.73,trend_up,0.5390484451925946
2013-05-30,63.79,trend_up,0.8958711337427966
2013-05-31,63.32,trend_up,0.6516806989816127
2013-06-03,63.8,trend_up,0.9696978493388541
2013-06-04,63.42,trend_up,0.9595217952889388
2013-06-05,62.81,trend_up,0.9689210597843152
2013-06-06,63.86,trend_up,0.9689210597843152
2013-06-07,64.15,trend_up,0.8965282913525047
2013-06-10,64.61,trend_up,0.9689210597843152
2013-06-11,64.54,trend_up,0.9584953099214758
2013-06-12,63.91,trend_up,0.9630431473640584
2013-06-13,64.26,trend_up,0.9689210597843152
2013-06-14,63.88,trend_up,0.6738534638853216
2013-06-17,64.65,trend_up,0.6795662148642935
2013-06-18,64.67,trend_up,0.6795662148642935
2013-06-19,63.57,trend_up,0.7899935202422885
2013-06-20,61.49,trend_down,0.7203370012995628
2013-06-21,60.19,trend_down,0.7858155656247915
2013-06-24,58.54,trend_down,0.9526892231117793
2013-06-25,60.06,trend_down,0.9526892231117793
2013-06-26,60.71,trend_down,0.9558414499823895
2013-06-27,62.62,trend_up,0.8976590831882497
2013-06-28,62.09,trend_down,0.5693234864679636
2013-07-01,63.06,trend_down,0.5693234864679636
2013-07-02,63.18,trend_up,0.9450935403116844
2013-07-03,63.21,trend_up,0.9487246146283509
2013-07-05,64.51,trend_up,0.9499801362641012
2013-07-08,65.22,trend_up,0.9182273385573261
2013-07-09,66.2,trend_up,0.9178630123221301
2013-07-10,67.23,trend_up,0.620787067642963
2013-07-11,67.02,trend_up,0.5387730654631989
2013-07-12,67.86,trend_up,0.8927407182097999
2013-07-15,68.24,trend_up,0.5156789627930598
2013-07-16,67.89,trend_up,0.8958711337427966
2013-07-17,68.55,trend_up,0.9230955164120815
2013-07-18,69.65,trend_up,0.8264601616968841
2013-07-19,69.79,trend_up,0.5407135016471885
2013-07-22,70.09,trend_up,0.5407135016471885
2013-07-23,67.83,trend_up,0.9671310851438669
2013-07-24,67.53,trend_up,0.9306137682501783
2013-07-25,63.53,trend_down,0.8491236163364417
2013-07-26,62.63,trend_down,0.9526892231117793
2013-07-29,62.6,trend_down,0.8964466843873213
2013-07-30,65.09,trend_down,0.9096603708933312
2013-07-31,64.38,trend_down,0.9423709533776204
2013-08-01,66.44,trend_down,0.5739474073462888
2013-08-02,65.16,trend_down,0.5739474073462888
2013-08-05,64.8,trend_down,0.7939991758485883
2013-08-06,64.46,trend_down,0.8123414493055849
2013-08-07,63.62,trend_down,0.8493096640531225
2013-08-08,66.72,trend_down,0.45769042081438654
2013-08-09,67.5,trend_up,0.6826739095759736
2013-08-12,68.17,trend_up,0.6981605724174039
2013-08-13,68.41,trend_up,0.5545577042650239
2013-08-14,68.49,trend_up,0.5603436505264106
2013-08-15,66.02,range,0.6412288529727601
