time,label
1985-04-18,1
1985-04-19,1
1985-04-22,1
1985-04-23,1
1985-04-24,1
1985-07-29,2
1985-07-30,2
1985-07-31,2
1985-08-01,2
1985-08-02,2
1985-08-19,1
1985-08-20,1
1985-08-21,1
1985-08-22,1
1985-08-23,1
1985-09-26,3
1985-09-30,3
1985-10-01,3
1985-10-02,3
1985-10-03,3
1985-10-17,1
1985-10-18,1
1985-10-21,1
1985-10-22,1
1985-10-23,1
1985-11-13,1
1985-11-14,1
1985-11-15,1
1985-11-18,1
1985-11-19,1
1986-01-29,1
1986-01-30,1
1986-01-31,1
1986-02-03,1
1986-02-04,1
1986-04-11,1
1986-04-14,1
1986-04-15,1
1986-04-16,1
1986-04-17,1
1986-05-01,2
1986-05-02,2
1986-05-05,2
1986-05-06,2
1986-05-07,2
1986-05-28,1
1986-05-29,1
1986-05-30,1
1986-06-02,1
1986-06-03,1
1986-11-05,3
1986-11-06,3
1986-11-07,3
1986-11-10,3
1986-11-11,3
1986-12-08,2
1986-12-09,2
1986-12-10,2
1986-12-11,2
1986-12-12,2
1987-01-06,1
1987-01-07,1
1987-01-08,1
1987-01-09,1
1987-01-12,1
1987-02-11,2
1987-02-12,2
1987-02-13,2
1987-02-17,2
1987-02-18,2
1987-06-01,1
1987-06-02,1
1987-06-03,1
1987-06-04,1
1987-06-05,1
1987-07-01,2
1987-07-02,2
1987-07-06,2
1987-07-07,2
1987-07-08,2
1987-08-14,2
1987-08-17,2
1987-08-18,2
1987-08-19,2
1987-08-20,2
1987-10-19,2
1987-10-20,2
1987-10-21,2
1987-10-22,2
1987-10-23,2
1987-11-09,2
1987-11-10,2
1987-11-11,2
1987-11-12,2
1987-11-13,2
1988-01-22,1
1988-01-25,1
1988-01-26,1
1988-01-27,1
1988-01-28,1
1988-02-25,3
1988-02-26,3
1988-02-29,3
1988-03-01,3
1988-03-02,3
1988-03-29,3
1988-03-30,3
1988-03-31,3
1988-04-04,3
1988-04-05,3
1988-04-27,1
1988-04-28,1
1988-04-29,1
1988-05-02,1
1988-05-03,1
1988-05-24,1
1988-05-25,1
1988-05-26,1
1988-05-27,1
1988-05-31,1
1988-07-05,3
1988-07-06,3
1988-07-07,3
1988-07-08,3
1988-07-11,3
1988-08-03,3
1988-08-04,3
1988-08-05,3
1988-08-08,3
1988-08-09,3
1988-09-06,1
1988-09-07,1
1988-09-08,1
1988-09-09,1
1988-09-12,1
1988-10-06,1
1988-10-07,1
1988-10-10,1
1988-10-11,1
1988-10-12,1
1988-11-25,3
1988-11-28,3
1988-11-29,3
1988-11-30,3
1988-12-01,3
1988-12-13,3
1988-12-14,3
1988-12-15,3
1988-12-16,3
1988-12-19,3
1988-12-30,3
1989-01-03,3
1989-01-04,3
1989-01-05,3
1989-01-06,3
1989-01-12,2
1989-01-13,2
1989-01-16,2
1989-01-17,2
1989-01-18,2
1989-02-15,1
1989-02-16,1
1989-02-17,1
1989-02-21,1
1989-02-22,1
1989-03-09,3
1989-03-10,3
1989-03-13,3
1989-03-14,3
1989-03-15,3
1989-04-18,1
1989-04-19,1
1989-04-20,1
1989-04-21,1
1989-04-24,1
1989-07-03,1
1989-07-05,1
1989-07-06,1
1989-07-07,1
1989-07-10,1
1989-08-21,2
1989-08-22,2
1989-08-23,2
1989-08-24,2
1989-08-25,2
1989-09-14,3
1989-09-15,3
1989-09-18,3
1989-09-19,3
1989-09-20,3
1989-09-26,3
1989-09-27,3
1989-09-28,3
1989-09-29,3
1989-10-02,3
1989-10-06,3
1989-10-09,3
1989-10-10,3
1989-10-11,3
1989-10-12,3
1989-10-23,3
1989-10-24,3
1989-10-25,3
1989-10-26,3
1989-10-27,3
1989-11-02,1
1989-11-03,1
1989-11-06,1
1989-11-07,1
1989-11-08,1
1990-01-05,2
1990-01-08,2
1990-01-09,2
1990-01-10,2
1990-01-11,2
1990-02-12,3
1990-02-13,3
1990-02-14,3
1990-02-15,3
