0,1,2
2019-01-10 10:15:00,11.957,buy
2019-01-10 11:15:00,11.871,buy
2019-01-11 14:50:00,11.926,buy
2019-01-15 09:45:00,11.772,buy
2019-01-18 14:15:00,12.406,sell
2019-01-23 13:30:00,12.8,sell
2019-01-28 09:55:00,12.659,buy
2019-02-28 11:10:00,17.92,buy
2019-03-04 10:10:00,19.204,sell
2019-03-14 09:35:00,19.433,buy
2019-03-14 13:30:00,19.263,buy
2019-03-14 14:20:00,18.818,buy
2019-03-20 13:25:00,21.414,buy
2019-04-01 10:05:00,25.994,sell
2019-04-02 09:40:00,26.822,sell
2019-04-17 13:30:00,27.613,sell
2019-04-18 13:10:00,26.625,buy
2019-04-29 09:45:00,25.404,buy
2019-05-08 10:35:00,22.666,buy
2019-05-20 10:20:00,22.036,buy
2019-05-23 10:40:00,22.08,buy
2019-05-24 10:50:00,21.977,buy
2019-06-04 11:05:00,24.927,buy
2019-06-05 10:20:00,24.541,buy
2019-06-20 10:10:00,23.765,buy
2019-07-01 14:10:00,24.096,sell
2019-07-03 10:40:00,24.147,buy
2019-07-04 14:35:00,23.178,buy
2019-07-10 14:55:00,25.503,buy
2019-07-12 13:30:00,25.464,buy
2019-07-15 14:10:00,27.372,sell
2019-07-23 10:30:00,27.451,buy
2019-08-01 09:40:00,30.47,buy
2019-08-05 11:15:00,31.519,sell
2019-08-08 09:45:00,30.033,buy
2019-08-12 13:30:00,28.535,buy
2019-08-15 11:00:00,28.247,buy
2019-08-23 13:50:00,27.396,buy
2019-08-26 11:05:00,27.376,buy
2019-08-27 11:15:00,30.864,sell
2019-08-29 10:45:00,31.475,buy
2019-09-06 14:00:00,30.025,buy
2019-09-18 10:40:00,28.255,buy
2019-11-11 09:40:00,36.659,buy
2019-11-20 13:20:00,37.368,buy
2019-11-25 13:25:00,35.149,buy
2019-11-29 10:10:00,34.471,buy
2019-12-03 11:10:00,35.567,buy
2019-12-10 11:10:00,32.942,buy
2019-12-12 13:55:00,32.599,buy
2019-12-13 09:45:00,32.421,buy
2019-12-18 09:40:00,32.808,buy
2019-12-18 14:05:00,32.441,buy
2019-12-20 10:25:00,32.126,buy
2019-12-24 09:35:00,31.542,buy
2019-12-26 11:20:00,30.699,buy
2019-12-30 15:00:00,33.545,sell
2020-01-14 11:10:00,35.673,buy
2020-01-21 14:05:00,34.964,buy
2020-01-23 13:05:00,32.611,buy
2020-02-04 10:40:00,31.546,sell
2020-02-05 09:40:00,32.827,sell
2020-02-07 10:30:00,36.422,sell
2020-02-12 10:00:00,39.371,buy
2020-02-13 10:25:00,38.239,buy
2020-02-25 14:40:00,47.227,sell
2020-02-26 14:55:00,45.835,buy
2020-03-11 10:55:00,51.878,sell
2020-03-16 13:45:00,45.098,buy
2020-03-16 14:55:00,44.617,buy
2020-03-19 11:15:00,45.973,buy
2020-03-27 10:05:00,46.434,buy
2020-04-02 10:40:00,47.081,buy
2020-04-02 14:00:00,46.978,buy
2020-04-07 10:40:00,49.86,sell
2020-04-17 10:40:00,48.39,sell
2020-04-21 10:10:00,48.232,buy
2020-04-24 09:45:00,50.506,buy
2020-04-28 10:45:00,51.981,buy
2020-04-30 10:35:00,49.943,buy
2020-05-12 13:10:00,45.685,buy
2020-05-19 13:45:00,45.756,buy
2020-05-21 13:20:00,44.672,buy
2020-06-03 11:15:00,47.278,buy
2020-06-04 09:40:00,47.793,buy
2020-06-09 09:40:00,46.709,buy
2020-06-12 09:35:00,44.696,buy
2020-06-16 10:30:00,45.706,buy
2020-06-17 11:05:00,47.126,sell
2020-06-19 13:10:00,49.812,sell
2020-06-22 13:10:00,51.677,sell
2020-07-01 10:20:00,57.089,sell
2020-07-06 09:55:00,57.52,sell
2020-07-06 14:40:00,59.048,sell
2020-07-15 09:40:00,65.16,sell
2020-07-15 13:45:00,66.203,sell
2020-07-16 13:45:00,61.969,buy
2020-07-20 09:40:00,64.339,sell
2020-07-20 11:30:00,66.035,sell
2020-07-24 13:20:00,60.811,buy
2020-07-30 10:40:00,62.063,sell
2020-07-31 11:15:00,61.094,buy
2020-08-07 10:45:00,60.643,buy
2020-08-10 10:15:00,61.101,buy
2020-08-10 13:40:00,61.498,sell
2020-08-14 11:20:00,61.222,buy
2020-08-17 14:20:00,61.592,buy
2020-08-19 10:45:00,60.973,buy
2020-08-25 09:35:00,61.094,buy
2020-08-25 11:00:00,60.892,buy
2020-08-25 14:05:00,60.764,buy
2020-08-27 10:35:00,59.155,buy
2020-09-03 09:35:00,59.505,buy
2020-09-03 14:55:00,59.223,buy
2020-09-07 14:05:00,56.261,buy
2020-09-08 10:15:00,55.399,buy
2020-09-10 14:55:00,53.333,buy
2020-09-11 10:10:00,53.158,buy
2020-09-28 11:05:00,48.964,buy
2020-09-28 14:35:00,47.692,buy
2020-10-09 10:20:00,49.166,buy
2020-10-13 13:55:00,53.151,sell
2020-10-15 10:20:00,51.031,buy
2020-10-22 10:30:00,48.486,buy
2020-10-22 14:55:00,47.968,buy
2020-10-27 09:55:00,47.975,sell
2020-11-04 09:40:00,48.352,buy
2020-11-13 14:45:00,47.012,sell
2020-11-23 10:10:00,48.251,buy
2020-11-26 13:35:00,50.432,sell
2020-12-09 14:30:00,52.094,buy
2020-12-10 13:10:00,51.307,buy
2020-12-18 14:00:00,49.294,buy
2021-01-14 15:00:00,56.463,buy
2021-01-15 11:30:00,55.689,buy
2021-01-26 14:00:00,59.896,sell
2021-01-29 14:40:00,60.051,buy
2021-02-18 13:20:00,78.952,buy
2021-02-19 14:15:00,87.172,sell
2021-03-12 10:45:00,70.929,buy
2021-03-16 10:55:00,68.532,buy
2021-03-16 13:55:00,68.041,buy
