0,1,2
2008-04-01 00:00:00,6.276,buy
2009-02-05 00:00:00,4.152,sell
2009-10-23 00:00:00,11.146,sell
2010-05-14 00:00:00,8.135,buy
2010-07-09 00:00:00,7.804,buy
2010-09-30 00:00:00,8.47,buy
2011-09-28 00:00:00,14.052,buy
2011-12-19 00:00:00,9.868,buy
2012-11-22 00:00:00,8.165,buy
2013-04-10 00:00:00,8.639,buy
2014-03-06 00:00:00,3.96,buy
2014-05-06 00:00:00,3.752,buy
2015-09-01 00:00:00,4.4,buy
2017-04-28 00:00:00,5.253,buy
2017-11-09 00:00:00,6.211,buy
2018-06-05 00:00:00,6.525,buy
2020-03-26 00:00:00,4.138,buy
2020-05-06 00:00:00,4.067,buy
2020-09-21 00:00:00,4.768,buy
2020-09-29 00:00:00,4.65,buy
2022-07-28 00:00:00,11.393,buy
2023-04-19 00:00:00,16.219,buy
2023-05-31 00:00:00,14.795,buy
2023-07-03 00:00:00,15.8,buy
2023-12-06 00:00:00,20.322,sell
2024-09-19 00:00:00,13.59,buy
2025-01-06 00:00:00,14.1,buy
