time,price,signal,label
2001-10-22,5.145,sell,4.0
2002-09-11,5.158,sell,3.0
2002-09-17,5.01,sell,3.0
2003-10-30,3.683,sell,4.0
2006-05-08,3.527,sell,4.0
2006-11-08,4.464,sell,4.0
2010-04-20,7.08,sell,3.0
2013-06-21,7.573,sell,3.0
2013-06-25,6.856,sell,4.0
2014-07-24,7.717,buy,1.0
2014-07-29,8.162,buy,2.0
2014-08-14,8.346,buy,1.0
2015-03-27,13.107,buy,2.0
2015-06-03,14.097,buy,1.0
2015-06-08,15.318,buy,2.0
2015-12-10,13.618,buy,1.0
2016-11-30,15.37,buy,2.0
2017-03-01,15.59,buy,1.0
2017-09-26,15.054,sell,3.0
2017-11-17,13.311,sell,4.0
2018-02-02,12.642,sell,3.0
2018-02-12,11.926,sell,3.0
2019-10-14,14.779,buy,2.0
2020-02-05,12.223,sell,3.0
2020-07-07,12.039,buy,2.0
2021-02-05,9.688,sell,4.0
2021-08-31,15.707,buy,1.0
2021-12-27,12.297,sell,4.0
2022-03-30,14.364,buy,1.0
2024-04-02,23.357,buy,2.0
2024-09-12,23.4,buy,1.0
2024-10-08,26.94,buy,2.0
