time,price,signal,label
2019-08-02 11:30:00,4.564,sell,3.0
2019-08-06 11:30:00,4.364,sell,3.0
2019-08-15 11:30:00,4.313,sell,3.0
2019-11-04 11:30:00,4.217,sell,3.0
2019-12-09 11:30:00,4.128,buy,1.0
2020-02-28 11:30:00,3.825,sell,4.0
2020-04-28 11:30:00,3.522,sell,4.0
2020-07-03 11:30:00,3.728,buy,1.0
2021-01-14 15:00:00,5.357,buy,2.0
2021-02-18 11:30:00,5.483,buy,1.0
2021-04-26 11:30:00,6.822,buy,2.0
2021-06-17 11:30:00,5.827,sell,4.0
2021-07-05 11:30:00,6.091,sell,4.0
2021-07-15 15:00:00,6.573,buy,2.0
2021-07-28 11:30:00,5.896,sell,4.0
2021-08-12 11:30:00,6.892,buy,2.0
2021-08-30 11:30:00,7.872,buy,1.0
2021-08-31 11:30:00,8.215,buy,1.0
2022-01-07 11:30:00,6.54,buy,2.0
2022-01-28 11:30:00,6.002,sell,4.0
2022-03-09 15:00:00,6.079,sell,3.0
2022-07-05 11:30:00,5.64,buy,2.0
2022-08-02 11:30:00,4.805,sell,3.0
2022-08-03 11:30:00,4.752,sell,4.0
2022-08-03 15:00:00,4.619,sell,4.0
2023-02-01 15:00:00,5.795,buy,2.0
2023-02-03 11:30:00,5.583,sell,4.0
2023-02-20 11:30:00,5.859,buy,1.0
2023-07-25 11:30:00,5.681,buy,2.0
2023-07-27 11:30:00,5.943,buy,1.0
2023-10-25 11:30:00,5.986,buy,2.0
2023-12-11 11:30:00,5.757,sell,4.0
2023-12-12 15:00:00,5.757,sell,3.0
2024-01-25 11:30:00,5.709,buy,1.0
2024-03-12 11:30:00,6.291,sell,3.0
2024-03-29 11:30:00,6.32,buy,2.0
2024-04-16 11:30:00,6.605,buy,1.0
2024-06-17 11:30:00,6.41,sell,4.0
2024-08-06 11:30:00,6.322,sell,3.0
2024-08-29 11:30:00,5.743,sell,3.0
2024-09-09 11:30:00,5.546,sell,3.0
2024-09-24 11:30:00,5.811,buy,1.0
2024-09-25 11:30:00,6.25,buy,1.0
2024-11-18 11:30:00,6.89,buy,2.0
