time,price,signal
1998-01-06 00:00:00,7.844,buy
1998-01-12 00:00:00,8.117,buy
1998-11-10 00:00:00,7.573,buy
1999-05-26 00:00:00,5.232,buy
2000-03-07 00:00:00,4.584,buy
2000-06-16 00:00:00,4.763,buy
2000-06-30 00:00:00,5.441,buy
2000-07-03 00:00:00,5.521,buy
2000-08-10 00:00:00,5.785,buy
2001-07-31 00:00:00,4.402,sell
2002-01-15 00:00:00,3.335,sell
2002-01-21 00:00:00,2.634,sell
2003-09-15 00:00:00,2.629,buy
2005-08-17 00:00:00,0.989,buy
2005-08-29 00:00:00,0.984,buy
2005-09-19 00:00:00,1.201,buy
2006-01-09 00:00:00,0.994,buy
2006-03-03 00:00:00,0.9,sell
2006-06-07 00:00:00,1.073,buy
2007-03-06 00:00:00,1.666,buy
2007-03-23 00:00:00,2.22,buy
2007-08-17 00:00:00,2.897,buy
2008-08-18 00:00:00,2.422,buy
2008-08-19 00:00:00,2.576,buy
2009-03-12 00:00:00,2.393,sell
2010-01-27 00:00:00,3.688,sell
2010-08-03 00:00:00,4.311,buy
2010-09-01 00:00:00,5.156,buy
2010-10-26 00:00:00,6.654,buy
2011-02-10 00:00:00,7.979,buy
2011-08-01 00:00:00,6.259,sell
2011-08-09 00:00:00,5.389,sell
2011-11-10 00:00:00,4.761,sell
2011-11-11 00:00:00,4.845,sell
2012-04-24 00:00:00,4.736,buy
2012-04-26 00:00:00,4.677,buy
2012-05-04 00:00:00,5.057,buy
2012-09-14 00:00:00,3.228,buy
2012-11-14 00:00:00,3.016,buy
2013-01-16 00:00:00,3.53,buy
2013-01-17 00:00:00,3.179,buy
2014-03-11 00:00:00,2.813,buy
2014-03-19 00:00:00,3.431,buy
2014-03-20 00:00:00,3.401,buy
2014-05-08 00:00:00,3.421,buy
2014-09-15 00:00:00,5.745,buy
2015-03-18 00:00:00,6.427,buy
2015-04-21 00:00:00,7.796,buy
2015-04-22 00:00:00,7.954,buy
2015-06-08 00:00:00,10.317,buy
2015-06-25 00:00:00,13.897,buy
2016-01-11 00:00:00,5.745,sell
2016-12-14 00:00:00,5.309,buy
2016-12-19 00:00:00,6.145,buy
2016-12-23 00:00:00,7.47,buy
2016-12-29 00:00:00,9.077,buy
2018-04-03 00:00:00,18.558,buy
2019-02-26 00:00:00,16.433,buy
2019-05-07 00:00:00,13.872,sell
2019-09-03 00:00:00,17.861,buy
2019-12-17 00:00:00,15.943,buy
2020-07-13 00:00:00,29.055,buy
2020-07-14 00:00:00,29.324,buy
2021-05-12 00:00:00,32.602,buy
2022-01-24 00:00:00,37.552,sell
2022-08-10 00:00:00,47.496,buy
2023-05-09 00:00:00,41.566,buy
2023-05-16 00:00:00,42.009,buy
2023-05-18 00:00:00,42.044,buy
2023-08-18 00:00:00,44.471,buy
2024-04-23 00:00:00,37.649,buy
2024-06-12 00:00:00,41.421,buy
2024-07-29 00:00:00,43.31,buy
2024-10-08 00:00:00,51.38,buy
2024-11-07 00:00:00,55.52,buy
