time,price,signal
2019-02-25 10:30:00,4.499,buy
2019-02-25 14:00:00,4.601,buy
2019-02-25 15:00:00,4.757,buy
2019-02-27 14:00:00,4.859,buy
2019-04-01 10:30:00,4.92,buy
2019-04-08 10:30:00,5.09,buy
2019-04-16 13:30:00,5.063,buy
2019-04-16 14:00:00,5.063,buy
2019-05-06 10:30:00,4.988,buy
2019-05-20 10:30:00,4.859,sell
2019-06-20 11:00:00,5.015,buy
2019-07-08 10:30:00,4.913,sell
2019-07-15 10:30:00,4.835,sell
2019-07-15 11:30:00,4.878,sell
2019-08-01 14:00:00,4.921,sell
2019-08-02 10:00:00,4.864,sell
2019-08-19 10:30:00,4.686,sell
2019-08-26 10:30:00,4.671,sell
2019-09-05 10:30:00,4.914,buy
2019-09-17 10:30:00,4.857,sell
2019-09-26 14:00:00,4.857,buy
2019-10-09 11:00:00,4.893,buy
2019-10-14 10:30:00,5.128,buy
2019-11-27 11:30:00,4.935,sell
2020-01-06 15:00:00,5.106,sell
2020-01-23 14:00:00,4.957,sell
2020-02-03 10:30:00,4.515,sell
2020-02-21 10:00:00,4.771,buy
2020-03-09 10:30:00,4.586,sell
2020-03-13 10:30:00,4.408,sell
2020-04-13 10:30:00,4.229,sell
2020-04-29 10:30:00,4.272,buy
2020-05-28 10:30:00,4.272,buy
2020-07-02 10:30:00,4.349,buy
2020-07-02 13:30:00,4.446,buy
2020-07-02 14:00:00,4.446,buy
2020-07-03 10:30:00,4.551,buy
2020-07-06 10:30:00,4.753,buy
2020-08-04 11:30:00,4.671,buy
2020-08-04 13:30:00,4.678,buy
2020-08-11 10:30:00,4.708,buy
2020-08-17 10:30:00,4.925,buy
2020-08-28 10:30:00,4.783,buy
2020-09-08 10:30:00,4.925,buy
2020-10-19 10:30:00,4.806,buy
2020-11-10 10:30:00,4.574,buy
2020-11-30 10:30:00,4.798,buy
2020-12-31 10:30:00,4.32,buy
2021-01-14 10:30:00,4.281,buy
2021-01-15 10:30:00,4.391,buy
2021-01-26 13:30:00,4.344,buy
2021-01-27 10:30:00,4.384,buy
2021-03-04 14:00:00,4.747,buy
2021-03-08 10:30:00,4.881,buy
2021-03-11 10:30:00,4.992,buy
2021-03-31 10:30:00,5.126,buy
2021-04-21 13:30:00,5.134,buy
2021-04-29 10:30:00,5.442,buy
2021-05-21 10:30:00,5.924,buy
2021-05-26 11:00:00,6.24,buy
2021-06-07 10:30:00,6.082,sell
2021-07-27 10:30:00,5.475,sell
2021-08-09 10:30:00,5.36,buy
2021-08-24 10:30:00,5.583,buy
2021-09-22 10:30:00,4.651,sell
2021-11-01 10:30:00,5.426,buy
2021-11-12 10:30:00,5.294,buy
2022-01-04 14:00:00,4.906,buy
2022-01-05 10:30:00,4.989,buy
2022-01-07 10:30:00,5.104,buy
2022-01-11 10:30:00,5.368,buy
2022-01-13 10:30:00,5.599,buy
2022-02-11 10:30:00,5.83,buy
2022-03-15 10:30:00,5.137,sell
2022-04-01 10:30:00,5.962,buy
2022-05-13 10:30:00,5.904,buy
2022-06-28 10:30:00,6.037,buy
2022-07-12 10:30:00,6.405,buy
2022-07-18 10:30:00,6.264,buy
2022-08-01 10:30:00,6.256,sell
2022-08-02 10:30:00,6.142,sell
2022-08-30 10:30:00,6.247,buy
2022-11-11 10:30:00,6.045,buy
2022-11-11 13:30:00,6.221,buy
2022-11-11 14:00:00,6.291,buy
2022-11-22 13:30:00,6.299,buy
2023-01-04 10:30:00,6.571,buy
2023-02-13 10:30:00,6.334,sell
2023-03-07 11:00:00,6.448,buy
2023-03-31 10:30:00,6.194,buy
2023-04-13 14:00:00,6.194,buy
2023-04-14 10:30:00,6.203,buy
2023-04-18 10:30:00,6.545,buy
2023-04-28 10:30:00,6.843,buy
2023-05-24 10:30:00,6.518,sell
2023-07-12 10:30:00,6.51,buy
2023-07-25 10:30:00,6.641,buy
2023-07-31 10:30:00,6.8,buy
2023-08-03 14:00:00,6.791,buy
2023-08-14 10:30:00,6.585,sell
2023-08-28 10:30:00,6.688,buy
2023-09-05 10:30:00,6.482,sell
2023-10-11 11:30:00,6.603,sell
2023-10-19 10:30:00,6.688,sell
2023-10-27 11:30:00,6.435,sell
2023-11-10 10:30:00,6.341,sell
2023-11-28 10:30:00,6.313,sell
2023-12-05 10:30:00,6.144,sell
2023-12-05 15:00:00,6.031,sell
2023-12-28 10:30:00,6.275,buy
2024-01-05 11:00:00,6.435,buy
2024-03-05 10:30:00,7.223,buy
2024-04-18 10:30:00,7.757,buy
2024-04-26 10:30:00,7.204,sell
2024-06-03 10:30:00,7.485,sell
2024-06-14 14:00:00,7.37,buy
2024-06-28 10:30:00,7.47,buy
2024-08-01 11:00:00,7.79,buy
2024-08-19 10:30:00,7.88,buy
2024-08-29 10:30:00,8.01,sell
2024-09-25 10:30:00,7.96,buy
2024-09-30 14:00:00,8.43,buy
2024-10-08 10:30:00,8.5,buy
2024-11-18 10:30:00,9.17,buy
2024-12-10 13:30:00,9.24,buy
2024-12-25 10:30:00,9.68,buy
2025-01-03 10:30:00,9.68,sell
