time,price,signal,label
2008-01-11,10.06,buy,2.0
2009-02-27,3.357,sell,4.0
2009-03-02,3.351,sell,4.0
2009-07-23,12.454,buy,2.0
2010-05-07,7.722,sell,4.0
2010-10-11,9.995,buy,1.0
2010-10-12,10.613,buy,1.0
2010-10-19,12.366,buy,1.0
2010-10-21,12.645,buy,1.0
2011-07-04,16.974,buy,2.0
2011-10-12,12.965,sell,3.0
2011-10-21,10.627,sell,4.0
2012-01-18,11.772,buy,2.0
2012-12-17,10.006,buy,1.0
2013-06-25,6.093,sell,3.0
2014-05-13,4.128,buy,2.0
2014-07-29,4.285,buy,1.0
2014-08-04,4.671,buy,2.0
2015-06-02,7.296,buy,1.0
2016-01-11,4.591,buy,2.0
2016-07-05,4.631,buy,1.0
2016-07-13,5.207,buy,2.0
2016-10-26,5.809,buy,1.0
2016-11-14,6.662,buy,2.0
2016-11-15,6.371,buy,2.0
2017-08-10,7.315,buy,2.0
2019-02-26,5.629,buy,2.0
2019-05-07,5.347,sell,4.0
2019-08-14,5.385,sell,3.0
2020-02-05,4.309,sell,3.0
2020-06-19,4.267,buy,1.0
2020-07-03,4.791,buy,1.0
2020-07-06,5.125,buy,2.0
2020-11-24,5.028,buy,2.0
2021-04-20,5.251,buy,1.0
2021-04-27,6.246,buy,1.0
2021-06-10,9.619,buy,2.0
2022-01-19,9.685,buy,1.0
2023-01-30,15.578,buy,1.0
2023-08-01,15.142,sell,4.0
2023-11-10,18.654,buy,1.0
2024-02-20,23.204,buy,1.0
2024-10-08,17.35,buy,2.0
