time,price,signal,label
1999-07-05,0.62,buy,2.0
1999-11-16,0.285,sell,4.0
2000-01-31,0.36,buy,1.0
2000-02-08,0.4,buy,1.0
2000-02-14,0.44,buy,1.0
2000-02-16,0.54,buy,2.0
2000-02-17,0.51,buy,2.0
2000-08-16,0.25,buy,1.0
2000-08-21,0.29,buy,2.0
2000-08-22,0.28,buy,2.0
2001-02-15,0.219,buy,2.0
2001-02-27,0.228,buy,2.0
2001-05-25,0.215,buy,2.0
2001-09-07,0.16,sell,3.0
2001-09-27,0.115,sell,3.0
2001-12-14,0.169,buy,2.0
2002-03-05,0.151,buy,2.0
2002-03-06,0.148,buy,2.0
2002-03-11,0.158,buy,2.0
2002-05-06,0.199,buy,2.0
2002-05-07,0.207,buy,2.0
2002-07-15,0.145,sell,3.0
2002-07-29,0.11,sell,4.0
2002-07-30,0.112,sell,4.0
2002-11-18,0.126,sell,3.0
2002-11-22,0.113,sell,4.0
2003-05-05,0.122,buy,1.0
2003-05-13,0.12,buy,1.0
2003-05-29,0.147,buy,2.0
2003-08-01,0.172,buy,1.0
2003-08-22,0.22,buy,1.0
2003-09-04,0.24,buy,2.0
2004-01-06,0.214,buy,1.0
2004-01-12,0.229,buy,1.0
2004-01-15,0.249,buy,1.0
2004-01-21,0.31,buy,1.0
2004-02-16,0.43,buy,2.0
2004-02-20,0.435,buy,2.0
2004-08-25,0.295,buy,1.0
2004-09-08,0.305,buy,2.0
2004-11-05,0.335,buy,1.0
2005-02-22,0.465,buy,1.0
2005-02-24,0.55,buy,1.0
2005-02-25,0.53,buy,1.0
2005-10-28,0.34,sell,4.0
2005-12-01,0.46,buy,1.0
2005-12-09,0.51,buy,2.0
2006-01-27,0.61,buy,1.0
2006-02-08,0.73,buy,2.0
2006-03-10,0.88,buy,2.0
2006-10-25,0.56,buy,2.0
2006-11-02,0.57,buy,2.0
2006-11-14,0.495,sell,4.0
2007-01-22,0.65,buy,1.0
2007-01-25,0.65,buy,1.0
2007-02-01,0.7,buy,2.0
2007-06-07,0.9,buy,2.0
2007-06-08,0.86,buy,2.0
2007-08-20,0.6,sell,4.0
2008-02-28,0.47,buy,2.0
2008-09-18,0.224,sell,3.0
2008-09-19,0.249,sell,3.0
2008-12-30,0.255,buy,2.0
2009-05-06,0.32,buy,1.0
2009-05-12,0.33,buy,1.0
2009-05-19,0.405,buy,1.0
2009-05-22,0.415,buy,1.0
2009-12-02,0.475,buy,1.0
2009-12-04,0.495,buy,2.0
2010-01-12,0.54,buy,2.0
2010-03-16,0.58,buy,1.0
2010-04-08,0.63,buy,2.0
2010-07-02,0.56,buy,1.0
2010-07-30,0.62,buy,2.0
2010-09-21,0.71,buy,2.0
2010-12-15,0.8,buy,1.0
2010-12-22,0.84,buy,1.0
2010-12-24,0.88,buy,1.0
2011-01-11,0.97,buy,1.0
2011-02-16,1.16,buy,2.0
2011-02-25,0.96,sell,4.0
2011-05-23,0.93,sell,3.0
2011-08-11,0.7,sell,3.0
2011-10-28,0.72,buy,2.0
2012-02-23,0.74,buy,2.0
2012-05-08,0.61,sell,3.0
2012-07-11,0.79,buy,2.0
2012-07-12,0.77,buy,2.0
2012-09-21,0.88,buy,1.0
2012-09-24,0.91,buy,1.0
2012-11-02,1.01,buy,1.0
2012-11-07,1.08,buy,1.0
2013-01-29,1.63,buy,1.0
2013-02-04,1.89,buy,2.0
2013-06-25,1.31,sell,4.0
2013-12-17,1.27,sell,3.0
2014-05-26,1.12,buy,2.0
2014-05-27,1.1,buy,2.0
2014-09-08,1.22,buy,2.0
2014-11-20,1.07,sell,3.0
2015-04-14,1.11,buy,1.0
2015-04-15,1.12,buy,1.0
2015-04-30,1.31,buy,2.0
2015-07-07,0.96,sell,4.0
2015-07-09,0.99,sell,3.0
2015-11-19,0.89,sell,3.0
2015-11-24,0.85,sell,3.0
2016-02-18,0.86,buy,1.0
2016-07-08,1.04,buy,1.0
2016-07-19,1.24,buy,1.0
2016-07-22,1.32,buy,2.0
2016-09-06,1.72,buy,2.0
2016-10-31,1.54,sell,4.0
2016-12-12,1.58,buy,2.0
2017-04-05,2.11,buy,1.0
2017-04-07,2.12,buy,1.0
2017-06-07,2.67,buy,1.0
2017-08-14,3.12,sell,4.0
2017-09-04,14.9,buy,1.0
2018-02-08,12.6,sell,3.0
2018-05-18,12.5,buy,2.0
2019-05-16,11.18,sell,3.0
2019-06-05,10.7,sell,3.0
2019-07-03,10.2,sell,3.0
2019-11-08,9.3,buy,1.0
2019-11-11,8.82,buy,1.0
2019-11-27,10.0,buy,2.0
2019-12-04,9.8,buy,2.0
2020-03-25,8.1,sell,3.0
2020-04-14,8.2,sell,3.0
2020-11-05,6.8,sell,3.0
2020-11-10,6.4,sell,3.0
2020-11-11,6.42,sell,3.0
2021-06-03,6.4,buy,2.0
2021-06-04,6.4,buy,2.0
2021-06-30,5.06,sell,3.0
2021-10-11,4.67,sell,3.0
2021-10-27,4.3,sell,3.0
2021-10-29,4.01,sell,3.0
2022-03-17,3.4,sell,4.0
2022-11-14,1.77,sell,3.0
2022-11-15,1.87,sell,3.0
2023-02-03,1.58,buy,2.0
2023-08-18,0.95,sell,3.0
2024-04-09,0.6,sell,4.0
