time,price,signal
2020-11-30 00:00:00,43.0,buy
2021-06-18 00:00:00,35.25,sell
2021-07-29 00:00:00,32.55,sell
2021-11-18 00:00:00,29.9,buy
2022-03-16 00:00:00,16.16,sell
2022-12-06 00:00:00,13.9,buy
2023-04-13 00:00:00,13.36,buy
2023-04-20 00:00:00,16.22,buy
2023-07-05 00:00:00,12.96,buy
2023-08-31 00:00:00,12.0,buy
2023-11-06 00:00:00,15.48,buy
2024-06-26 00:00:00,22.6,buy
2024-10-02 00:00:00,22.9,sell
2024-10-07 00:00:00,22.65,sell
2024-10-24 00:00:00,21.7,sell
2024-10-25 00:00:00,21.6,sell
2025-01-15 00:00:00,19.58,sell
2025-01-20 00:00:00,19.0,sell
2025-01-22 00:00:00,17.1,sell
2025-01-24 00:00:00,16.1,sell
