time,price,signal
1985-09-20 00:00:00,16.75,buy
1985-12-19 00:00:00,22.5,buy
1986-03-21 00:00:00,27.62,buy
1986-04-25 00:00:00,32.25,buy
1986-05-13 00:00:00,36.0,buy
1986-11-26 00:00:00,40.5,buy
1987-01-15 00:00:00,49.88,buy
1987-10-27 00:00:00,30.25,sell
1989-01-30 00:00:00,37.38,sell
1989-06-19 00:00:00,44.0,sell
1989-12-07 00:00:00,42.75,sell
1989-12-12 00:00:00,36.0,sell
1989-12-13 00:00:00,36.0,sell
1989-12-18 00:00:00,34.75,sell
1990-03-19 00:00:00,42.38,buy
1990-10-17 00:00:00,26.5,sell
1991-01-18 00:00:00,50.25,buy
1991-04-16 00:00:00,64.25,sell
1992-01-03 00:00:00,59.0,buy
1993-01-15 00:00:00,60.25,buy
1993-06-08 00:00:00,49.5,sell
1993-06-10 00:00:00,44.5,sell
1993-07-19 00:00:00,25.62,sell
1993-10-18 00:00:00,28.37,buy
1993-10-22 00:00:00,30.25,buy
1994-07-25 00:00:00,31.69,buy
1994-10-06 00:00:00,36.25,buy
1994-10-12 00:00:00,42.13,buy
1995-01-11 00:00:00,46.75,buy
1995-03-15 00:00:00,35.0,sell
1995-07-24 00:00:00,45.38,sell
1995-09-18 00:00:00,36.69,sell
1995-12-18 00:00:00,32.25,sell
1996-01-31 00:00:00,27.62,sell
1996-10-18 00:00:00,26.56,buy
1997-01-07 00:00:00,17.5,sell
1997-03-31 00:00:00,18.25,buy
1997-04-04 00:00:00,19.25,buy
1997-07-18 00:00:00,17.34,buy
1997-08-07 00:00:00,29.19,buy
1997-10-16 00:00:00,21.5,buy
1997-10-27 00:00:00,16.75,sell
1998-01-07 00:00:00,17.5,buy
1998-07-14 00:00:00,33.44,buy
1998-07-17 00:00:00,36.88,buy
1998-08-12 00:00:00,40.06,buy
1999-04-28 00:00:00,44.06,buy
1999-05-03 00:00:00,49.56,buy
1999-09-07 00:00:00,76.37,buy
2000-01-13 00:00:00,96.75,sell
2000-01-21 00:00:00,111.31,buy
2000-10-02 00:00:00,24.25,sell
2001-01-04 00:00:00,8.53,sell
2001-04-20 00:00:00,12.52,buy
2001-07-19 00:00:00,9.98,sell
2002-06-20 00:00:00,8.56,sell
2002-11-05 00:00:00,8.45,buy
2003-04-14 00:00:00,6.79,sell
2003-05-06 00:00:00,8.75,buy
2004-03-08 00:00:00,13.0,buy
2004-03-11 00:00:00,13.58,buy
2004-04-16 00:00:00,14.59,buy
2004-06-17 00:00:00,16.4,buy
2004-10-15 00:00:00,22.75,buy
2004-11-23 00:00:00,30.64,buy
2004-11-26 00:00:00,32.28,buy
2004-11-30 00:00:00,33.52,buy
2007-03-20 00:00:00,91.48,buy
2007-05-31 00:00:00,121.19,buy
2008-09-30 00:00:00,113.66,sell
2011-03-17 00:00:00,334.64,sell
2012-01-26 00:00:00,444.63,buy
2012-02-10 00:00:00,493.42,buy
2012-03-20 00:00:00,605.96,buy
2013-01-25 00:00:00,439.88,sell
2013-08-14 00:00:00,498.5,buy
2013-09-17 00:00:00,455.32,sell
2014-01-29 00:00:00,500.75,sell
2014-04-25 00:00:00,571.94,buy
2014-04-29 00:00:00,592.33,buy
2014-06-10 00:00:00,94.25,sell
2015-01-29 00:00:00,118.9,buy
2015-12-21 00:00:00,107.33,sell
2016-04-28 00:00:00,94.83,sell
2016-07-28 00:00:00,104.34,buy
2016-09-15 00:00:00,115.57,buy
2017-02-02 00:00:00,128.53,buy
2017-05-09 00:00:00,153.99,buy
2017-06-12 00:00:00,145.42,sell
2017-06-19 00:00:00,146.34,sell
2017-08-03 00:00:00,155.57,buy
2017-08-09 00:00:00,161.06,buy
2017-10-30 00:00:00,166.72,buy
2018-02-05 00:00:00,156.49,sell
2018-08-02 00:00:00,207.39,buy
2018-11-05 00:00:00,201.59,sell
2019-03-22 00:00:00,191.05,buy
2019-08-01 00:00:00,208.43,buy
2020-02-25 00:00:00,288.08,sell
2020-02-28 00:00:00,273.36,sell
2020-03-13 00:00:00,277.97,sell
2020-08-03 00:00:00,435.75,buy
2020-08-07 00:00:00,444.45,buy
2020-09-01 00:00:00,134.18,sell
2023-08-07 00:00:00,178.85,sell
2024-05-06 00:00:00,181.71,buy
2024-06-12 00:00:00,213.07,buy
2025-01-13 00:00:00,234.4,sell
2025-01-17 00:00:00,229.98,sell
