time,price,signal,label
2010-10-04,44.39,buy,2.0
2010-12-20,48.69,buy,2.0
2011-03-28,53.58,buy,1.0
2011-06-29,59.91,buy,2.0
2011-08-05,57.21,sell,3.0
2011-08-19,47.44,sell,4.0
2012-10-01,69.95,buy,2.0
2013-07-01,72.1,sell,4.0
2013-11-18,78.52,buy,2.0
2013-12-20,80.55,buy,2.0
2014-03-28,78.81,sell,3.0
2014-12-19,90.51,buy,2.0
2015-03-27,93.94,buy,2.0
2015-06-26,99.0,buy,2.0
2015-08-25,92.14,sell,4.0
2015-12-18,101.93,sell,3.0
2016-02-09,93.32,sell,4.0
2016-03-28,114.17,buy,2.0
2016-06-27,110.47,sell,4.0
2016-06-29,111.76,sell,4.0
2016-09-30,122.17,buy,2.0
2017-03-24,118.98,sell,4.0
2017-04-04,118.04,sell,4.0
2017-06-23,122.74,sell,4.0
2018-02-06,154.69,sell,4.0
2018-03-23,147.35,sell,4.0
2018-10-12,159.44,sell,3.0
2018-12-21,137.2,sell,4.0
2019-03-29,176.02,buy,2.0
2020-03-02,189.55,sell,3.0
2020-03-10,174.56,sell,3.0
2020-06-26,212.47,buy,1.0
2020-09-25,214.63,sell,4.0
2020-12-18,266.25,buy,2.0
2021-12-17,396.24,buy,2.0
2022-12-19,255.4,sell,4.0
2023-09-29,307.11,sell,4.0
2024-03-22,337.5,sell,3.0
2024-12-20,366.37,buy,2.0
