time,price,signal
1986-07-16 00:00:00,29.19,sell
1986-10-27 00:00:00,33.1,buy
1986-10-30 00:00:00,34.93,buy
1987-01-07 00:00:00,39.76,buy
1987-01-13 00:00:00,43.32,buy
1987-02-03 00:00:00,52.86,buy
1987-02-04 00:00:00,51.25,buy
1987-02-18 00:00:00,57.34,buy
1987-02-26 00:00:00,64.01,buy
1987-03-31 00:00:00,28.27,sell
1987-04-02 00:00:00,28.96,sell
1987-07-07 00:00:00,19.31,sell
1987-10-20 00:00:00,18.85,sell
1987-10-28 00:00:00,11.95,sell
1988-02-22 00:00:00,20.45,buy
1988-04-08 00:00:00,25.28,buy
1988-07-28 00:00:00,23.44,sell
1989-01-27 00:00:00,28.5,buy
1989-02-08 00:00:00,30.34,buy
1989-08-08 00:00:00,37.56,buy
1990-02-08 00:00:00,40.68,buy
1991-01-28 00:00:00,38.68,sell
1991-06-26 00:00:00,45.12,sell
1991-06-27 00:00:00,43.38,sell
1991-10-25 00:00:00,39.64,sell
1991-11-05 00:00:00,34.51,sell
1992-02-03 00:00:00,25.4,sell
1992-11-10 00:00:00,51.75,buy
1993-07-12 00:00:00,45.47,sell
1993-08-31 00:00:00,48.09,buy
1993-11-08 00:00:00,38.31,sell
1994-02-25 00:00:00,55.87,buy
1994-04-14 00:00:00,53.23,sell
1994-04-20 00:00:00,51.31,sell
1994-08-22 00:00:00,55.77,buy
1994-08-26 00:00:00,60.57,buy
1994-11-03 00:00:00,31.55,sell
1995-01-16 00:00:00,35.46,sell
1995-01-20 00:00:00,32.47,sell
1995-01-23 00:00:00,32.56,sell
1995-04-26 00:00:00,34.3,sell
1996-04-11 00:00:00,41.82,buy
1996-05-20 00:00:00,34.83,sell
1996-11-21 00:00:00,22.96,buy
1996-11-25 00:00:00,27.11,buy
1997-01-22 00:00:00,33.41,buy
1997-10-06 00:00:00,47.38,buy
1997-10-27 00:00:00,32.2,sell
1998-02-27 00:00:00,46.65,buy
1998-05-26 00:00:00,41.66,sell
1998-08-24 00:00:00,23.83,sell
1998-08-26 00:00:00,24.75,sell
1998-10-28 00:00:00,29.27,buy
1998-11-04 00:00:00,36.39,buy
1999-01-20 00:00:00,47.53,buy
1999-04-07 00:00:00,30.29,sell
1999-04-08 00:00:00,29.3,sell
1999-11-19 00:00:00,24.7,buy
1999-11-24 00:00:00,27.88,buy
1999-11-26 00:00:00,26.64,buy
1999-12-06 00:00:00,32.94,buy
2000-07-12 00:00:00,24.06,sell
2000-11-20 00:00:00,23.94,buy
2001-01-05 00:00:00,7.25,sell
2001-05-21 00:00:00,8.5,sell
2002-02-12 00:00:00,10.66,buy
2002-03-04 00:00:00,11.68,buy
2002-04-12 00:00:00,10.11,sell
2002-05-07 00:00:00,7.12,sell
2002-11-22 00:00:00,7.42,buy
2002-11-29 00:00:00,7.74,buy
2003-01-16 00:00:00,7.75,buy
2003-02-26 00:00:00,7.05,sell
2003-06-03 00:00:00,7.35,sell
2003-08-25 00:00:00,8.7,buy
2003-11-24 00:00:00,11.46,buy
2004-02-12 00:00:00,13.8,buy
2004-03-01 00:00:00,14.48,buy
2004-05-10 00:00:00,17.01,buy
2004-05-20 00:00:00,15.78,sell
2004-08-23 00:00:00,21.22,buy
2009-09-17 00:00:00,22.91,sell
2009-11-19 00:00:00,24.08,sell
2010-02-25 00:00:00,27.93,buy
2010-04-23 00:00:00,34.22,buy
2010-04-27 00:00:00,33.84,buy
2010-05-21 00:00:00,29.37,sell
2010-11-22 00:00:00,34.81,sell
2011-01-06 00:00:00,41.26,buy
2011-05-23 00:00:00,42.27,sell
2011-08-09 00:00:00,29.96,sell
2011-08-22 00:00:00,24.29,sell
2012-05-21 00:00:00,31.85,sell
2012-08-27 00:00:00,30.51,sell
2013-01-28 00:00:00,38.86,buy
2013-08-26 00:00:00,37.89,buy
2013-11-25 00:00:00,45.39,buy
2014-05-19 00:00:00,51.55,buy
2014-10-15 00:00:00,50.53,sell
2015-05-01 00:00:00,57.6,sell
2015-08-31 00:00:00,46.75,sell
2015-10-12 00:00:00,51.55,buy
2015-11-06 00:00:00,63.88,buy
2016-01-14 00:00:00,52.65,sell
2016-06-27 00:00:00,51.42,sell
2016-06-29 00:00:00,53.22,sell
2016-08-29 00:00:00,68.32,buy
2016-09-22 00:00:00,72.35,buy
2016-11-17 00:00:00,78.46,buy
2017-05-22 00:00:00,113.36,buy
2017-08-28 00:00:00,111.48,buy
2017-11-30 00:00:00,109.7,sell
2018-02-09 00:00:00,105.94,sell
2018-03-08 00:00:00,137.29,buy
2018-08-27 00:00:00,154.63,buy
2018-10-11 00:00:00,130.89,sell
2019-05-28 00:00:00,161.09,sell
2019-07-30 00:00:00,160.29,sell
2019-08-01 00:00:00,153.47,sell
2019-08-02 00:00:00,147.76,sell
2020-03-13 00:00:00,158.03,sell
2021-03-01 00:00:00,284.27,sell
2021-08-27 00:00:00,315.64,sell
2021-09-02 00:00:00,287.47,sell
2021-09-03 00:00:00,288.75,sell
2021-11-26 00:00:00,254.17,sell
2023-02-27 00:00:00,196.68,sell
2024-04-18 00:00:00,210.63,sell
2024-06-18 00:00:00,244.12,buy
2024-08-05 00:00:00,225.72,sell
2024-11-07 00:00:00,305.51,buy
2024-11-12 00:00:00,309.73,buy
