time,price,signal
2001-11-14 00:00:00,5.73,buy
2002-10-08 00:00:00,0.73,sell
2002-11-21 00:00:00,2.2,buy
2002-11-22 00:00:00,2.2,buy
2003-04-23 00:00:00,2.74,buy
2003-04-24 00:00:00,2.17,buy
2003-05-06 00:00:00,3.27,buy
2003-06-12 00:00:00,5.12,buy
2003-10-31 00:00:00,7.9,buy
2003-11-04 00:00:00,9.42,buy
2003-11-10 00:00:00,11.04,buy
2004-06-28 00:00:00,17.6,buy
2009-09-17 00:00:00,17.79,buy
2010-02-01 00:00:00,26.11,sell
2010-04-30 00:00:00,38.83,buy
2010-07-30 00:00:00,38.36,sell
2010-10-07 00:00:00,45.42,sell
2011-02-11 00:00:00,41.43,sell
2011-04-29 00:00:00,34.43,sell
2011-07-29 00:00:00,24.22,sell
2011-10-28 00:00:00,28.29,buy
2011-12-23 00:00:00,31.93,buy
2012-02-10 00:00:00,38.43,buy
2012-04-27 00:00:00,33.18,sell
2012-07-27 00:00:00,35.86,buy
2012-12-07 00:00:00,38.82,buy
2013-02-08 00:00:00,35.42,sell
2013-04-26 00:00:00,42.61,buy
2013-10-25 00:00:00,45.88,sell
2014-01-16 00:00:00,48.74,buy
2014-02-07 00:00:00,56.64,buy
2014-03-26 00:00:00,57.75,sell
2014-10-17 00:00:00,53.84,sell
2015-10-29 00:00:00,61.11,sell
2016-01-12 00:00:00,46.88,sell
2016-07-28 00:00:00,50.69,sell
2016-10-27 00:00:00,68.81,buy
2017-02-09 00:00:00,63.85,sell
2017-03-31 00:00:00,59.7,sell
2017-05-04 00:00:00,52.86,sell
2017-05-09 00:00:00,50.4,sell
2017-07-27 00:00:00,46.01,sell
2017-10-26 00:00:00,53.34,buy
2018-08-02 00:00:00,74.28,sell
2018-10-05 00:00:00,66.24,sell
2018-10-11 00:00:00,61.34,sell
2018-10-31 00:00:00,72.25,buy
2019-08-01 00:00:00,90.11,buy
2020-03-02 00:00:00,90.91,sell
2020-10-29 00:00:00,95.82,sell
2021-01-28 00:00:00,112.78,buy
2021-04-27 00:00:00,111.62,buy
2021-08-05 00:00:00,113.38,sell
2021-11-04 00:00:00,109.66,buy
2022-05-02 00:00:00,112.31,sell
2022-05-05 00:00:00,98.67,sell
2023-02-16 00:00:00,77.07,sell
2023-05-11 00:00:00,85.92,buy
2023-08-10 00:00:00,103.95,buy
2024-02-15 00:00:00,111.57,sell
2024-05-13 00:00:00,94.32,sell
2024-08-06 00:00:00,92.32,sell
2024-11-11 00:00:00,91.07,sell
