time,price,signal
1981-05-07 00:00:00,57.0,sell
1981-07-21 00:00:00,29.878,sell
1981-07-22 00:00:00,29.747,sell
1981-11-02 00:00:00,31.134,buy
1982-01-04 00:00:00,35.503,buy
1982-01-05 00:00:00,34.997,buy
1982-01-08 00:00:00,31.5,sell
1982-06-21 00:00:00,33.384,sell
1982-06-23 00:00:00,33.384,sell
1982-11-24 00:00:00,37.247,sell
1983-06-10 00:00:00,33.628,sell
1983-12-02 00:00:00,35.747,buy
1983-12-19 00:00:00,31.003,sell
1984-03-06 00:00:00,25.997,sell
1984-05-10 00:00:00,28.003,buy
1984-08-02 00:00:00,27.628,buy
1984-10-31 00:00:00,29.25,buy
1984-11-09 00:00:00,29.747,buy
1985-03-18 00:00:00,32.878,sell
1985-11-05 00:00:00,39.497,buy
1985-11-07 00:00:00,40.003,buy
1985-12-18 00:00:00,46.134,buy
1985-12-20 00:00:00,48.0,buy
1985-12-23 00:00:00,45.881,buy
1986-02-19 00:00:00,49.378,buy
1986-03-27 00:00:00,55.631,buy
1986-06-17 00:00:00,56.503,buy
1986-06-25 00:00:00,61.631,buy
1986-07-25 00:00:00,55.884,sell
1986-07-29 00:00:00,55.884,sell
1986-09-12 00:00:00,52.247,sell
1987-04-02 00:00:00,49.003,sell
1987-04-06 00:00:00,54.75,sell
1987-08-13 00:00:00,49.884,buy
1987-08-25 00:00:00,46.003,sell
1987-10-20 00:00:00,36.497,sell
1987-10-26 00:00:00,32.747,sell
1987-10-29 00:00:00,31.003,sell
1987-12-15 00:00:00,34.5,buy
1988-02-29 00:00:00,45.881,buy
1988-06-02 00:00:00,48.0,buy
1988-06-09 00:00:00,49.247,buy
1988-06-15 00:00:00,50.128,buy
1988-10-10 00:00:00,52.134,buy
1989-01-25 00:00:00,60.253,buy
1989-01-27 00:00:00,63.75,buy
1989-02-01 00:00:00,64.003,buy
1989-07-17 00:00:00,71.878,buy
1990-08-27 00:00:00,61.003,sell
1990-10-16 00:00:00,63.0,buy
1990-12-07 00:00:00,72.497,buy
1991-08-21 00:00:00,74.747,sell
1991-11-22 00:00:00,73.378,buy
1991-12-03 00:00:00,76.997,buy
1991-12-05 00:00:00,79.003,buy
1992-01-22 00:00:00,81.0,sell
1992-03-03 00:00:00,78.497,sell
1992-07-07 00:00:00,80.747,buy
1992-07-13 00:00:00,82.753,buy
1993-03-10 00:00:00,82.5,buy
1993-04-19 00:00:00,84.75,buy
1993-12-15 00:00:00,86.634,buy
1993-12-17 00:00:00,87.384,buy
1994-04-15 00:00:00,88.753,buy
1994-06-01 00:00:00,28.378,sell
1995-12-18 00:00:00,37.753,buy
1996-01-02 00:00:00,37.631,sell
1996-02-14 00:00:00,40.134,buy
1997-03-24 00:00:00,49.134,buy
1997-09-17 00:00:00,49.134,buy
1999-04-13 00:00:00,63.938,buy
1999-11-01 00:00:00,68.128,buy
2000-10-10 00:00:00,58.134,buy
2001-07-02 00:00:00,66.703,sell
2001-09-20 00:00:00,61.453,sell
2002-06-20 00:00:00,74.747,sell
2002-06-24 00:00:00,72.0,sell
2002-07-01 00:00:00,70.2,sell
2003-02-04 00:00:00,69.788,buy
2003-10-10 00:00:00,83.934,buy
2003-11-26 00:00:00,90.938,buy
2004-01-22 00:00:00,47.194,sell
2004-12-14 00:00:00,49.547,buy
2005-03-02 00:00:00,52.547,buy
2005-09-13 00:00:00,59.812,buy
2005-09-19 00:00:00,61.762,buy
2006-03-02 00:00:00,76.481,buy
2006-09-01 00:00:00,77.653,buy
2006-12-01 00:00:00,67.462,sell
2007-02-21 00:00:00,67.256,buy
2007-06-06 00:00:00,70.509,buy
2007-07-27 00:00:00,66.712,sell
2007-11-09 00:00:00,67.688,sell
2008-06-06 00:00:00,77.25,buy
2008-10-29 00:00:00,44.16,sell
2009-03-11 00:00:00,37.072,sell
2009-09-03 00:00:00,45.308,buy
2009-09-15 00:00:00,49.072,buy
2009-10-16 00:00:00,48.622,buy
2010-05-05 00:00:00,56.79,sell
2010-05-07 00:00:00,55.162,sell
2010-05-21 00:00:00,55.62,sell
2010-09-02 00:00:00,58.268,sell
2010-12-03 00:00:00,70.342,buy
2011-03-09 00:00:00,70.95,buy
2011-08-05 00:00:00,69.292,sell
2012-06-18 00:00:00,92.092,buy
2012-11-28 00:00:00,69.35,buy
2014-10-16 00:00:00,83.84,sell
2016-06-09 00:00:00,98.89,buy
2016-08-22 00:00:00,50.33,sell
2017-05-18 00:00:00,52.58,buy
2017-05-23 00:00:00,53.38,buy
2017-11-01 00:00:00,55.43,buy
2017-11-15 00:00:00,57.51,buy
2018-02-06 00:00:00,65.01,sell
2018-03-02 00:00:00,56.15,sell
2018-06-07 00:00:00,51.24,sell
2018-09-11 00:00:00,50.79,sell
2019-06-06 00:00:00,55.87,buy
2019-08-16 00:00:00,57.54,buy
2020-03-13 00:00:00,53.15,sell
2020-09-03 00:00:00,79.35,buy
2021-06-10 00:00:00,75.54,sell
2023-03-09 00:00:00,62.29,sell
2023-12-07 00:00:00,54.52,sell
2024-06-06 00:00:00,43.92,sell
2024-11-07 00:00:00,41.69,sell
2024-12-06 00:00:00,44.41,buy
