time,price,signal,label
1981-05-07,57.0,sell,4.0
1981-07-21,29.878,sell,3.0
1981-07-22,29.747,sell,3.0
1981-11-02,31.134,buy,1.0
1982-01-04,35.503,buy,2.0
1982-01-05,34.997,buy,2.0
1982-01-08,31.5,sell,3.0
1982-06-21,33.384,sell,4.0
1982-06-23,33.384,sell,4.0
1982-11-24,37.247,sell,3.0
1983-06-10,33.628,sell,3.0
1983-12-02,35.747,buy,2.0
1983-12-19,31.003,sell,3.0
1984-03-06,25.997,sell,4.0
1984-05-10,28.003,buy,2.0
1984-08-02,27.628,buy,1.0
1984-10-31,29.25,buy,2.0
1984-11-09,29.747,buy,2.0
1985-03-18,32.878,sell,4.0
1985-11-05,39.497,buy,1.0
1985-11-07,40.003,buy,1.0
1985-12-18,46.134,buy,2.0
1985-12-20,48.0,buy,2.0
1985-12-23,45.881,buy,2.0
1986-02-19,49.378,buy,2.0
1986-03-27,55.631,buy,2.0
1986-06-17,56.503,buy,1.0
1986-06-25,61.631,buy,2.0
1986-07-25,55.884,sell,4.0
1986-07-29,55.884,sell,4.0
1986-09-12,52.247,sell,4.0
1987-04-02,49.003,sell,3.0
1987-04-06,54.75,sell,3.0
1987-08-13,49.884,buy,2.0
1987-08-25,46.003,sell,3.0
1987-10-20,36.497,sell,3.0
1987-10-26,32.747,sell,3.0
1987-10-29,31.003,sell,4.0
1987-12-15,34.5,buy,2.0
1988-02-29,45.881,buy,1.0
1988-06-02,48.0,buy,2.0
1988-06-09,49.247,buy,2.0
1988-06-15,50.128,buy,2.0
1988-10-10,52.134,buy,2.0
1989-01-25,60.253,buy,1.0
1989-01-27,63.75,buy,2.0
1989-02-01,64.003,buy,2.0
1989-07-17,71.878,buy,1.0
1990-08-27,61.003,sell,4.0
1990-10-16,63.0,buy,1.0
1990-12-07,72.497,buy,2.0
1991-08-21,74.747,sell,3.0
1991-11-22,73.378,buy,1.0
1991-12-03,76.997,buy,1.0
1991-12-05,79.003,buy,1.0
1992-01-22,81.0,sell,3.0
1992-03-03,78.497,sell,3.0
1992-07-07,80.747,buy,1.0
1992-07-13,82.753,buy,1.0
1993-03-10,82.5,buy,2.0
1993-04-19,84.75,buy,2.0
1993-12-15,86.634,buy,2.0
1993-12-17,87.384,buy,2.0
1994-04-15,88.753,buy,2.0
1994-06-01,28.378,sell,3.0
1995-12-18,37.753,buy,2.0
1996-01-02,37.631,sell,4.0
1996-02-14,40.134,buy,2.0
1997-03-24,49.134,buy,2.0
1997-09-17,49.134,buy,1.0
1999-04-13,63.938,buy,1.0
1999-11-01,68.128,buy,2.0
2000-10-10,58.134,buy,2.0
2001-07-02,66.703,sell,4.0
2001-09-20,61.453,sell,3.0
2002-06-20,74.747,sell,3.0
2002-06-24,72.0,sell,3.0
2002-07-01,70.2,sell,3.0
2003-02-04,69.788,buy,2.0
2003-10-10,83.934,buy,1.0
2003-11-26,90.938,buy,2.0
2004-01-22,47.194,sell,4.0
2004-12-14,49.547,buy,2.0
2005-03-02,52.547,buy,2.0
2005-09-13,59.812,buy,2.0
2005-09-19,61.762,buy,2.0
2006-03-02,76.481,buy,2.0
2006-09-01,77.653,buy,2.0
2006-12-01,67.462,sell,3.0
2007-02-21,67.256,buy,2.0
2007-06-06,70.509,buy,2.0
2007-07-27,66.712,sell,4.0
2007-11-09,67.688,sell,4.0
2008-06-06,77.25,buy,2.0
2008-10-29,44.16,sell,4.0
2009-03-11,37.072,sell,4.0
2009-09-03,45.308,buy,1.0
2009-09-15,49.072,buy,2.0
2009-10-16,48.622,buy,1.0
2010-05-05,56.79,sell,4.0
2010-05-07,55.162,sell,4.0
2010-05-21,55.62,sell,4.0
2010-09-02,58.268,sell,4.0
2010-12-03,70.342,buy,2.0
2011-03-09,70.95,buy,2.0
2011-08-05,69.292,sell,3.0
2012-06-18,92.092,buy,2.0
2012-11-28,69.35,buy,2.0
2014-10-16,83.84,sell,4.0
2016-06-09,98.89,buy,2.0
2016-08-22,50.33,sell,3.0
2017-05-18,52.58,buy,2.0
2017-05-23,53.38,buy,2.0
2017-11-01,55.43,buy,1.0
2017-11-15,57.51,buy,1.0
2018-02-06,65.01,sell,3.0
2018-03-02,56.15,sell,3.0
2018-06-07,51.24,sell,4.0
2018-09-11,50.79,sell,3.0
2019-06-06,55.87,buy,2.0
2019-08-16,57.54,buy,1.0
2020-03-13,53.15,sell,3.0
2020-09-03,79.35,buy,2.0
2021-06-10,75.54,sell,3.0
2023-03-09,62.29,sell,4.0
2023-12-07,54.52,sell,4.0
2024-06-06,43.92,sell,3.0
2024-11-07,41.69,sell,3.0
2024-12-06,44.41,buy,2.0
