time,price,signal,label
1998-09-02,25.46,sell,3.0
1999-01-25,32.4,buy,2.0
1999-04-16,33.03,buy,1.0
1999-04-22,34.34,buy,2.0
1999-07-12,32.76,sell,3.0
1999-09-28,30.04,sell,3.0
1999-12-29,31.12,buy,2.0
2000-06-15,37.12,buy,1.0
2000-10-05,40.88,sell,4.0
2000-10-12,39.75,sell,4.0
2001-01-08,40.25,sell,4.0
2001-03-23,38.68,sell,4.0
2001-09-18,37.17,sell,3.0
2002-03-07,39.76,buy,2.0
2002-07-03,39.01,sell,3.0
2002-10-04,35.75,sell,4.0
2002-10-09,33.93,sell,4.0
2004-01-22,47.6,sell,4.0
2004-01-27,49.95,buy,1.0
2004-04-13,47.23,sell,3.0
2007-09-19,104.37,buy,2.0
2008-01-03,89.67,sell,3.0
2008-09-16,94.16,sell,3.0
2013-06-21,101.94,sell,4.0
2013-09-19,111.12,buy,2.0
2014-09-15,114.86,sell,4.0
2017-04-27,125.99,sell,3.0
2018-02-07,115.34,sell,4.0
2018-09-27,120.72,sell,4.0
2018-10-12,114.7,sell,4.0
2018-12-18,120.55,sell,4.0
2018-12-20,115.01,sell,4.0
2019-06-27,128.03,sell,4.0
2019-08-06,127.19,sell,4.0
2020-03-02,134.54,sell,3.0
2020-03-10,130.27,sell,3.0
2020-03-23,77.93,sell,4.0
2020-11-10,92.53,buy,1.0
2021-05-13,106.01,sell,4.0
2021-11-29,110.34,sell,4.0
2021-12-01,105.3,sell,4.0
2023-09-22,60.31,sell,3.0
2024-12-19,73.33,sell,3.0
