time,price,signal
2015-08-04 00:00:00,39.1,buy
2016-05-02 00:00:00,38.43,sell
2017-02-08 00:00:00,57.16,buy
2017-03-28 00:00:00,56.86,sell
2018-02-08 00:00:00,69.05,sell
2018-05-03 00:00:00,74.5,buy
2018-10-09 00:00:00,84.47,sell
2018-10-11 00:00:00,80.37,sell
2018-11-01 00:00:00,89.23,buy
2019-09-19 00:00:00,121.8,buy
2020-01-21 00:00:00,136.08,sell
2020-03-02 00:00:00,119.98,sell
2020-03-10 00:00:00,104.09,sell
2020-11-10 00:00:00,137.53,buy
2021-01-05 00:00:00,127.84,sell
2021-02-05 00:00:00,150.97,buy
2021-02-09 00:00:00,151.56,buy
2021-05-12 00:00:00,163.48,sell
2021-08-05 00:00:00,190.62,buy
2021-10-07 00:00:00,177.46,sell
2022-11-11 00:00:00,184.35,buy
2023-04-20 00:00:00,164.68,sell
2023-08-03 00:00:00,199.28,buy
2024-02-08 00:00:00,243.96,buy
2024-05-02 00:00:00,218.41,sell
2024-10-31 00:00:00,188.23,sell
