time,price,signal,label
2008-10-03,56.48,sell,3.0
2009-02-26,62.75,buy,1.0
2009-11-06,79.55,sell,4.0
2010-10-11,113.45,buy,1.0
2011-10-03,120.98,sell,4.0
2012-11-09,196.04,sell,4.0
2013-02-21,203.93,sell,3.0
2013-02-27,198.87,sell,3.0
2013-07-30,197.24,buy,2.0
2013-09-17,200.76,buy,1.0
2013-12-05,235.62,buy,2.0
2014-07-18,252.54,buy,2.0
2014-09-24,272.33,buy,2.0
2014-10-20,248.3,sell,4.0
2015-06-19,63.24,sell,4.0
2016-08-05,22.09,sell,4.0
2017-09-19,35.54,buy,2.0
2018-02-06,39.04,sell,3.0
2018-08-03,49.07,buy,2.0
2018-10-11,51.13,sell,3.0
2019-05-08,41.84,sell,4.0
2019-08-02,52.68,buy,2.0
2021-01-07,42.77,buy,1.0
2021-01-13,45.29,buy,2.0
2021-03-09,48.13,buy,2.0
2021-09-24,54.84,buy,1.0
2021-10-04,60.74,buy,2.0
2022-02-02,74.56,buy,1.0
2024-04-09,81.12,sell,3.0
