time,price,signal,label
2002-02-28,17.39,sell,4.0
2002-07-23,12.7,sell,4.0
2002-09-19,10.51,sell,4.0
2003-02-20,7.4,sell,4.0
2003-10-13,13.27,buy,2.0
2004-02-26,19.19,buy,1.0
2004-05-27,24.09,buy,2.0
2004-09-16,18.72,sell,3.0
2004-11-03,20.29,buy,1.0
2004-11-08,20.95,buy,1.0
2004-11-11,22.0,buy,1.0
2004-12-02,25.67,buy,2.0
2009-09-17,36.53,buy,2.0
2009-12-03,35.45,buy,2.0
2010-05-12,37.08,buy,2.0
2010-12-16,37.33,buy,1.0
2011-01-24,39.94,buy,2.0
2011-06-03,43.89,sell,4.0
2011-08-08,37.62,sell,4.0
2012-03-01,50.82,buy,2.0
2012-03-30,26.07,sell,4.0
2013-02-01,35.8,buy,2.0
2013-06-03,35.72,sell,3.0
2013-06-10,32.2,sell,4.0
2013-09-26,30.99,sell,4.0
2013-11-27,34.51,buy,1.0
2014-02-04,33.4,sell,4.0
2014-05-30,35.57,sell,3.0
2014-09-25,31.27,sell,4.0
2015-05-29,34.6,sell,4.0
2015-11-25,39.58,buy,2.0
2016-02-17,35.93,buy,1.0
2016-05-27,48.87,buy,2.0
2016-06-02,49.46,buy,2.0
2016-09-22,52.87,buy,2.0
2016-11-15,55.17,buy,2.0
2017-04-12,29.83,sell,4.0
2017-04-17,29.92,sell,4.0
2017-09-21,33.8,buy,1.0
2017-11-24,42.46,buy,1.0
2017-11-28,41.79,buy,1.0
2018-02-09,41.54,sell,4.0
2018-09-20,56.13,sell,3.0
2019-02-22,58.29,buy,2.0
2019-05-24,70.99,buy,1.0
2019-09-06,81.38,buy,2.0
2020-02-21,95.25,sell,3.0
2021-09-16,152.27,buy,2.0
2022-11-07,57.09,sell,4.0
2022-11-08,56.89,sell,4.0
2023-05-19,88.24,buy,2.0
2023-08-23,45.08,sell,3.0
2024-09-06,49.46,sell,4.0
