time,price,signal,label
1988-04-13,50.5,buy,2.0
1988-07-01,45.25,sell,4.0
1989-09-08,59.0,buy,2.0
1989-10-06,66.0,buy,2.0
1990-12-27,72.62,buy,2.0
1992-04-06,67.25,buy,2.0
1992-05-27,71.0,buy,2.0
1993-09-30,97.75,buy,2.0
1993-11-29,85.62,sell,4.0
1994-06-15,44.75,sell,3.0
1995-04-10,45.63,sell,4.0
1996-07-17,57.13,sell,4.0
1998-12-10,84.62,buy,2.0
1999-04-20,97.06,buy,2.0
2000-10-17,82.87,sell,4.0
2001-06-29,90.5,sell,4.0
2002-02-06,41.6,sell,4.0
2002-04-15,42.65,sell,4.0
2002-07-22,34.76,sell,4.0
2004-08-04,48.3,buy,2.0
2007-03-20,70.05,buy,1.0
2008-10-13,69.89,sell,3.0
2009-02-18,66.12,sell,3.0
2010-05-07,77.1,sell,3.0
2011-02-23,102.27,buy,1.0
2011-08-05,97.61,sell,4.0
2012-10-11,113.06,sell,3.0
2012-10-24,109.71,sell,3.0
2013-04-16,117.01,sell,4.0
2014-02-03,111.14,sell,4.0
2014-06-23,132.98,buy,2.0
2014-12-09,107.01,sell,4.0
2015-08-03,85.6,sell,3.0
2016-09-19,98.04,sell,4.0
2017-08-01,110.8,buy,2.0
2017-10-30,114.39,sell,4.0
2017-12-22,124.98,buy,2.0
2018-02-05,112.62,sell,4.0
2019-04-15,120.14,sell,4.0
2020-02-03,106.28,sell,3.0
2020-03-10,84.98,sell,3.0
2020-11-10,83.07,buy,1.0
2020-11-17,87.04,buy,2.0
2022-03-09,166.27,buy,2.0
2022-06-21,154.59,sell,3.0
2022-09-26,140.96,sell,4.0
2023-03-20,154.58,sell,4.0
2023-05-03,156.83,sell,3.0
2023-10-12,161.23,sell,3.0
2023-10-30,146.09,sell,3.0
