time,price,signal,label
2016-05-16,50.14,sell,4.0
2016-08-01,65.81,buy,2.0
2016-10-14,56.5,sell,3.0
2016-10-24,53.49,sell,4.0
2017-02-06,46.22,sell,4.0
2017-03-29,59.52,buy,2.0
2017-05-30,67.91,buy,2.0
2018-02-05,94.9,buy,2.0
2018-03-13,90.87,sell,4.0
2018-05-29,107.45,buy,1.0
2019-01-11,113.3,sell,4.0
2019-07-29,159.36,sell,3.0
2020-02-03,187.61,buy,2.0
2020-05-26,180.05,buy,1.0
2020-11-06,270.29,buy,2.0
2021-09-27,382.49,sell,3.0
2021-10-01,365.47,sell,4.0
2023-03-22,433.29,buy,1.0
2023-05-22,456.2,sell,4.0
2023-10-30,584.56,buy,1.0
2024-02-05,851.41,buy,2.0
2024-04-11,819.93,sell,4.0
2024-07-11,888.64,sell,3.0
2024-09-18,157.23,sell,4.0
2024-09-20,150.73,sell,4.0
