time,price,signal
2013-08-12 00:00:00,31.18,buy
2014-01-22 00:00:00,40.46,buy
2014-03-04 00:00:00,37.21,sell
2014-10-28 00:00:00,47.11,buy
2015-04-07 00:00:00,66.49,buy
2015-08-06 00:00:00,70.01,sell
2015-10-06 00:00:00,77.84,buy
2015-11-06 00:00:00,71.61,sell
2016-02-08 00:00:00,59.77,sell
2016-06-27 00:00:00,64.44,sell
2016-11-08 00:00:00,60.75,sell
2017-02-24 00:00:00,74.33,buy
2017-08-14 00:00:00,82.01,sell
2017-11-03 00:00:00,99.67,buy
2018-02-12 00:00:00,110.03,sell
2018-10-11 00:00:00,118.0,sell
2018-10-12 00:00:00,119.75,sell
2019-02-15 00:00:00,154.69,buy
2019-10-23 00:00:00,171.85,sell
2019-11-13 00:00:00,200.84,buy
2020-01-09 00:00:00,223.29,buy
2020-03-13 00:00:00,192.0,sell
2021-05-21 00:00:00,477.22,buy
2021-08-06 00:00:00,598.02,buy
2021-09-28 00:00:00,568.55,sell
2021-11-23 00:00:00,602.94,sell
2022-02-25 00:00:00,382.43,sell
2022-03-01 00:00:00,211.21,sell
2022-05-06 00:00:00,347.0,buy
2022-08-05 00:00:00,427.39,buy
2023-05-08 00:00:00,231.82,sell
2023-06-06 00:00:00,208.77,sell
2024-05-10 00:00:00,183.4,sell
2024-07-19 00:00:00,208.9,buy
2024-08-09 00:00:00,193.21,sell
2025-02-21 00:00:00,208.84,sell
