time,price,signal
1983-06-09 00:00:00,6.22,sell
1983-06-13 00:00:00,6.22,sell
1983-10-06 00:00:00,6.97,buy
1983-12-16 00:00:00,5.94,sell
1984-05-11 00:00:00,5.91,buy
1984-06-18 00:00:00,5.08,sell
1984-08-10 00:00:00,5.54,buy
1984-09-07 00:00:00,5.31,sell
1985-03-06 00:00:00,6.84,sell
1985-04-29 00:00:00,6.65,sell
1985-08-01 00:00:00,6.14,sell
1986-08-19 00:00:00,7.72,buy
1986-08-21 00:00:00,7.79,buy
1986-09-18 00:00:00,6.6,sell
1987-01-29 00:00:00,8.38,buy
1987-04-29 00:00:00,5.81,sell
1987-10-06 00:00:00,5.74,buy
1987-10-20 00:00:00,4.55,sell
1988-06-27 00:00:00,7.19,buy
1989-07-06 00:00:00,10.88,buy
1989-08-02 00:00:00,11.9,buy
1990-08-06 00:00:00,10.62,sell
1991-07-15 00:00:00,14.38,buy
1992-04-02 00:00:00,16.9,sell
1993-04-19 00:00:00,24.74,buy
1993-11-04 00:00:00,24.57,sell
1993-11-05 00:00:00,24.65,sell
1994-02-17 00:00:00,23.32,sell
1994-04-05 00:00:00,21.51,sell
1994-06-17 00:00:00,18.23,sell
1995-09-28 00:00:00,19.66,buy
1995-10-04 00:00:00,21.01,buy
1997-05-09 00:00:00,21.48,buy
1997-12-30 00:00:00,26.88,buy
1998-03-09 00:00:00,25.88,sell
1998-04-22 00:00:00,24.86,sell
1998-04-29 00:00:00,22.4,sell
1998-04-30 00:00:00,22.69,sell
1999-12-14 00:00:00,24.43,sell
2000-03-07 00:00:00,17.31,sell
2000-03-08 00:00:00,17.31,sell
2000-07-03 00:00:00,27.94,sell
2000-09-12 00:00:00,35.5,buy
2001-01-12 00:00:00,35.12,sell
2001-09-27 00:00:00,34.19,sell
2002-07-11 00:00:00,39.55,sell
2002-07-24 00:00:00,35.94,sell
2003-05-27 00:00:00,51.49,buy
2003-06-03 00:00:00,52.97,buy
2004-10-26 00:00:00,65.62,buy
2007-03-20 00:00:00,102.09,buy
2007-03-22 00:00:00,104.14,buy
2007-06-08 00:00:00,106.8,sell
2007-07-27 00:00:00,97.84,sell
2008-01-18 00:00:00,111.25,sell
2010-01-29 00:00:00,76.43,sell
2010-05-07 00:00:00,75.79,sell
2011-12-06 00:00:00,71.94,buy
2012-02-01 00:00:00,69.39,sell
2012-10-31 00:00:00,72.58,buy
2012-11-06 00:00:00,66.9,sell
2013-02-15 00:00:00,61.45,sell
2014-03-24 00:00:00,66.07,buy
2014-12-15 00:00:00,86.37,buy
2015-08-25 00:00:00,63.6,sell
2015-11-09 00:00:00,65.14,sell
2016-11-11 00:00:00,67.41,sell
2019-08-16 00:00:00,109.19,buy
2020-02-28 00:00:00,116.91,sell
2020-03-10 00:00:00,119.29,sell
2020-03-13 00:00:00,102.93,sell
2022-06-21 00:00:00,104.7,sell
2022-10-03 00:00:00,103.96,sell
2023-01-04 00:00:00,109.21,sell
2023-10-03 00:00:00,90.09,sell
2024-11-01 00:00:00,144.79,buy
2024-12-16 00:00:00,74.76,sell
