time,price,signal,label
1991-07-31,28.79,buy,2.0
1992-01-06,30.64,buy,1.0
1992-11-10,29.78,sell,4.0
1993-02-25,29.29,sell,3.0
1993-09-02,26.88,buy,1.0
1993-09-07,28.11,buy,2.0
1993-11-15,14.05,sell,4.0
1994-12-12,19.57,sell,4.0
1994-12-14,19.82,sell,4.0
1995-01-06,22.66,buy,2.0
1995-01-09,22.54,buy,2.0
1995-04-17,23.16,buy,2.0
1995-04-18,23.41,buy,2.0
1995-07-24,23.31,buy,2.0
1995-07-26,24.8,buy,2.0
1995-09-12,26.66,buy,2.0
1995-09-13,26.79,buy,2.0
1996-08-06,31.82,buy,2.0
1996-08-07,32.31,buy,2.0
1996-10-09,39.77,buy,1.0
1996-11-26,44.49,buy,2.0
1996-12-18,20.9,sell,4.0
1997-07-24,34.86,buy,1.0
1997-09-19,43.7,buy,2.0
1997-10-09,47.56,buy,2.0
1997-10-10,47.43,buy,2.0
1997-10-27,35.61,sell,4.0
1997-12-22,35.76,sell,3.0
1998-04-28,42.86,sell,3.0
1998-07-29,41.03,sell,3.0
1998-08-06,37.85,sell,3.0
1998-09-01,29.24,sell,3.0
1999-03-09,50.36,buy,1.0
1999-03-10,51.8,buy,2.0
1999-03-12,51.42,buy,2.0
1999-04-13,57.04,buy,1.0
1999-04-22,66.52,buy,2.0
1999-06-03,29.98,sell,3.0
1999-12-03,43.12,buy,2.0
2000-02-11,38.0,sell,3.0
2000-07-03,48.0,buy,2.0
2000-12-18,48.5,sell,3.0
2001-01-04,13.94,sell,4.0
2001-03-19,11.75,sell,4.0
2001-05-11,13.76,buy,1.0
2001-09-18,11.27,sell,4.0
2001-12-07,14.5,buy,2.0
2002-02-21,12.79,sell,4.0
2003-02-12,16.39,buy,1.0
2003-07-31,16.92,sell,4.0
2004-02-11,19.91,buy,2.0
2004-05-07,21.47,buy,1.0
2004-10-06,27.41,buy,2.0
2004-11-03,26.94,sell,4.0
2009-09-17,34.11,buy,2.0
2010-02-24,36.59,buy,2.0
2010-10-06,47.24,buy,1.0
2011-01-31,50.67,sell,3.0
2011-08-03,46.4,sell,3.0
2012-03-22,46.39,buy,2.0
2012-04-23,40.95,sell,3.0
2012-11-07,37.14,buy,2.0
2013-02-27,38.22,sell,3.0
2013-10-25,45.88,buy,2.0
2014-01-27,41.49,sell,3.0
2014-02-26,39.02,sell,4.0
2014-05-09,43.32,buy,1.0
2014-05-16,46.26,buy,2.0
2014-08-06,40.19,sell,4.0
2014-11-05,43.47,buy,2.0
2015-05-07,48.09,buy,2.0
2015-08-05,48.54,buy,2.0
2016-01-08,42.78,sell,4.0
2016-08-03,51.02,buy,2.0
2017-05-03,54.08,sell,4.0
2017-08-09,55.62,sell,4.0
2017-11-08,60.49,buy,2.0
2018-02-06,61.87,sell,4.0
2018-05-09,70.54,buy,1.0
2018-12-20,66.44,sell,4.0
2019-05-08,74.94,sell,4.0
2019-08-06,72.46,sell,4.0
2019-11-06,77.0,buy,2.0
2020-01-17,76.82,buy,2.0
2020-03-13,65.15,sell,3.0
2021-05-05,113.48,buy,1.0
2022-09-19,93.17,sell,4.0
2022-11-09,104.78,buy,1.0
2023-02-03,117.03,buy,2.0
2023-08-09,117.37,sell,3.0
2024-02-21,117.9,sell,3.0
2024-08-07,116.93,sell,4.0
