time,price,signal
1983-04-13 00:00:00,72.25,buy
1983-05-25 00:00:00,89.0,buy
1983-08-04 00:00:00,72.5,sell
1983-09-13 00:00:00,79.5,buy
1983-10-12 00:00:00,75.62,sell
1984-02-07 00:00:00,67.5,sell
1984-03-30 00:00:00,65.87,buy
1985-06-28 00:00:00,44.25,buy
1985-11-29 00:00:00,61.5,buy
1986-01-20 00:00:00,65.62,buy
1986-09-04 00:00:00,52.88,sell
1987-03-11 00:00:00,63.75,buy
1987-03-16 00:00:00,65.5,buy
1987-07-30 00:00:00,68.37,buy
1987-08-07 00:00:00,72.25,buy
1987-08-14 00:00:00,74.25,buy
1988-10-27 00:00:00,66.5,buy
1989-05-18 00:00:00,35.63,buy
1989-10-16 00:00:00,39.25,sell
1990-06-11 00:00:00,46.63,sell
1991-01-18 00:00:00,46.88,buy
1991-01-31 00:00:00,51.63,buy
1991-07-02 00:00:00,65.5,buy
1991-07-09 00:00:00,66.87,buy
1991-08-26 00:00:00,68.62,buy
1991-10-16 00:00:00,75.0,buy
1992-01-14 00:00:00,68.37,sell
1992-01-15 00:00:00,69.75,sell
1992-01-21 00:00:00,64.75,sell
1992-02-12 00:00:00,31.0,sell
1992-04-15 00:00:00,37.0,buy
1992-09-15 00:00:00,37.0,buy
1992-12-24 00:00:00,35.75,sell
1992-12-29 00:00:00,36.88,sell
1993-02-10 00:00:00,35.13,sell
1993-10-08 00:00:00,27.62,sell
1994-10-20 00:00:00,34.0,buy
1995-03-27 00:00:00,36.0,buy
1995-05-01 00:00:00,34.13,sell
1995-09-08 00:00:00,29.37,sell
1995-10-06 00:00:00,26.87,sell
1995-11-30 00:00:00,30.25,buy
1995-12-06 00:00:00,31.25,buy
1996-05-15 00:00:00,38.63,buy
1996-09-16 00:00:00,39.13,buy
1996-10-09 00:00:00,38.5,buy
1996-12-04 00:00:00,41.88,buy
1996-12-10 00:00:00,45.25,buy
1997-01-15 00:00:00,36.5,sell
1997-01-17 00:00:00,36.88,sell
1997-03-11 00:00:00,45.13,buy
1997-07-17 00:00:00,61.13,buy
1997-09-12 00:00:00,42.0,sell
1997-09-16 00:00:00,42.88,sell
1997-10-28 00:00:00,45.31,sell
1998-01-29 00:00:00,33.94,sell
1998-04-07 00:00:00,39.75,sell
1998-08-28 00:00:00,25.87,sell
1998-09-03 00:00:00,23.56,sell
1998-09-24 00:00:00,28.81,buy
1998-10-21 00:00:00,35.75,buy
1999-02-24 00:00:00,53.5,buy
1999-03-02 00:00:00,55.81,buy
1999-04-15 00:00:00,61.5,buy
1999-07-01 00:00:00,70.0,buy
1999-08-11 00:00:00,65.12,sell
1999-11-01 00:00:00,79.5,buy
2000-07-31 00:00:00,235.0,sell
2000-10-09 00:00:00,93.0,sell
2001-08-31 00:00:00,12.01,sell
2002-08-01 00:00:00,1.56,sell
2002-10-09 00:00:00,1.23,sell
2002-11-07 00:00:00,2.62,buy
2002-11-14 00:00:00,3.37,buy
2002-11-19 00:00:00,3.95,buy
2003-04-30 00:00:00,5.42,sell
2003-05-30 00:00:00,7.31,buy
2003-09-17 00:00:00,9.35,buy
2003-09-19 00:00:00,10.0,buy
2004-01-20 00:00:00,13.78,buy
2004-03-12 00:00:00,11.32,sell
2004-08-13 00:00:00,9.55,sell
2004-10-08 00:00:00,10.25,sell
2007-09-18 00:00:00,24.02,buy
2007-09-19 00:00:00,24.02,buy
2007-11-09 00:00:00,21.31,sell
2008-09-04 00:00:00,16.6,sell
2010-05-07 00:00:00,17.54,sell
2011-01-26 00:00:00,21.78,buy
2011-08-05 00:00:00,14.32,sell
2011-11-30 00:00:00,13.27,sell
2012-04-26 00:00:00,14.3,buy
2012-07-26 00:00:00,11.23,sell
2012-09-07 00:00:00,12.55,buy
2012-10-25 00:00:00,12.09,sell
2013-04-25 00:00:00,14.23,buy
2013-04-30 00:00:00,14.5,buy
2013-10-24 00:00:00,17.48,buy
2014-01-29 00:00:00,17.16,sell
2014-07-30 00:00:00,19.87,sell
2014-12-19 00:00:00,22.66,buy
2015-01-28 00:00:00,24.22,buy
2015-05-06 00:00:00,21.06,sell
2015-08-25 00:00:00,15.97,sell
2015-10-28 00:00:00,18.82,buy
2016-04-27 00:00:00,19.3,sell
2016-10-26 00:00:00,23.02,sell
2016-10-31 00:00:00,22.71,sell
2016-12-09 00:00:00,24.56,buy
2017-01-25 00:00:00,26.68,buy
2017-10-25 00:00:00,31.54,buy
2018-01-31 00:00:00,31.22,sell
2018-02-06 00:00:00,29.8,sell
2018-02-07 00:00:00,29.82,sell
2018-07-26 00:00:00,33.63,buy
2018-09-14 00:00:00,35.27,buy
2018-09-21 00:00:00,35.92,buy
2018-10-11 00:00:00,31.34,sell
2019-01-30 00:00:00,33.52,buy
2019-05-01 00:00:00,32.31,sell
2019-07-31 00:00:00,30.75,sell
2019-08-06 00:00:00,28.52,sell
2023-06-20 00:00:00,34.9,buy
2023-10-13 00:00:00,27.93,sell
2024-01-31 00:00:00,32.49,buy
2024-05-01 00:00:00,33.48,buy
2024-06-18 00:00:00,40.21,buy
2024-07-09 00:00:00,44.67,buy
2024-10-10 00:00:00,46.02,buy
2024-10-30 00:00:00,48.04,buy
