time,price,signal,label
2018-01-05,57.7,buy,2.0
2018-04-02,58.07,buy,1.0
2018-04-06,61.78,buy,1.0
2018-08-17,65.59,sell,4.0
2018-10-03,72.24,buy,1.0
2020-01-06,90.7,buy,2.0
2020-03-02,86.65,sell,3.0
2020-03-09,73.38,sell,3.0
2021-07-20,75.98,sell,3.0
2021-07-28,66.82,sell,3.0
2021-10-08,56.39,sell,3.0
2022-01-07,70.24,buy,2.0
2022-06-27,72.67,buy,2.0
2022-10-06,82.73,buy,2.0
2023-01-06,99.61,buy,2.0
2023-04-10,107.29,buy,1.0
2023-07-26,101.76,sell,3.0
2023-10-13,83.18,sell,4.0
2024-04-05,79.78,sell,4.0
2024-07-25,53.01,sell,4.0
2024-10-21,77.31,buy,2.0
2024-12-20,62.09,sell,3.0
