time,price,signal,label
1984-06-05,27.87,buy,2.0
1985-01-15,28.62,buy,1.0
1985-01-21,30.12,buy,1.0
1985-08-07,34.13,sell,3.0
1985-11-12,36.5,buy,2.0
1986-01-30,44.75,buy,1.0
1986-03-03,52.13,buy,1.0
1986-07-16,27.5,sell,4.0
1986-09-12,24.12,sell,4.0
1986-09-15,24.5,sell,4.0
1987-04-14,33.0,sell,4.0
1987-04-15,34.63,sell,4.0
1987-04-21,34.88,sell,3.0
1987-10-20,23.87,sell,3.0
1988-03-24,28.0,buy,2.0
1988-10-10,27.87,buy,2.0
1989-05-17,28.62,buy,2.0
1989-06-26,29.25,buy,2.0
1989-10-16,26.0,sell,3.0
1989-10-27,24.62,sell,4.0
1990-08-07,21.87,sell,3.0
1991-02-06,21.75,buy,2.0
1991-11-29,20.25,sell,4.0
1991-12-26,23.12,buy,1.0
1992-06-24,25.0,sell,4.0
1992-10-07,23.75,sell,4.0
1992-12-03,29.37,buy,2.0
1992-12-04,28.87,buy,2.0
1993-01-07,31.5,buy,2.0
1993-01-27,33.13,buy,2.0
1993-07-08,27.62,sell,4.0
1993-08-12,30.87,buy,2.0
1994-02-28,35.13,sell,3.0
1994-06-29,26.62,sell,3.0
1995-02-14,26.0,buy,2.0
1996-05-08,31.0,buy,2.0
1996-07-24,27.0,sell,4.0
1996-07-25,27.75,sell,4.0
1997-06-19,42.25,buy,2.0
1997-06-20,43.38,buy,2.0
1997-06-23,41.88,buy,2.0
1997-07-30,44.88,buy,2.0
1997-07-31,46.88,buy,2.0
1997-12-10,51.5,buy,2.0
1997-12-15,52.0,buy,2.0
1998-02-26,53.88,buy,1.0
1998-02-27,54.38,buy,1.0
1998-04-29,57.13,sell,4.0
1999-02-19,29.25,sell,3.0
1999-02-26,26.25,sell,4.0
1999-04-16,30.5,buy,2.0
1999-09-03,32.44,buy,2.0
2000-03-17,22.0,buy,1.0
2000-08-14,21.0,buy,2.0
2000-10-06,16.5,sell,3.0
2000-12-06,22.25,buy,1.0
2001-09-20,19.01,sell,4.0
2001-12-06,23.1,buy,1.0
2002-02-27,28.18,buy,2.0
2002-05-10,26.91,sell,3.0
2002-07-17,22.23,sell,4.0
2002-09-20,20.86,sell,3.0
2003-05-07,22.82,buy,2.0
2004-03-19,29.82,buy,2.0
2004-11-05,35.87,buy,2.0
2007-09-18,26.15,sell,3.0
2007-09-19,24.83,sell,3.0
2007-09-20,23.37,sell,4.0
2008-02-01,23.33,buy,2.0
2009-04-27,9.75,buy,1.0
2009-07-29,12.79,buy,1.0
2009-11-02,11.66,sell,4.0
2010-12-09,13.26,buy,2.0
2012-02-15,11.67,sell,4.0
2013-02-13,20.36,buy,2.0
2013-09-19,22.23,buy,2.0
2014-01-27,21.72,sell,4.0
2014-04-28,20.71,sell,4.0
2014-10-14,20.95,sell,4.0
2015-07-29,26.41,buy,2.0
2015-12-21,28.04,sell,3.0
2016-09-12,33.69,sell,3.0
2016-10-26,30.6,sell,4.0
2017-04-26,37.45,buy,2.0
2018-04-25,37.17,sell,4.0
2018-10-10,33.38,sell,3.0
2019-04-26,38.48,sell,3.0
2020-02-14,45.61,sell,3.0
2020-03-23,27.53,sell,4.0
2023-12-18,67.95,buy,2.0
2024-02-09,72.61,buy,1.0
