time,price,signal
2012-10-03 00:00:00,28.27,sell
2014-01-30 00:00:00,42.58,sell
2014-02-04 00:00:00,41.72,sell
2014-09-19 00:00:00,48.39,buy
2015-01-14 00:00:00,53.7,buy
2015-07-15 00:00:00,64.81,buy
2015-08-13 00:00:00,63.4,sell
2015-11-03 00:00:00,70.21,buy
2016-01-21 00:00:00,65.58,sell
2016-10-12 00:00:00,81.92,sell
2016-10-28 00:00:00,78.95,sell
2017-02-03 00:00:00,91.65,buy
2017-03-16 00:00:00,97.67,buy
2018-02-02 00:00:00,142.53,buy
2018-10-11 00:00:00,151.59,sell
2019-05-14 00:00:00,220.44,sell
2020-11-05 00:00:00,417.73,buy
2021-01-15 00:00:00,415.3,sell
2021-09-29 00:00:00,610.7,sell
2021-10-05 00:00:00,602.12,sell
2023-04-26 00:00:00,458.22,sell
2023-07-26 00:00:00,557.25,buy
2023-09-22 00:00:00,513.16,sell
2024-01-31 00:00:00,598.62,buy
2024-04-24 00:00:00,464.65,sell
2024-10-30 00:00:00,569.09,sell
