time,price,signal
2002-05-31 00:00:00,2.75,sell
2002-10-01 00:00:00,3.74,buy
2002-10-03 00:00:00,3.86,buy
2002-10-18 00:00:00,4.65,buy
2003-07-11 00:00:00,8.19,buy
2004-01-29 00:00:00,9.24,sell
2004-02-02 00:00:00,9.15,sell
2004-03-30 00:00:00,10.09,buy
2004-05-26 00:00:00,12.86,buy
2004-05-28 00:00:00,12.35,buy
2004-08-09 00:00:00,11.79,sell
2007-09-17 00:00:00,27.01,buy
2008-01-24 00:00:00,24.91,buy
2008-01-28 00:00:00,25.72,buy
2008-02-01 00:00:00,29.38,buy
2008-07-17 00:00:00,36.26,buy
2009-12-18 00:00:00,32.23,buy
2010-07-29 00:00:00,39.5,buy
2010-08-25 00:00:00,24.18,sell
2011-02-03 00:00:00,30.09,sell
2011-04-28 00:00:00,38.0,buy
2011-08-03 00:00:00,34.67,sell
2011-08-09 00:00:00,30.59,sell
2012-04-27 00:00:00,45.08,sell
2012-09-11 00:00:00,31.54,sell
2014-01-13 00:00:00,55.0,buy
2014-10-13 00:00:00,62.57,sell
2015-06-01 00:00:00,68.41,sell
2018-02-09 00:00:00,130.14,sell
2018-07-25 00:00:00,147.96,sell
2020-02-07 00:00:00,220.59,buy
2020-03-10 00:00:00,190.76,sell
2020-03-13 00:00:00,177.93,sell
2020-03-26 00:00:00,140.6,sell
2020-09-21 00:00:00,178.61,sell
2022-05-19 00:00:00,238.47,sell
2023-02-02 00:00:00,371.41,buy
2023-04-27 00:00:00,313.21,sell
2023-06-28 00:00:00,370.29,buy
2023-07-27 00:00:00,412.13,buy
2023-10-26 00:00:00,369.79,sell
2023-12-07 00:00:00,374.99,sell
2024-04-01 00:00:00,218.12,sell
2024-11-07 00:00:00,222.91,buy
2024-11-12 00:00:00,226.32,buy
