time,price,signal
2016-05-10 00:00:00,9.38,sell
2016-06-27 00:00:00,8.62,sell
2016-06-29 00:00:00,8.69,sell
2016-09-23 00:00:00,11.71,buy
2016-11-11 00:00:00,11.22,sell
2016-12-16 00:00:00,12.84,buy
2017-02-14 00:00:00,15.31,buy
2017-08-08 00:00:00,16.44,buy
2018-01-19 00:00:00,25.04,buy
2019-03-28 00:00:00,20.27,sell
2019-05-14 00:00:00,19.98,sell
2019-08-06 00:00:00,17.66,sell
2019-10-29 00:00:00,21.04,buy
2020-02-04 00:00:00,19.82,sell
2020-09-08 00:00:00,20.93,buy
2020-10-09 00:00:00,26.35,buy
2020-11-10 00:00:00,27.09,buy
2021-01-13 00:00:00,36.99,buy
2021-03-05 00:00:00,38.81,sell
2021-08-03 00:00:00,45.38,buy
2021-11-02 00:00:00,57.14,buy
2023-10-31 00:00:00,62.64,sell
2023-12-15 00:00:00,85.65,buy
