time,price,signal,label
2014-09-22,39.58,sell,3.0
2014-12-19,46.0,buy,2.0
2015-06-19,41.59,sell,3.0
2015-08-25,35.45,sell,4.0
2015-12-18,36.35,sell,3.0
2016-03-17,40.61,buy,2.0
2016-06-03,39.1,sell,4.0
2016-09-19,39.23,sell,3.0
2016-11-10,39.58,buy,2.0
2017-03-17,45.66,buy,2.0
2017-06-22,50.3,buy,2.0
2017-06-23,50.95,buy,2.0
2018-03-21,47.02,sell,3.0
2018-06-21,43.1,sell,4.0
2018-09-24,51.24,buy,2.0
2018-12-07,46.0,sell,4.0
2018-12-24,42.69,sell,4.0
2019-05-29,51.69,sell,4.0
2019-06-21,56.12,buy,2.0
2020-03-02,50.9,sell,3.0
2020-08-27,57.18,buy,1.0
2021-03-08,72.16,buy,2.0
2021-09-20,86.17,sell,4.0
2021-12-06,88.94,sell,3.0
2021-12-13,100.89,buy,2.0
2021-12-16,103.22,buy,2.0
2022-09-19,69.07,sell,3.0
2023-03-13,84.93,sell,4.0
2023-05-26,104.08,buy,1.0
2023-06-13,116.68,buy,2.0
2023-08-30,121.12,buy,2.0
2023-09-13,111.84,sell,3.0
2023-12-13,102.99,sell,4.0
2024-03-13,125.52,buy,2.0
2024-06-13,139.85,buy,2.0
2024-09-11,157.18,buy,1.0
2024-09-16,170.33,buy,2.0
2024-11-07,186.37,buy,2.0
