time,price,signal
1981-05-22 00:00:00,14.395,buy
1981-06-15 00:00:00,14.275,buy
1982-08-19 00:00:00,9.06,buy
1982-08-27 00:00:00,10.14,buy
1983-04-12 00:00:00,9.715,buy
1983-05-23 00:00:00,11.035,buy
1983-05-26 00:00:00,11.815,buy
1983-08-01 00:00:00,11.155,sell
1983-08-02 00:00:00,11.1,sell
1984-01-18 00:00:00,12.775,buy
1984-04-02 00:00:00,15.415,buy
1984-04-05 00:00:00,15.715,buy
1984-05-18 00:00:00,16.675,buy
1985-01-07 00:00:00,11.275,sell
1985-01-08 00:00:00,11.995,sell
1985-05-10 00:00:00,14.695,buy
1985-06-06 00:00:00,16.435,buy
1985-07-29 00:00:00,16.255,buy
1985-08-08 00:00:00,16.315,buy
1985-10-02 00:00:00,15.535,buy
1985-10-04 00:00:00,15.775,buy
1986-07-30 00:00:00,11.515,sell
1986-11-04 00:00:00,13.315,sell
1987-01-13 00:00:00,15.115,buy
1987-10-19 00:00:00,11.46,sell
1987-10-20 00:00:00,12.415,sell
1988-03-22 00:00:00,13.495,buy
1989-04-24 00:00:00,13.255,buy
1989-06-22 00:00:00,13.255,sell
1989-10-16 00:00:00,13.795,sell
1989-11-16 00:00:00,14.395,buy
1990-01-22 00:00:00,13.195,sell
1990-06-07 00:00:00,12.775,sell
1990-06-20 00:00:00,12.355,sell
1990-08-24 00:00:00,11.22,sell
1990-09-20 00:00:00,10.075,sell
1990-09-28 00:00:00,9.475,sell
1991-05-09 00:00:00,10.14,buy
1992-04-20 00:00:00,9.595,buy
1992-10-06 00:00:00,8.22,sell
1993-06-14 00:00:00,9.595,sell
1993-10-22 00:00:00,9.06,sell
1994-08-04 00:00:00,10.075,buy
1994-08-10 00:00:00,10.14,buy
1995-02-02 00:00:00,8.94,sell
1995-04-05 00:00:00,11.1,buy
1995-09-27 00:00:00,10.38,sell
1996-03-14 00:00:00,12.175,buy
1997-10-07 00:00:00,14.155,buy
1998-01-07 00:00:00,13.255,sell
1998-01-12 00:00:00,12.385,sell
1998-03-17 00:00:00,13.285,buy
1998-03-24 00:00:00,14.305,buy
1998-06-16 00:00:00,12.175,sell
1998-07-28 00:00:00,10.705,sell
1998-08-28 00:00:00,9.42,sell
1999-04-20 00:00:00,9.745,buy
2000-01-26 00:00:00,9.745,sell
2001-06-26 00:00:00,13.32,sell
2001-09-20 00:00:00,11.54,sell
2002-07-16 00:00:00,12.47,sell
2005-02-17 00:00:00,31.595,buy
2006-01-04 00:00:00,40.78,buy
2006-01-09 00:00:00,42.84,buy
2006-09-12 00:00:00,43.775,sell
2007-11-07 00:00:00,67.94,buy
2008-10-13 00:00:00,49.2,sell
2011-01-31 00:00:00,92.625,sell
2011-05-02 00:00:00,110.886,buy
2013-02-26 00:00:00,78.35,sell
2013-04-30 00:00:00,85.517,buy
2014-03-21 00:00:00,90.125,sell
2015-08-13 00:00:00,72.806,buy
2016-11-02 00:00:00,67.79,sell
2017-05-05 00:00:00,60.4,sell
2017-09-26 00:00:00,64.44,buy
2018-05-10 00:00:00,83.86,buy
2018-08-10 00:00:00,78.78,sell
2018-10-16 00:00:00,73.12,sell
2020-02-26 00:00:00,34.22,sell
2020-03-09 00:00:00,12.51,sell
2020-03-10 00:00:00,14.34,sell
2020-06-08 00:00:00,24.4,buy
2020-11-10 00:00:00,12.38,buy
2020-11-24 00:00:00,16.78,buy
2022-03-01 00:00:00,46.79,buy
2022-03-07 00:00:00,55.38,buy
2023-03-16 00:00:00,59.04,sell
2024-02-16 00:00:00,60.52,buy
2024-04-08 00:00:00,68.73,buy
2024-08-05 00:00:00,56.18,sell
2025-02-20 00:00:00,52.09,buy
