time,price,signal
1981-01-06 00:00:00,5.08,buy
1981-01-07 00:00:00,5.03,buy
1981-05-05 00:00:00,4.8,sell
1981-06-12 00:00:00,5.46,buy
1981-06-16 00:00:00,5.8,buy
1981-08-12 00:00:00,5.86,buy
1981-11-12 00:00:00,5.89,buy
1982-08-18 00:00:00,7.09,buy
1982-08-23 00:00:00,7.55,buy
1984-02-17 00:00:00,4.35,sell
1984-08-03 00:00:00,5.07,buy
1984-08-06 00:00:00,4.98,buy
1984-08-10 00:00:00,5.11,buy
1985-07-25 00:00:00,6.87,sell
1985-10-30 00:00:00,6.99,buy
1986-03-21 00:00:00,8.29,sell
1986-03-24 00:00:00,8.54,sell
1986-07-14 00:00:00,9.73,buy
1986-07-17 00:00:00,10.04,buy
1986-09-12 00:00:00,9.81,sell
1987-04-02 00:00:00,9.28,sell
1987-04-06 00:00:00,9.55,sell
1987-10-19 00:00:00,6.88,sell
1987-10-20 00:00:00,8.06,sell
1988-03-25 00:00:00,7.52,sell
1989-05-01 00:00:00,9.66,buy
1989-05-15 00:00:00,10.11,buy
1990-01-15 00:00:00,11.12,sell
1990-05-17 00:00:00,12.63,buy
1990-07-11 00:00:00,12.56,sell
1990-10-02 00:00:00,12.71,buy
1991-08-22 00:00:00,16.81,buy
1992-04-15 00:00:00,19.67,buy
1993-02-24 00:00:00,22.94,buy
1993-04-22 00:00:00,22.09,sell
1993-04-26 00:00:00,22.01,sell
1993-05-27 00:00:00,23.01,buy
1994-01-07 00:00:00,22.66,sell
1994-04-25 00:00:00,19.06,sell
1994-12-06 00:00:00,18.29,buy
1995-04-05 00:00:00,19.71,buy
1996-04-01 00:00:00,18.51,sell
1996-08-29 00:00:00,19.31,buy
1996-10-16 00:00:00,20.18,buy
1996-12-24 00:00:00,18.61,sell
1997-11-05 00:00:00,23.05,buy
1998-06-02 00:00:00,29.89,buy
1998-08-05 00:00:00,27.85,sell
1998-08-06 00:00:00,28.2,sell
1999-10-21 00:00:00,21.81,sell
2000-01-06 00:00:00,21.94,buy
2000-02-25 00:00:00,19.78,sell
2000-04-25 00:00:00,27.06,buy
2000-09-21 00:00:00,23.19,sell
2000-12-12 00:00:00,21.62,sell
2001-01-05 00:00:00,12.62,sell
2001-04-09 00:00:00,6.9,sell
2001-07-06 00:00:00,13.45,buy
2001-07-09 00:00:00,14.1,buy
2001-07-17 00:00:00,14.92,buy
2002-05-16 00:00:00,21.0,sell
2002-06-27 00:00:00,16.95,sell
2002-07-03 00:00:00,16.44,sell
2002-08-02 00:00:00,8.81,sell
2003-02-20 00:00:00,12.69,sell
2003-06-23 00:00:00,21.43,buy
2007-09-26 00:00:00,48.5,buy
2008-08-11 00:00:00,39.55,buy
2008-10-12 00:00:00,33.38,sell
2010-09-13 00:00:00,44.26,sell
2011-03-15 00:00:00,43.0,sell
2011-11-04 00:00:00,40.82,sell
2013-02-22 00:00:00,41.98,sell
2014-03-31 00:00:00,43.2,sell
2014-08-07 00:00:00,43.28,sell
2015-08-25 00:00:00,48.96,sell
2015-11-09 00:00:00,52.5,sell
2016-02-01 00:00:00,55.46,buy
2016-02-03 00:00:00,57.46,buy
2016-08-29 00:00:00,62.36,sell
2016-11-15 00:00:00,59.1,sell
2017-10-13 00:00:00,57.72,sell
2017-10-16 00:00:00,53.43,sell
2017-12-22 00:00:00,44.57,sell
2018-02-07 00:00:00,39.48,sell
2018-03-14 00:00:00,44.17,buy
2018-06-12 00:00:00,39.29,sell
2018-08-30 00:00:00,47.02,buy
2018-11-12 00:00:00,32.98,sell
2018-11-13 00:00:00,32.72,sell
2018-11-15 00:00:00,17.74,sell
2018-11-16 00:00:00,24.4,sell
2019-01-08 00:00:00,17.56,sell
2019-01-15 00:00:00,6.91,sell
2019-04-15 00:00:00,23.72,buy
2019-06-06 00:00:00,20.97,buy
2019-08-20 00:00:00,11.66,sell
2019-10-11 00:00:00,8.02,sell
2019-12-10 00:00:00,12.32,buy
2020-02-04 00:00:00,16.75,buy
2020-03-13 00:00:00,10.21,sell
2020-11-19 00:00:00,12.29,buy
2021-07-20 00:00:00,9.42,sell
2021-07-27 00:00:00,8.99,sell
2021-10-18 00:00:00,11.0,buy
2022-10-06 00:00:00,14.63,buy
2023-03-06 00:00:00,16.74,buy
2024-09-05 00:00:00,20.6,buy
2025-01-13 00:00:00,16.22,sell
