time,price,signal
1998-12-02 00:00:00,21.5,sell
1999-01-29 00:00:00,22.12,sell
1999-04-19 00:00:00,22.0,buy
1999-07-01 00:00:00,22.81,buy
1999-08-25 00:00:00,21.31,sell
1999-09-23 00:00:00,20.06,sell
2000-05-03 00:00:00,22.87,buy
2000-10-05 00:00:00,23.62,sell
2001-01-04 00:00:00,22.44,sell
2001-07-02 00:00:00,22.35,buy
2001-09-18 00:00:00,20.75,sell
2002-04-24 00:00:00,22.77,sell
2002-07-01 00:00:00,25.8,buy
2002-10-10 00:00:00,23.45,sell
2003-10-24 00:00:00,29.08,sell
2004-04-13 00:00:00,30.86,sell
2009-09-17 00:00:00,11.32,sell
2010-10-28 00:00:00,13.34,buy
2011-01-28 00:00:00,15.21,buy
2012-04-11 00:00:00,33.38,sell
2013-06-03 00:00:00,40.42,sell
2013-09-19 00:00:00,38.89,buy
2014-09-15 00:00:00,38.83,sell
2015-01-28 00:00:00,46.42,buy
2015-08-25 00:00:00,36.45,sell
2016-11-10 00:00:00,47.01,sell
2018-10-12 00:00:00,62.54,sell
2018-12-07 00:00:00,66.84,buy
2018-12-18 00:00:00,62.63,sell
2018-12-24 00:00:00,55.94,sell
2022-05-02 00:00:00,153.13,sell
2022-05-11 00:00:00,123.74,sell
2022-09-19 00:00:00,112.8,sell
2023-12-15 00:00:00,134.26,buy
2024-04-18 00:00:00,104.69,sell
2025-01-22 00:00:00,115.13,buy
