time,price,signal,label
2002-01-15,20.62,sell,4.0
2002-03-05,26.61,buy,1.0
2002-03-08,30.32,buy,2.0
2002-07-02,17.69,sell,3.0
2002-09-24,9.25,sell,3.0
2003-06-03,13.05,buy,1.0
2004-01-22,22.81,buy,2.0
2004-02-26,17.4,sell,4.0
2004-04-23,19.27,buy,2.0
2004-07-22,19.72,buy,2.0
2004-08-31,14.69,sell,4.0
2009-09-17,10.12,sell,3.0
2010-02-05,7.38,sell,4.0
2010-04-12,10.2,buy,1.0
2010-04-23,13.14,buy,1.0
2010-04-30,14.36,buy,2.0
2010-10-21,18.32,buy,1.0
2011-02-03,29.77,buy,1.0
2011-04-21,29.72,sell,3.0
2011-08-05,17.65,sell,3.0
2011-08-09,15.74,sell,3.0
2012-01-27,38.43,buy,1.0
2012-04-11,39.08,sell,3.0
2012-04-19,45.15,buy,2.0
2012-05-18,33.05,sell,4.0
2012-10-18,39.94,buy,2.0
2013-01-03,48.05,buy,1.0
2014-02-04,76.87,sell,4.0
2014-04-08,87.9,sell,4.0
2014-10-02,105.45,sell,3.0
2014-10-08,103.12,sell,3.0
2014-12-02,108.74,sell,3.0
2014-12-15,99.46,sell,3.0
2015-05-29,88.91,sell,3.0
2015-07-24,64.72,sell,4.0
2016-01-29,47.91,sell,4.0
2016-04-22,66.01,buy,2.0
2016-07-22,78.22,buy,2.0
2016-09-21,75.66,sell,4.0
2016-11-10,89.5,buy,1.0
2017-01-27,128.26,buy,2.0
2018-06-22,154.95,sell,3.0
2018-10-19,117.12,sell,4.0
2019-03-25,111.12,sell,4.0
2019-04-22,135.46,buy,2.0
2019-07-19,118.98,sell,3.0
2020-01-31,135.69,sell,3.0
2020-11-10,209.27,buy,1.0
2021-01-07,264.68,buy,2.0
2023-01-27,434.09,buy,2.0
2023-03-13,408.15,sell,3.0
2023-03-20,378.45,sell,3.0
2023-12-15,571.74,buy,2.0
2024-01-26,630.75,buy,1.0
2024-11-07,862.43,buy,2.0
