time,price,signal,label
1998-08-31,17.47,sell,4.0
1998-10-27,23.34,buy,2.0
1999-01-05,22.92,buy,2.0
1999-03-11,20.25,buy,1.0
1999-03-18,22.23,buy,1.0
1999-03-19,21.18,buy,1.0
1999-08-10,23.63,buy,2.0
1999-11-18,22.8,buy,2.0
2000-03-06,27.0,buy,1.0
2000-07-27,26.5,sell,4.0
2001-01-03,9.03,sell,4.0
2002-03-13,12.03,buy,2.0
2002-05-03,10.75,sell,3.0
2002-05-08,10.02,sell,3.0
2003-01-29,8.72,sell,4.0
2003-12-19,11.7,buy,1.0
2004-01-14,12.53,buy,1.0
2004-08-06,16.92,sell,4.0
2004-08-12,16.28,sell,4.0
2009-09-17,18.41,sell,4.0
2012-03-08,27.87,buy,2.0
2012-08-01,27.15,buy,1.0
2013-01-30,43.75,buy,2.0
2014-02-05,46.37,sell,4.0
2014-06-26,52.27,sell,3.0
2015-08-24,58.52,sell,4.0
2015-12-14,67.55,sell,3.0
2016-01-14,67.32,sell,3.0
2016-02-04,61.79,sell,3.0
2016-09-30,53.0,sell,4.0
2016-11-10,62.96,buy,1.0
2017-08-01,68.84,buy,2.0
2017-12-11,87.2,buy,1.0
2018-02-06,90.46,sell,4.0
2018-10-22,92.85,sell,3.0
2019-08-06,76.84,sell,4.0
2020-02-28,66.25,sell,3.0
2020-03-13,49.9,sell,3.0
2020-11-10,49.96,buy,1.0
2020-11-17,54.15,buy,1.0
2021-11-29,68.17,sell,4.0
2023-03-16,127.17,sell,3.0
2024-03-14,159.39,buy,1.0
2024-03-18,166.29,buy,1.0
