time,price,signal,label
2002-02-21,13.46,buy,1.0
2002-06-07,13.15,sell,3.0
2002-07-01,13.28,buy,2.0
2003-07-25,14.39,buy,1.0
2003-10-02,16.88,buy,2.0
2004-04-23,16.26,buy,2.0
2004-08-13,16.89,sell,4.0
2009-09-17,38.33,buy,2.0
2010-04-08,42.2,sell,4.0
2010-04-19,47.57,buy,2.0
2010-05-21,43.46,sell,3.0
2011-03-29,66.76,buy,2.0
2013-06-13,53.71,sell,4.0
2014-04-07,73.15,sell,4.0
2014-04-08,73.01,sell,4.0
2014-07-25,85.46,buy,2.0
2014-10-02,77.91,sell,4.0
2014-10-08,77.57,sell,4.0
2015-05-04,101.25,buy,2.0
2015-07-28,99.62,buy,2.0
2015-08-25,90.87,sell,4.0
2015-10-23,83.2,sell,3.0
2016-02-19,67.25,buy,1.0
2016-04-27,86.26,buy,2.0
2016-06-27,68.72,sell,4.0
2016-07-26,68.65,sell,4.0
2016-10-03,81.16,buy,2.0
2016-10-26,77.11,sell,4.0
2016-10-27,77.03,sell,4.0
2017-02-22,80.17,sell,3.0
2017-07-26,74.01,sell,3.0
2017-10-25,77.65,buy,2.0
2018-02-05,71.97,sell,4.0
2018-04-23,88.04,buy,1.0
2018-09-17,105.1,sell,3.0
2018-10-31,82.02,sell,3.0
2019-04-26,73.23,sell,3.0
2019-07-31,77.68,buy,2.0
2020-02-03,76.04,sell,3.0
2020-02-28,68.7,sell,3.0
2020-03-02,68.37,sell,3.0
2020-03-19,42.62,sell,4.0
2020-11-10,69.01,buy,1.0
2021-01-07,81.94,buy,2.0
2021-02-19,73.96,sell,4.0
2021-11-09,96.52,buy,2.0
2021-12-01,87.08,sell,4.0
2023-07-28,118.58,buy,2.0
2024-04-25,163.18,buy,2.0
