time,price,signal
2013-07-31 00:00:00,24.93,sell
2013-10-30 00:00:00,33.48,buy
2014-10-13 00:00:00,31.91,sell
2015-08-25 00:00:00,30.46,sell
2016-01-14 00:00:00,33.57,sell
2016-02-05 00:00:00,36.66,buy
2016-06-27 00:00:00,43.28,sell
2016-06-29 00:00:00,43.65,sell
2016-09-12 00:00:00,49.81,sell
2016-11-16 00:00:00,54.35,buy
2017-02-07 00:00:00,47.22,sell
2017-11-01 00:00:00,66.15,buy
2017-11-03 00:00:00,66.57,buy
2018-05-02 00:00:00,68.88,sell
2018-06-22 00:00:00,66.45,sell
2018-06-25 00:00:00,66.27,sell
2018-08-01 00:00:00,74.92,buy
2018-10-10 00:00:00,72.14,sell
2019-08-02 00:00:00,77.53,sell
2020-03-02 00:00:00,82.29,sell
2020-11-17 00:00:00,95.95,buy
2021-01-08 00:00:00,107.38,buy
2021-08-04 00:00:00,126.66,buy
2021-09-29 00:00:00,127.78,sell
2022-02-04 00:00:00,90.51,sell
2022-08-03 00:00:00,97.31,buy
2023-01-24 00:00:00,103.57,sell
2023-08-10 00:00:00,102.44,sell
2024-02-07 00:00:00,123.35,buy
2024-05-03 00:00:00,137.21,buy
2024-11-01 00:00:00,119.46,sell
