time,price,signal,label
2018-06-11 00:00:00,0.173,sell,3.0
2018-07-14 04:00:00,0.135,buy,1.0
2018-07-18 00:00:00,0.171,buy,2.0
2018-08-14 08:00:00,0.092,sell,4.0
2018-09-05 16:00:00,0.093,sell,3.0
2018-09-19 12:00:00,0.069,buy,1.0
2018-09-21 04:00:00,0.083,buy,1.0
2018-10-08 20:00:00,0.087,buy,2.0
2018-10-11 08:00:00,0.075,sell,4.0
2018-10-12 04:00:00,0.073,sell,4.0
2018-10-15 12:00:00,0.078,buy,2.0
2018-10-29 20:00:00,0.07,sell,4.0
2018-11-04 12:00:00,0.075,buy,1.0
2018-11-05 00:00:00,0.077,buy,2.0
2018-11-15 00:00:00,0.067,sell,3.0
2018-11-20 12:00:00,0.046,sell,3.0
2018-12-21 00:00:00,0.039,buy,1.0
2018-12-21 08:00:00,0.041,buy,1.0
2019-01-06 08:00:00,0.045,buy,1.0
2019-01-06 20:00:00,0.049,buy,2.0
2019-01-07 08:00:00,0.049,buy,2.0
2019-01-11 00:00:00,0.044,sell,3.0
2019-01-28 08:00:00,0.038,sell,4.0
2019-01-28 12:00:00,0.038,sell,4.0
2019-01-28 20:00:00,0.038,sell,4.0
2019-02-09 00:00:00,0.041,buy,2.0
2019-02-18 08:00:00,0.043,buy,1.0
2019-02-18 20:00:00,0.046,buy,2.0
2019-03-04 12:00:00,0.04,sell,4.0
2019-03-09 12:00:00,0.044,buy,1.0
2019-03-09 20:00:00,0.046,buy,2.0
2019-03-22 12:00:00,0.057,buy,1.0
2019-03-23 08:00:00,0.06,buy,1.0
2019-03-23 20:00:00,0.062,buy,2.0
2019-04-02 12:00:00,0.079,buy,1.0
2019-04-02 20:00:00,0.082,buy,1.0
2019-04-03 08:00:00,0.089,buy,2.0
2019-04-19 08:00:00,0.079,sell,3.0
2019-05-11 16:00:00,0.072,buy,1.0
2019-05-12 00:00:00,0.074,buy,1.0
2019-05-16 00:00:00,0.094,buy,2.0
2019-05-16 08:00:00,0.094,buy,2.0
2019-06-12 00:00:00,0.087,buy,1.0
2019-06-12 16:00:00,0.093,buy,2.0
2019-06-22 20:00:00,0.095,buy,2.0
2019-06-23 12:00:00,0.097,buy,2.0
2019-06-26 20:00:00,0.102,buy,2.0
2019-06-28 00:00:00,0.086,sell,3.0
2019-07-10 20:00:00,0.073,sell,3.0
2019-07-11 12:00:00,0.066,sell,3.0
2019-08-12 00:00:00,0.055,buy,2.0
2019-08-15 00:00:00,0.047,sell,4.0
2019-09-18 00:00:00,0.049,buy,1.0
2019-09-18 20:00:00,0.053,buy,2.0
2019-09-25 00:00:00,0.037,sell,4.0
2019-10-23 20:00:00,0.036,sell,4.0
2019-10-26 00:00:00,0.041,buy,2.0
2019-10-26 08:00:00,0.041,buy,2.0
2019-11-05 08:00:00,0.043,buy,2.0
2019-11-22 16:00:00,0.036,sell,4.0
2019-12-17 00:00:00,0.034,sell,3.0
2019-12-27 16:00:00,0.033,sell,4.0
2020-01-06 16:00:00,0.036,buy,1.0
2020-01-07 04:00:00,0.037,buy,2.0
2020-01-07 08:00:00,0.038,buy,2.0
2020-01-15 00:00:00,0.042,buy,2.0
2020-01-15 08:00:00,0.041,buy,1.0
2020-01-28 12:00:00,0.051,buy,1.0
2020-02-26 08:00:00,0.052,sell,3.0
2020-02-26 16:00:00,0.049,sell,3.0
2020-02-26 20:00:00,0.049,sell,3.0
2020-03-08 20:00:00,0.044,sell,3.0
2020-03-12 16:00:00,0.03,sell,3.0
2020-04-03 00:00:00,0.032,buy,2.0
2020-04-07 08:00:00,0.036,buy,2.0
2020-04-17 04:00:00,0.035,buy,2.0
2020-04-23 20:00:00,0.041,buy,1.0
2020-04-24 04:00:00,0.043,buy,2.0
2020-05-10 08:00:00,0.048,sell,4.0
2020-05-31 12:00:00,0.084,buy,2.0
2020-07-07 20:00:00,0.113,buy,1.0
2020-07-08 08:00:00,0.134,buy,2.0
2020-07-25 08:00:00,0.13,buy,1.0
2020-07-25 16:00:00,0.138,buy,1.0
2020-08-12 12:00:00,0.134,sell,4.0
2020-08-19 08:00:00,0.133,sell,3.0
2020-08-26 00:00:00,0.112,sell,4.0
2020-09-01 00:00:00,0.123,buy,2.0
2020-09-03 20:00:00,0.105,sell,3.0
2020-09-21 16:00:00,0.079,sell,4.0
2020-09-25 16:00:00,0.096,buy,2.0
2020-10-28 16:00:00,0.097,sell,3.0
2020-11-17 16:00:00,0.11,buy,2.0
2020-11-21 16:00:00,0.13,buy,1.0
2020-11-24 08:00:00,0.167,buy,2.0
2020-11-26 08:00:00,0.131,sell,4.0
2020-12-16 20:00:00,0.164,buy,2.0
2020-12-21 13:47:21,0.152,sell,3.0
2020-12-24 04:00:00,0.135,sell,4.0
2020-12-29 08:00:00,0.183,buy,2.0
2021-01-03 16:00:00,0.196,buy,1.0
2021-01-06 16:00:00,0.309,buy,2.0
2021-01-06 20:00:00,0.291,buy,1.0
2021-01-07 04:00:00,0.338,buy,2.0
2021-01-17 08:00:00,0.355,buy,2.0
2021-02-02 04:00:00,0.408,buy,1.0
2021-02-02 20:00:00,0.419,buy,1.0
2021-02-06 04:00:00,0.532,buy,1.0
2021-02-07 00:00:00,0.634,buy,1.0
2021-02-07 04:00:00,0.643,buy,1.0
2021-02-15 08:00:00,0.816,sell,4.0
2021-02-20 08:00:00,1.023,buy,1.0
2021-02-20 20:00:00,1.149,buy,2.0
2021-02-23 16:00:00,0.972,sell,4.0
2021-03-17 00:00:00,1.249,buy,1.0
2021-03-18 04:00:00,1.406,buy,2.0
2021-03-26 16:00:00,1.221,buy,2.0
2021-04-06 20:00:00,1.258,buy,2.0
2021-04-12 08:00:00,1.293,buy,1.0
2021-04-14 08:00:00,1.505,buy,2.0
2021-04-14 12:00:00,1.471,buy,2.0
2021-04-18 08:00:00,1.249,sell,3.0
2021-04-23 08:00:00,1.004,sell,4.0
2021-05-04 20:00:00,1.305,sell,4.0
2021-05-06 16:00:00,1.623,buy,1.0
2021-05-19 20:00:00,1.638,sell,3.0
2021-06-08 20:00:00,1.551,sell,3.0
2021-06-22 04:00:00,1.252,sell,3.0
2021-06-22 16:00:00,1.17,sell,4.0
2021-07-14 08:00:00,1.222,sell,3.0
2021-07-26 08:00:00,1.346,buy,2.0
2021-08-11 04:00:00,1.711,buy,1.0
2021-08-11 20:00:00,1.864,buy,1.0
2021-08-14 04:00:00,2.121,buy,2.0
2021-08-20 00:00:00,2.441,buy,1.0
2021-08-20 12:00:00,2.484,buy,1.0
2021-09-07 12:00:00,2.645,sell,3.0
2021-09-07 20:00:00,2.371,sell,4.0
2021-09-08 12:00:00,2.39,sell,4.0
2021-10-07 16:00:00,2.285,buy,2.0
2021-10-27 16:00:00,1.967,sell,4.0
2021-11-09 16:00:00,2.284,buy,2.0
2021-11-16 16:00:00,1.915,sell,3.0
2021-11-26 16:00:00,1.554,sell,4.0
2021-12-04 12:00:00,1.328,sell,4.0
2021-12-24 00:00:00,1.475,buy,2.0
2022-01-06 00:00:00,1.23,sell,3.0
2022-01-17 08:00:00,1.531,buy,2.0
2022-02-08 08:00:00,1.231,buy,2.0
2022-02-22 04:00:00,0.833,sell,4.0
2022-02-24 08:00:00,0.781,sell,4.0
2022-02-24 12:00:00,0.764,sell,4.0
2022-03-23 20:00:00,1.052,buy,1.0
2022-04-18 12:00:00,0.888,sell,4.0
2022-04-26 20:00:00,0.83,sell,3.0
2022-05-05 00:00:00,0.898,buy,2.0
2022-05-10 00:00:00,0.602,sell,3.0
2022-05-12 12:00:00,0.461,sell,4.0
2022-05-31 04:00:00,0.584,buy,1.0
2022-05-31 12:00:00,0.654,buy,2.0
2022-06-12 08:00:00,0.52,sell,3.0
2022-08-14 08:00:00,0.588,buy,2.0
2022-09-07 00:00:00,0.462,sell,4.0
2022-09-13 20:00:00,0.47,sell,3.0
2022-09-23 08:00:00,0.461,buy,2.0
2022-10-11 04:00:00,0.396,sell,3.0
2022-10-13 12:00:00,0.361,sell,4.0
2022-10-26 00:00:00,0.4,buy,1.0
2022-11-05 08:00:00,0.43,buy,2.0
2022-11-08 12:00:00,0.384,sell,3.0
2022-11-09 00:00:00,0.372,sell,3.0
2022-11-22 00:00:00,0.305,sell,4.0
2022-12-17 04:00:00,0.26,sell,3.0
2023-01-04 08:00:00,0.266,buy,1.0
2023-01-09 08:00:00,0.326,buy,2.0
2023-01-14 08:00:00,0.363,buy,2.0
2023-02-10 00:00:00,0.362,sell,4.0
2023-02-14 20:00:00,0.389,buy,1.0
2023-02-16 04:00:00,0.411,buy,2.0
2023-03-03 08:00:00,0.337,sell,3.0
2023-03-09 04:00:00,0.319,sell,4.0
2023-03-10 00:00:00,0.31,sell,4.0
2023-03-13 08:00:00,0.34,buy,2.0
2023-03-13 20:00:00,0.342,buy,2.0
2023-03-22 04:00:00,0.372,buy,2.0
2023-03-22 12:00:00,0.37,buy,2.0
2023-04-14 00:00:00,0.425,buy,2.0
2023-04-14 08:00:00,0.434,buy,2.0
2023-05-09 00:00:00,0.365,sell,3.0
